Sample,glycopeptide_abundance,gut_locations
CCH328A,76.750174,large_intestine
CCH340-2A,66.755938,large_intestine
CCH346-1A,83.331471,large_intestine
CCH57A,54.26851,large_intestine
CCH74-3A,48.025763,large_intestine
CCH93-1A,53.29247,large_intestine
CCH95-1A,60.807147,large_intestine
CCS15B,128.628471,large_intestine
CCS16B,105.934192,large_intestine
CCS17A,87.293967,large_intestine
CCS18A,58.96418,large_intestine
CCS19A,88.329533,large_intestine
CCS20A,163.610023,large_intestine
CCS24A,70.357509,large_intestine
CCS25B,155.96075199999999,large_intestine
CCS26A,43.711349,large_intestine
CCS27A,71.269167,large_intestine
CCS28B,105.641114,large_intestine
CCS29B,128.215435,large_intestine
CCS30A,84.169119,large_intestine
CCS34A,87.755144,large_intestine
CCY10A,103.592982,large_intestine
CCY11A,71.04217200000001,large_intestine
CCY13A,68.587441,large_intestine
CCY17A,93.66273100000001,large_intestine
CCY20A,135.352405,large_intestine
CCY23A,141.779273,large_intestine
CCY24A,109.520352,large_intestine
CCY25B,104.657023,large_intestine
CCY26A,168.792033,large_intestine
CCY27A,86.060254,large_intestine
CCY28A,95.749986,large_intestine
CCY30A,116.155697,large_intestine
CCY33B,116.269542,large_intestine
CCY34B,148.675514,large_intestine
CCY35B,114.764743,large_intestine
CCY36B,137.981452,large_intestine
CCY37A,90.98195,large_intestine
CCY39A,102.507473,large_intestine
CCY41B,85.22839499999999,large_intestine
CCY42A,146.070945,large_intestine
CCY43A,105.197681,large_intestine
CCY44A,102.356606,large_intestine
CCY46B,94.049818,large_intestine
CCY47A,103.825357,large_intestine
CCY48A,80.228358,large_intestine
CCY49A,176.708792,large_intestine
CCY50A,175.802307,large_intestine
CCY6A,112.047901,large_intestine
CCY8A,157.583693,large_intestine
CCY9B,121.445404,large_intestine
FDM11A,96.865271,Feces
FDM12B,34.872567000000004,Feces
FDM14A,25.403928,Feces
FDM15A,66.38606,Feces
FDM16A,65.911796,Feces
FDM17B,55.237305,Feces
FDM18A,57.489922,Feces
FDM19A,46.957951,Feces
FDM1B,102.932351,Feces
FDM20B,88.653313,Feces
FDM21B,54.457458,Feces
FDM23A,37.30212,Feces
FDM24B,62.959079,Feces
FDM25B,79.935589,Feces
FDM26A,41.647752,Feces
FDM27B,49.076451,Feces
FDM28B,109.997668,Feces
FDM29B,71.60128900000001,Feces
FDM30A,43.484733999999996,Feces
FDM32B,114.546706,Feces
FDM33A,64.918766,Feces
FDM34B,60.479963,Feces
FDM3B,116.402364,Feces
FDM5B,121.178397,Feces
FDM6A,51.925461,Feces
FDM7A,70.877379,Feces
FDM8B,83.139844,Feces
FH108B,74.21075,Feces
FH111B,61.672454,Feces
FH127B,29.899578,Feces
FH151A,17.868631,Feces
FH157B,83.959934,Feces
FH180A,33.901435,Feces
FH206B,36.450628,Feces
FH221B,67.015489,Feces
FH227B,49.921872,Feces
FH247A,12.89734,Feces
FH251B,60.407383,Feces
FH287B,73.567162,Feces
FH295A,43.147742,Feces
FH306B,37.303969,Feces
FH323B,5.214988,Feces
FH324B,49.538018,Feces
FH326B,81.802696,Feces
FH328A,83.787108,Feces
FH340B,28.752877,Feces
FH74B,81.39676,Feces
FH93B,52.250531,Feces
FH95B,20.337314,Feces
FJY10A,13.206183,Feces
FJY12A,26.054691000000002,Feces
FJY13B,18.95449,Feces
FJY14A,31.024892,Feces
FJY15A,4.6192720000000005,Feces
FJY16B,45.386738,Feces
FJY17A,18.246887,Feces
FJY18A,9.636209,Feces
FJY19A,10.023264,Feces
FJY1A,75.734994,Feces
FJY20A,31.678317,Feces
FJY21A,7.826192,Feces
FJY22A,12.510232,Feces
FJY23A,20.920683,Feces
FJY24B,11.791295999999999,Feces
FJY25B,42.765686,Feces
FJY26A,8.764468,Feces
FJY27B,20.04982,Feces
FJY28A,49.397394999999996,Feces
FJY29A,15.213017,Feces
FJY2A,36.283442,Feces
FJY30A,9.178831,Feces
FJY32B,38.561336,Feces
FJY35A,3.3751670000000003,Feces
FJY37A,29.025402,Feces
FJY3A,69.274398,Feces
FJY43B,46.617468,Feces
FJY44A,38.102837,Feces
FJY45A,5.401434,Feces
FJY4A,81.392624,Feces
FJY52A,48.927896,Feces
FJY53A,90.699526,Feces
FJY59A,4.675758999999999,Feces
FJY5A,42.317725,Feces
FJY61B,25.764531,Feces
FJY63B,6.15055,Feces
FJY64B,29.051504,Feces
FJY65A,12.102164,Feces
FJY69A,103.953576,Feces
FJY6B,14.472203,Feces
FJY73A,10.603944,Feces
FJY74A,21.143041,Feces
FJY75A,14.70672,Feces
FJY78B,38.32962,Feces
FJY79A,11.470642,Feces
FJY7A,17.275449,Feces
FJY80B,22.433432,Feces
FJY8A,9.926271,Feces
FJY9B,17.874655999999998,Feces
FM13B,15.073730999999999,Feces
FM14A,10.583526,Feces
FM15B,38.550213,Feces
FM17B,96.746847,Feces
FM18B,26.480926,Feces
FM1B,29.920511,Feces
FM21A,21.227395,Feces
FM2B,26.087663000000003,Feces
FM3B,34.697092,Feces
FM4B,11.140371,Feces
FM5B,67.453801,Feces
FM6B,14.433022999999999,Feces
FM7B,23.858875,Feces
FM8B,30.471339,Feces
GCH111B,5.086801,Stomach
GCH112A,3.7847690000000003,Stomach
GCH119A,0,Stomach
GCH151B,2.101461,Stomach
GCH156B,3.480712,Stomach
GCH162B,0.250282,Stomach
GCH186B,26.474447,Stomach
GCH206A,0.309276,Stomach
GCH209B,11.000971,Stomach
GCH212B,14.196054,Stomach
GCH221A,0.038919999999999996,Stomach
GCH227B,21.26178,Stomach
GCH250A,1.842321,Stomach
GCH251A,3.4012670000000003,Stomach
GCH263A,0,Stomach
GCH277A,0,Stomach
GCH294A,0,Stomach
GCH295A,0,Stomach
GCH323A,0,Stomach
GCH324A,0,Stomach
GCH325A,1.863138,Stomach
GCH326A,0,Stomach
GCH340A,0,Stomach
GCH346A,0,Stomach
GCH74A,3e-6,Stomach
ICH108-1A,0.237889,small_intestine
ICH111-1A,0,small_intestine
ICH112-1A,0,small_intestine
ICH119-1A,0,small_intestine
ICH127-1A,0,small_intestine
ICH150-1A,0,small_intestine
ICH151-1A,0.119148,small_intestine
ICH180-1A,15.723978,small_intestine
ICH206-1A,0,small_intestine
ICH210-1A,1.255489,small_intestine
ICH221-1A,0.407745,small_intestine
ICH227-1A,2.677761,small_intestine
ICH247-1A,10.050496,small_intestine
ICH250-1A,0.200768,small_intestine
ICH258-1A,0.795231,small_intestine
ICH259-1A,0.8676349999999999,small_intestine
ICH263-1A,0.126706,small_intestine
ICH277-1A,0,small_intestine
ICH287-1A,1.88305,small_intestine
ICH294-1A,0,small_intestine
ICH295-1A,0,small_intestine
ICH306-1A,1.211902,small_intestine
ICH323-1A,0,small_intestine
ICH324-1A,0,small_intestine
ICH325-1A,1e-6,small_intestine
ICH326-1A,0,small_intestine
ICH328-1A,0,small_intestine
ICH340-1A,0.305554,small_intestine
ICH346-1A,0,small_intestine
ICH57-1A,2e-6,small_intestine
ICH93-1A,0,small_intestine
ICH95-1A,0,small_intestine
JCH108-1A,0.197822,small_intestine
JCH111-1A,0.136629,small_intestine
JCH112-1A,0.397803,small_intestine
JCH119-1A,0.767109,small_intestine
JCH127-1A,0.315065,small_intestine
JCH157-1A,0.8146300000000001,small_intestine
JCH180-1A,0,small_intestine
JCH206-1A,0,small_intestine
JCH209-1A,0.968494,small_intestine
JCH210-1A,0,small_intestine
JCH247-1A,10.126843,small_intestine
JCH250-1A,0,small_intestine
JCH258-1A,0.565497,small_intestine
JCH259-1B,1e-6,small_intestine
JCH263-1A,0,small_intestine
JCH277-1A,0,small_intestine
JCH287-1A,0,small_intestine
JCH294-1A,0,small_intestine
JCH295-1A,0,small_intestine
JCH306-1A,0,small_intestine
JCH323-1A,0,small_intestine
JCH324-1A,0,small_intestine
JCH325-1A,0,small_intestine
JCH326-1A,0,small_intestine
JCH328-1A,0,small_intestine
JCH340-1A,0,small_intestine
JCH346-1A,0.268491,small_intestine
JCH57-1A,0.989466,small_intestine
JCH74-1A,0.599209,small_intestine
JCH93-1A,0.734022,small_intestine
JCH95-1A,0,small_intestine
MCH108B,14.42148,Stomach
MCH111A,0.888285,Stomach
MCH112B,2.8113669999999997,Stomach
MCH119B,5.38878,Stomach
MCH127B,6.122467,Stomach
MCH151A,0.020386,Stomach
MCH156B,0.045766,Stomach
MCH221A,2.968235,Stomach
MCH259B,2.5213,Stomach
MCH277B,1.605565,Stomach
MCH287B,0.947408,Stomach
MCH294B,0.950342,Stomach
MCH295B,3.540235,Stomach
MCH306A,0.060579,Stomach
MCH323B,1.864101,Stomach
MCH324B,5.054578,Stomach
MCH325B,4.2718799999999995,Stomach
MCH326B,2.2198160000000002,Stomach
MCH328B,5.733833,Stomach
MCH340B,2.8611050000000002,Stomach
MCH346B,2.961199,Stomach
MCH74B,5.050961,Stomach
MCH95A,0.909486,Stomach
SHCC100A,53.386137,large_intestine
SHCC101A,82.05597,large_intestine
SHCC102A,96.913483,large_intestine
SHCC103A,59.500474,large_intestine
SHCC104A,62.948389,large_intestine
SHCC105A,96.221767,large_intestine
SHCC106A,100.276115,large_intestine
SHCC107A,59.559056,large_intestine
SHCC108A,75.183087,large_intestine
SHCC109A,43.320968,large_intestine
SHCC10A,105.667379,large_intestine
SHCC110A,89.308432,large_intestine
SHCC111A,79.572117,large_intestine
SHCC112A,70.656729,large_intestine
SHCC113A,61.44258,large_intestine
SHCC114A,102.587293,large_intestine
SHCC115A,97.361388,large_intestine
SHCC116A,95.66471,large_intestine
SHCC117A,75.644057,large_intestine
SHCC118A,12.546035999999999,large_intestine
SHCC119A,88.983871,large_intestine
SHCC11A,56.630528999999996,large_intestine
SHCC120A,11.497093,large_intestine
SHCC121A,76.79263,large_intestine
SHCC122B,102.013142,large_intestine
SHCC123A,83.200919,large_intestine
SHCC124B,61.007139,large_intestine
SHCC125A,69.797331,large_intestine
SHCC126A,80.42943700000001,large_intestine
SHCC127A,21.35978,large_intestine
SHCC128A,80.843329,large_intestine
SHCC129A,21.397822,large_intestine
SHCC12A,62.234596,large_intestine
SHCC130A,66.974519,large_intestine
SHCC131A,56.369966,large_intestine
SHCC132A,61.226606999999994,large_intestine
SHCC133A,52.99037,large_intestine
SHCC134A,34.169634,large_intestine
SHCC135A,76.527235,large_intestine
SHCC136A,86.024547,large_intestine
SHCC137A,62.502017,large_intestine
SHCC138A,65.194643,large_intestine
SHCC139A,96.269134,large_intestine
SHCC13A,72.556623,large_intestine
SHCC140A,64.126147,large_intestine
SHCC141A,88.355896,large_intestine
SHCC142B,96.892992,large_intestine
SHCC143A,79.052802,large_intestine
SHCC144A,85.700461,large_intestine
SHCC145A,39.127179,large_intestine
SHCC146A,116.55016499999999,large_intestine
SHCC147A,60.020759,large_intestine
SHCC148A,96.637578,large_intestine
SHCC149A,72.992839,large_intestine
SHCC14A,11.875378,large_intestine
SHCC150A,77.466809,large_intestine
SHCC151A,90.648062,large_intestine
SHCC152A,53.516175000000004,large_intestine
SHCC153A,43.45809,large_intestine
SHCC154A,98.061399,large_intestine
SHCC155A,70.447915,large_intestine
SHCC156A,76.331504,large_intestine
SHCC157B,56.482556,large_intestine
SHCC158A,54.73464,large_intestine
SHCC159A,54.130459,large_intestine
SHCC15A,106.72476400000001,large_intestine
SHCC160B,59.212227999999996,large_intestine
SHCC161A,73.7401,large_intestine
SHCC162A,98.587349,large_intestine
SHCC163A,75.404647,large_intestine
SHCC164B,76.901209,large_intestine
SHCC165A,94.769478,large_intestine
SHCC166A,138.679185,large_intestine
SHCC167A,135.369172,large_intestine
SHCC168A,80.023858,large_intestine
SHCC169A,60.823106,large_intestine
SHCC16A,36.468784,large_intestine
SHCC170A,55.720629,large_intestine
SHCC171A,98.422936000000007,large_intestine
SHCC172A,56.624519,large_intestine
SHCC173A,33.524834,large_intestine
SHCC174A,61.74191,large_intestine
SHCC175A,72.073544,large_intestine
SHCC176A,98.722444,large_intestine
SHCC177A,77.425787,large_intestine
SHCC178A,46.906597,large_intestine
SHCC179A,92.646145,large_intestine
SHCC17A,50.012786,large_intestine
SHCC180A,101.365376,large_intestine
SHCC181A,96.97595,large_intestine
SHCC182A,86.48200800000001,large_intestine
SHCC183A,50.701236,large_intestine
SHCC184A,112.24878,large_intestine
SHCC185B,149.20194,large_intestine
SHCC186A,95.929776,large_intestine
SHCC187A,77.025694,large_intestine
SHCC188A,78.684215,large_intestine
SHCC189A,64.819248,large_intestine
SHCC18A,56.186018,large_intestine
SHCC190A,93.062903,large_intestine
SHCC191A,97.043475,large_intestine
SHCC192A,96.697599,large_intestine
SHCC193A,94.71797099999999,large_intestine
SHCC194A,68.669234,large_intestine
SHCC195A,74.937002,large_intestine
SHCC196A,189.915188,large_intestine
SHCC197A,112.741291,large_intestine
SHCC198A,55.517808,large_intestine
SHCC199A,100.136676,large_intestine
SHCC19A,19.740235,large_intestine
SHCC1A,92.66535,large_intestine
SHCC200A,86.897752,large_intestine
SHCC201A,97.608759,large_intestine
SHCC202A,100.720957,large_intestine
SHCC203A,89.094608,large_intestine
SHCC204B,101.350434,large_intestine
SHCC205A,104.521384,large_intestine
SHCC206A,111.421937,large_intestine
SHCC207A,90.102344,large_intestine
SHCC208A,87.672662,large_intestine
SHCC209A,80.120702,large_intestine
SHCC20A,60.965665,large_intestine
SHCC210A,97.083753,large_intestine
SHCC211A,60.791804,large_intestine
SHCC212A,104.174794,large_intestine
SHCC213A,101.855258,large_intestine
SHCC214A,72.886107,large_intestine
SHCC215A,84.997218,large_intestine
SHCC216A,58.388151,large_intestine
SHCC217A,62.566093,large_intestine
SHCC218A,87.807822,large_intestine
SHCC219A,109.884913,large_intestine
SHCC21A,23.575353,large_intestine
SHCC220A,65.094816,large_intestine
SHCC221A,93.526019,large_intestine
SHCC222A,72.94021,large_intestine
SHCC223A,89.00169,large_intestine
SHCC224A,108.24123,large_intestine
SHCC225B,66.288686,large_intestine
SHCC226A,70.000102,large_intestine
SHCC227A,55.263877,large_intestine
SHCC228A,84.534387,large_intestine
SHCC229A,90.06623,large_intestine
SHCC22A,19.671612,large_intestine
SHCC230A,73.401932,large_intestine
SHCC231A,62.265113,large_intestine
SHCC232A,84.109727,large_intestine
SHCC233A,42.720216,large_intestine
SHCC234B,67.453237,large_intestine
SHCC235A,54.408621000000004,large_intestine
SHCC236A,90.14235599999999,large_intestine
SHCC237A,34.22963,large_intestine
SHCC238A,94.511401,large_intestine
SHCC239A,53.193833,large_intestine
SHCC23A,62.088198,large_intestine
SHCC240A,61.723079,large_intestine
SHCC241A,59.220778,large_intestine
SHCC242A,88.66716799999999,large_intestine
SHCC243A,90.743405,large_intestine
SHCC244A,101.381342,large_intestine
SHCC245A,32.878933,large_intestine
SHCC246A,76.260727,large_intestine
SHCC247A,81.310173,large_intestine
SHCC248A,103.551736,large_intestine
SHCC249A,63.480606,large_intestine
SHCC24A,72.886471,large_intestine
SHCC250A,58.900115,large_intestine
SHCC251B,99.151892,large_intestine
SHCC252A,87.556833,large_intestine
SHCC253A,60.611214,large_intestine
SHCC254B,144.941579,large_intestine
SHCC255B,91.762013,large_intestine
SHCC256A,78.325854,large_intestine
SHCC257A,72.835651,large_intestine
SHCC258A,61.357786,large_intestine
SHCC259A,85.938832,large_intestine
SHCC25A,94.024564,large_intestine
SHCC260A,60.564207,large_intestine
SHCC261A,83.347149,large_intestine
SHCC262A,69.704061,large_intestine
SHCC263A,102.02636,large_intestine
SHCC264A,116.296545,large_intestine
SHCC265A,41.563902,large_intestine
SHCC266B,97.103958,large_intestine
SHCC267A,113.677614,large_intestine
SHCC268A,54.300112,large_intestine
SHCC269A,45.185656,large_intestine
SHCC26B,116.509684,large_intestine
SHCC270A,89.183804,large_intestine
SHCC271B,102.292791,large_intestine
SHCC272B,101.835718,large_intestine
SHCC273B,97.397494,large_intestine
SHCC274A,84.081593,large_intestine
SHCC275A,45.807942000000004,large_intestine
SHCC276A,87.366108,large_intestine
SHCC277A,53.39429,large_intestine
SHCC278A,93.072162,large_intestine
SHCC279A,78.347325,large_intestine
SHCC27A,89.91758,large_intestine
SHCC280A,68.295107,large_intestine
SHCC281A,63.638585,large_intestine
SHCC282A,86.613679,large_intestine
SHCC283A,88.472491,large_intestine
SHCC284A,47.564445,large_intestine
SHCC285A,72.493312,large_intestine
SHCC286A,24.514705,large_intestine
SHCC287A,117.160344,large_intestine
SHCC288A,88.055344,large_intestine
SHCC289A,116.72783,large_intestine
SHCC28B,82.682062,large_intestine
SHCC290A,73.324568,large_intestine
SHCC291A,22.676386,large_intestine
SHCC292A,70.500863,large_intestine
SHCC293A,70.159522,large_intestine
SHCC294A,4.123083,large_intestine
SHCC295A,15.89549,large_intestine
SHCC296A,64.708577,large_intestine
SHCC297B,83.499354,large_intestine
SHCC298A,78.604325,large_intestine
SHCC299B,126.205577,large_intestine
SHCC29A,135.878843,large_intestine
SHCC2A,59.863191,large_intestine
SHCC300A,78.23245,large_intestine
SHCC30A,51.966281,large_intestine
SHCC31A,100.441068,large_intestine
SHCC32A,55.301756,large_intestine
SHCC33A,87.117318,large_intestine
SHCC34A,39.017278,large_intestine
SHCC35A,107.688476,large_intestine
SHCC36A,88.216346,large_intestine
SHCC37A,33.773012,large_intestine
SHCC38A,78.635536,large_intestine
SHCC39A,86.899731,large_intestine
SHCC3A,87.465435,large_intestine
SHCC40A,22.555739,large_intestine
SHCC41A,93.628691,large_intestine
SHCC42A,91.839675,large_intestine
SHCC43A,77.824992,large_intestine
SHCC44A,149.466882,large_intestine
SHCC45A,131.247145,large_intestine
SHCC46B,108.440591,large_intestine
SHCC47A,102.125167,large_intestine
SHCC48A,69.463816,large_intestine
SHCC49A,82.260373,large_intestine
SHCC4A,97.921841,large_intestine
SHCC50A,85.876254,large_intestine
SHCC51A,93.648488,large_intestine
SHCC52A,76.440994,large_intestine
SHCC53A,78.568008,large_intestine
SHCC54A,87.584463,large_intestine
SHCC55A,71.202979,large_intestine
SHCC56A,56.881807,large_intestine
SHCC57B,227.736641,large_intestine
SHCC58A,53.851198,large_intestine
SHCC59A,49.954688,large_intestine
SHCC5A,67.459186,large_intestine
SHCC60A,57.877966,large_intestine
SHCC61A,58.815008,large_intestine
SHCC62A,51.816514,large_intestine
SHCC63A,66.896075,large_intestine
SHCC64A,83.841471,large_intestine
SHCC65A,97.99611900000001,large_intestine
SHCC66A,92.337141,large_intestine
SHCC67A,62.714423000000004,large_intestine
SHCC68A,59.629347,large_intestine
SHCC69B,50.532412,large_intestine
SHCC6A,47.86716,large_intestine
SHCC70A,77.288422,large_intestine
SHCC71A,94.406446,large_intestine
SHCC72A,32.06974,large_intestine
SHCC73A,118.32285,large_intestine
SHCC74A,97.135698,large_intestine
SHCC75A,122.78376399999999,large_intestine
SHCC76A,119.181369,large_intestine
SHCC77B,77.78795,large_intestine
SHCC78A,103.610292,large_intestine
SHCC79A,67.566381,large_intestine
SHCC7A,61.080282000000004,large_intestine
SHCC80A,46.263818,large_intestine
SHCC81A,44.697234,large_intestine
SHCC82A,96.568901,large_intestine
SHCC83A,92.021343,large_intestine
SHCC84A,71.031229,large_intestine
SHCC85B,97.076131,large_intestine
SHCC86A,156.518955,large_intestine
SHCC87A,77.049175,large_intestine
SHCC88B,75.650963,large_intestine
SHCC89A,82.807063,large_intestine
SHCC8A,45.224777,large_intestine
SHCC90A,97.16438600000001,large_intestine
SHCC91A,71.319684,large_intestine
SHCC92A,78.887146,large_intestine
SHCC93A,76.748422,large_intestine
SHCC94A,67.812133,large_intestine
SHCC95A,100.469052,large_intestine
SHCC96A,34.10999,large_intestine
SHCC97A,63.544639000000004,large_intestine
SHCC98A,80.275664,large_intestine
SHCC99A,87.730305,large_intestine
SHCC9A,165.68902,large_intestine
SHDC104A,0.655048,small_intestine
SHDC107A,0,small_intestine
SHDC111A,0.388402,small_intestine
SHDC11C,0.130996,small_intestine
SHDC12A,0,small_intestine
SHDC139A,0.307401,small_intestine
SHDC141A,0,small_intestine
SHDC14A,1.106127,small_intestine
SHDC154A,0.082179,small_intestine
SHDC157A,0,small_intestine
SHDC170A,0,small_intestine
SHDC174A,0,small_intestine
SHDC178A,0,small_intestine
SHDC191A,0,small_intestine
SHDC203A,0,small_intestine
SHDC207A,0.167212,small_intestine
SHDC212A,1.63207,small_intestine
