Sample,total_ARG_number,high_risk_ARG_number
FH111B,58,27
FH127B,99,23
FH151A,85,20
FH157B,185,50
FH180A,122,33
FH206B,143,36
FH221B,153,46
FH227B,72,29
FH247A,70,19
FH251B,120,38
FH287B,116,43
FH295A,127,42
FH306B,118,36
FH323B,123,31
FH324B,139,37
FH326B,115,46
FH328A,183,52
FH340B,87,39
FH74B,44,19
FH93B,78,37
FH95B,37,17
FJY10A,161,36
FJY12A,123,37
FJY13B,83,30
FJY14A,105,34
FJY15A,53,23
FJY16B,152,41
FJY17A,109,33
FJY18A,65,26
FJY19A,63,27
FJY1A,224,47
FJY20A,101,36
FJY21A,66,26
FJY22A,152,34
FJY23A,160,39
FJY24B,120,43
FJY25B,155,45
FJY26A,94,32
FJY27B,72,26
FJY28A,127,37
FJY29A,132,38
FJY2A,181,42
FJY30A,70,24
FJY32B,117,35
FJY35A,24,14
FJY37A,49,23
FJY3A,185,50
FJY43B,133,37
FJY44A,134,31
FJY45A,83,24
FJY4A,173,53
FJY52A,168,39
FJY53A,151,39
FJY59A,32,17
FJY5A,177,39
FJY61B,101,27
FJY63B,56,20
FJY64B,151,34
FJY65A,48,24
FJY69A,187,47
FJY6B,76,26
FJY73A,65,28
FJY74A,124,28
FJY75A,98,28
FJY78B,58,25
FJY79A,60,20
FJY7A,113,36
FJY80B,52,22
FJY8A,108,38
FJY9B,131,41
FM13B,101,27
FM14A,86,16
FM15B,103,31
FM17B,148,47
FM18B,142,41
FM1B,126,38
FM21A,130,36
FM2B,62,27
FM3B,142,37
FM4B,42,17
FM5B,95,28
FM6B,49,21
FM7B,50,21
FM8B,44,16
GCH111B,30,10
GCH112A,6,4
GCH151B,19,12
GCH156B,41,19
GCH162B,16,5
GCH186B,142,34
GCH206A,2,1
GCH209B,96,23
GCH212B,117,23
GCH221A,73,14
GCH227B,59,25
GCH251A,23,6
GCH277A,6,NA
GCH294A,6,NA
GCH295A,6,NA
GCH325A,7,1
GCH326A,1,NA
ICH150-1A,2,NA
ICH151-1A,3,1
ICH180-1A,9,2
ICH210-1A,3,1
ICH227-1A,13,7
ICH247-1A,103,22
ICH258-1A,8,4
ICH259-1A,4,3
ICH263-1A,1,1
ICH57-1A,7,3
JCH112-1A,1,1
JCH119-1A,1,1
JCH157-1A,69,11
JCH180-1A,6,4
JCH209-1A,23,4
JCH247-1A,5,3
JCH259-1B,1,NA
MCH108B,72,23
MCH111A,10,4
MCH112B,44,17
MCH119B,21,12
MCH127B,30,12
MCH151A,18,5
MCH156B,5,1
MCH221A,63,11
MCH259B,49,19
MCH277B,41,17
MCH287B,35,12
MCH294B,29,11
MCH295B,41,17
MCH306A,2,1
MCH323B,33,10
MCH324B,47,16
MCH325B,49,19
MCH326B,58,23
MCH328B,44,16
MCH340B,41,15
MCH346B,41,14
MCH74B,37,15
MCH95A,12,8
SHCC100A,69,30
SHCC101A,80,36
SHCC102A,80,35
SHCC103A,106,43
SHCC104A,72,33
SHCC105A,103,37
SHCC106A,122,35
SHCC107A,51,25
SHCC108A,110,41
SHCC109A,46,24
SHCC10A,131,40
SHCC110A,88,36
SHCC111A,125,47
SHCC112A,117,40
SHCC113A,72,35
SHCC114A,111,39
SHCC115A,93,32
SHCC116A,106,40
SHCC117A,74,33
SHCC118A,9,6
SHCC119A,104,43
SHCC11A,112,37
SHCC11B,155,50
SHCC120A,35,19
SHCC121A,95,43
SHCC122B,89,32
SHCC123A,59,28
SHCC124B,89,39
SHCC125A,95,43
SHCC126A,113,38
SHCC127A,34,21
SHCC128A,78,35
SHCC129A,38,20
SHCC12A,82,36
SHCC12B,105,45
SHCC130A,69,36
SHCC131A,67,31
SHCC132A,92,37
SHCC133A,59,32
SHCC134A,55,26
SHCC135A,98,33
SHCC136A,94,35
SHCC137A,81,31
SHCC138A,89,29
SHCC139A,122,46
SHCC13A,89,38
SHCC140A,100,36
SHCC141A,126,41
SHCC142B,123,42
SHCC143A,71,35
SHCC144A,85,36
SHCC145A,58,32
SHCC146A,104,37
SHCC147A,113,40
SHCC148A,96,37
SHCC149A,117,44
SHCC14A,34,17
SHCC150A,116,39
SHCC151A,55,30
SHCC152A,97,35
SHCC153A,78,37
SHCC154A,104,40
SHCC155A,101,44
SHCC156A,115,40
SHCC157B,45,22
SHCC158A,66,31
SHCC159A,76,38
SHCC15A,110,39
SHCC160B,51,27
SHCC161A,86,32
SHCC162A,123,39
SHCC163A,98,40
SHCC164B,100,34
SHCC165A,106,39
SHCC166A,131,37
SHCC167A,132,36
SHCC168A,167,48
SHCC169A,102,41
SHCC16A,49,23
SHCC170A,85,36
SHCC171A,148,42
SHCC172A,55,28
SHCC173A,59,28
SHCC174A,80,30
SHCC175A,127,42
SHCC176A,83,34
SHCC177A,103,36
SHCC178A,46,22
SHCC178B,62,28
SHCC179A,151,45
SHCC17A,73,32
SHCC180A,98,41
SHCC181A,100,31
SHCC182A,92,39
SHCC183A,67,34
SHCC184A,110,36
SHCC185B,127,35
SHCC186A,101,37
SHCC187A,122,43
SHCC188A,136,41
SHCC189A,75,34
SHCC18A,132,42
SHCC190A,73,35
SHCC191A,120,39
SHCC192A,107,42
SHCC193A,112,41
SHCC194A,85,41
SHCC195A,96,25
SHCC196A,134,33
SHCC197A,139,41
SHCC198A,62,28
SHCC199A,121,37
SHCC19A,37,20
SHCC1A,109,36
SHCC200A,100,45
SHCC201A,132,44
SHCC202A,121,42
SHCC203A,91,39
SHCC204B,135,39
SHCC205A,88,32
SHCC206A,94,40
SHCC207A,132,35
SHCC207B,209,54
SHCC208A,90,35
SHCC209A,99,40
SHCC20A,74,33
SHCC210A,100,40
SHCC211A,91,36
SHCC212A,151,41
SHCC213A,90,32
SHCC214A,104,41
SHCC215A,55,25
SHCC216A,88,39
SHCC217A,88,34
SHCC218A,122,46
SHCC219A,122,40
SHCC21A,38,20
SHCC220A,36,18
SHCC221A,115,41
SHCC222A,81,34
SHCC223A,85,38
SHCC224A,104,36
SHCC225B,82,37
SHCC226A,74,33
SHCC227A,116,36
SHCC228A,124,38
