traits	p	p.adj	p.format	p.signif	method	ARG_ID	Drug.Class	Resistance.Mechanism	live.rate
ARG424	0.46388241617036	0.46	0.46	ns	Kruskal-Wallis	vanXYG	glycopeptide antibiotic	antibiotic target alteration	0.98989899
ARG98	0.457797065658017	0.46	0.46	ns	Kruskal-Wallis	ErmG	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration	0.683501684
ARG362	0.472090083084686	0.47	0.47	ns	Kruskal-Wallis	tet(45)	tetracycline antibiotic	antibiotic efflux	1
ARG40	0.520829592440028	0.52	0.52	ns	Kruskal-Wallis	APH(3')-IIIa	aminoglycoside antibiotic	antibiotic inactivation	1
ARG94	0.532752725375643	0.53	0.53	ns	Kruskal-Wallis	ErmA	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration	0.986531987
ARG308	0.535047736984934	0.54	0.54	ns	Kruskal-Wallis	mefH	macrolide antibiotic	antibiotic efflux	0.744107744
ARG215	0.549589340598838	0.55	0.55	ns	Kruskal-Wallis	arr-3	rifamycin antibiotic	antibiotic inactivation	0.835016835
ARG05	0.564781582559668	0.56	0.56	ns	Kruskal-Wallis	AAC(6')-IIa	aminoglycoside antibiotic	antibiotic inactivation	0.814814815
ARG338	0.560045760280173	0.56	0.56	ns	Kruskal-Wallis	qacG	disinfecting agents and antiseptics	antibiotic efflux	0.841750842
ARG408	0.594977055182462	0.59	0.59	ns	Kruskal-Wallis	vanTG	glycopeptide antibiotic	antibiotic target alteration	0.922558923
ARG429	0.5850866319887	0.59	0.59	ns	Kruskal-Wallis	vanYG	glycopeptide antibiotic	antibiotic target alteration	0.98989899
ARG352	0.604890967740378	0.6	0.6	ns	Kruskal-Wallis	sul1	sulfonamide antibiotic	antibiotic target replacement	0.552188552
ARG124	0.618195498171371	0.62	0.62	ns	Kruskal-Wallis	FosXCC	phosphonic acid antibiotic	antibiotic inactivation	0.973063973
ARG69	0.631525465913142	0.63	0.63	ns	Kruskal-Wallis	Campylobacter coli chloramphenicol acetyltransferase	phenicol antibiotic	antibiotic inactivation	0.976430976
ARG48	0.641683317419931	0.64	0.64	ns	Kruskal-Wallis	APH(6)-Id	aminoglycoside antibiotic	antibiotic inactivation	0.663299663
ARG159	0.665095482036728	0.67	0.67	ns	Kruskal-Wallis	OXA-347	carbapenem; cephalosporin; penam	antibiotic inactivation	0.545454545
ARG356	0.698534045644484	0.7	0.7	ns	Kruskal-Wallis	tet(32)	tetracycline antibiotic	antibiotic target protection	0.996632997
ARG330	0.825421556692851	0.83	0.83	ns	Kruskal-Wallis	nimJ	nitroimidazole antibiotic	antibiotic inactivation	0.986531987
ARG360	0.847181065464605	0.85	0.85	ns	Kruskal-Wallis	tet(40)	tetracycline antibiotic	antibiotic efflux	0.996632997
ARG370	0.857076900138384	0.86	0.86	ns	Kruskal-Wallis	tet(O)	tetracycline antibiotic	antibiotic target protection	1
ARG430	0.874563176088452	0.87	0.87	ns	Kruskal-Wallis	vanYM	glycopeptide antibiotic	antibiotic target alteration	0.993265993
ARG428	0.967817395925987	0.97	0.97	ns	Kruskal-Wallis	vanYF	glycopeptide antibiotic	antibiotic target alteration	0.996632997
