MAG	p.adj	live_rate	Group
MAG2774	0.00012	0.69023569	MAGs from Phocaeicola
MAG1616	0.00013	0.976430976	MAGs from Phocaeicola
MAG1660	0.00013	0.774410774	MAGs from Phocaeicola
MAG20115	0.00013	0.912457912	MAGs from Phocaeicola
MAG21323	0.00013	0.730639731	MAGs from other families
MAG249	0.00013	0.872053872	MAGs from Phocaeicola
MAG6752	0.00013	0.32996633	MAGs from Phocaeicola
MAG7538	0.00013	0.936026936	MAGs from Phocaeicola
MAG13385	0.00014	0.744107744	MAGs from other families
MAG20482	0.00014	0.734006734	MAGs from other families
MAG7383	0.00014	0.983164983	MAGs from Phocaeicola
MAG15382	0.00015	0.909090909	MAGs from other genus in Bacteroidaceae
MAG17632	0.00015	0.831649832	MAGs from other genus in Bacteroidaceae
MAG19228	0.00015	0.946127946	MAGs from Phocaeicola
MAG22097	0.00015	0.898989899	MAGs from other families
MAG23229	0.00015	0.878787879	MAGs from Phocaeicola
MAG3049	0.00015	0.993265993	MAGs from Phocaeicola
MAG4491	0.00015	0.962962963	MAGs from Phocaeicola
MAG4561	0.00015	0.868686869	MAGs from other genus in Bacteroidaceae
MAG16537	0.00016	0.558922559	MAGs from other families
MAG22491	0.00016	0.814814815	MAGs from other families
MAG8160	0.00016	0.936026936	MAGs from Phocaeicola
MAG20204	0.00017	0.996632997	MAGs from Phocaeicola
MAG20658	0.00017	0.932659933	MAGs from Phocaeicola
MAG4350	0.00017	0.808080808	MAGs from Phocaeicola
MAG6411	0.00017	0.892255892	MAGs from Phocaeicola
MAG2125	0.00018	0.875420875	MAGs from other families
MAG2890	0.00018	0.892255892	MAGs from Phocaeicola
MAG7331	0.00018	0.784511785	MAGs from Phocaeicola
MAG10585	0.00019	0.942760943	MAGs from Phocaeicola
MAG12151	0.00019	0.579124579	MAGs from other families
MAG17213	0.00019	0.888888889	MAGs from Phocaeicola
MAG22494	0.00019	0.993265993	MAGs from Phocaeicola
MAG4170	0.00019	0.861952862	MAGs from Phocaeicola
MAG157	2e-04	0.865319865	MAGs from Phocaeicola
MAG20937	2e-04	0.720538721	MAGs from Phocaeicola
MAG8526	2e-04	0.922558923	MAGs from Phocaeicola
MAG3321	0.00021	0.69023569	MAGs from other families
MAG4352	0.00021	0.32996633	MAGs from other families
MAG4605	0.00021	0.744107744	MAGs from Phocaeicola
MAG5316	0.00021	0.996632997	MAGs from Phocaeicola
MAG13814	0.00022	0.949494949	MAGs from Phocaeicola
MAG16920	0.00022	0.922558923	MAGs from Phocaeicola
MAG3877	0.00022	0.471380471	MAGs from Phocaeicola
MAG10937	0.00023	0.777777778	MAGs from other families
MAG18154	0.00023	0.69023569	MAGs from other families
MAG22808	0.00023	0.636363636	MAGs from other families
MAG2293	0.00023	0.828282828	MAGs from Phocaeicola
MAG6587	0.00023	0.71043771	MAGs from other families
MAG8984	0.00023	0.62962963	MAGs from other families
MAG9553	0.00023	0.939393939	MAGs from Phocaeicola
MAG3213	0.00024	0.952861953	MAGs from Phocaeicola
MAG6827	0.00024	0.882154882	MAGs from other families
MAG19782	0.00025	0.942760943	MAGs from Phocaeicola
MAG21540	0.00025	0.811447811	MAGs from Phocaeicola
MAG1079	0.00026	0.643097643	MAGs from Phocaeicola
MAG15314	0.00026	0.760942761	MAGs from other genus in Bacteroidaceae
MAG22952	0.00026	0.993265993	MAGs from Phocaeicola
MAG7734	0.00026	0.646464646	MAGs from other families
MAG11675	0.00027	0.912457912	MAGs from Phocaeicola
MAG16084	0.00027	0.939393939	MAGs from Phocaeicola
