ARG_type,RI,Risk_Level,sorted
Campylobacter jejuni gyrA conferring resistance to fluoroquinolones,0,Risk V,30
CblA-1,0,Risk V,31
Clostridioides difficile gyrB conferring resistance to fluoroquinolones,0,Risk V,32
Clostridium perfringens mprF,0,Risk V,33
CrcB,0,Risk V,34
DHA-1,0,Risk V,35
DfrA37,0,Risk V,36
DfrB9,0,Risk V,37
EC-14,0,Risk V,38
EC-15,0,Risk V,39
EreD,0,Risk V,40
Erm(36),0,Risk V,41
Erm(42),0,Risk V,42
Erm(49),0,Risk V,43
Erm(51),0,Risk V,44
Erm(52),0,Risk V,45
ErmQ,0,Risk V,46
"Escherichia coli AcrAB-TolC with AcrR mutation conferring resistance to ciprofloxacin, tetracycline, and ceftazidime",0,Risk V,47
Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline,0,Risk V,48
Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin,0,Risk V,49
Escherichia coli acrA,0,Risk V,50
Escherichia coli ampC beta-lactamase,0,Risk V,51
Escherichia coli emrE,0,Risk V,52
Escherichia coli mdfA,0,Risk V,53
Escherichia coli parE conferring resistance to fluoroquinolones,0,Risk V,54
Escherichia coli soxR with mutation conferring antibiotic resistance,0,Risk V,55
Escherichia coli soxS with mutation conferring antibiotic resistance,0,Risk V,56
FosA3,0,Risk V,57
FosA7.5,0,Risk V,58
H-NS,0,Risk V,59
Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics,0,Risk V,60
Klebsiella pneumoniae KpnE,0,Risk V,61
Klebsiella pneumoniae KpnF,0,Risk V,62
Klebsiella pneumoniae KpnG,0,Risk V,63
Klebsiella pneumoniae KpnH,0,Risk V,64
Klebsiella pneumoniae OmpK37,0,Risk V,65
Limosilactobacillus reuteri cat-TC,0,Risk V,66
LlmA 23S ribosomal RNA methyltransferase,0,Risk V,67
LnuH,0,Risk V,68
LptD,0,Risk V,69
Morganella morganii gyrB conferring resistance to fluoroquinolones,0,Risk V,70
Mrx,0,Risk V,71
Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin,0,Risk V,72
NDM-5,0,Risk V,73
OXA-136,0,Risk V,74
OXA-184,0,Risk V,75
OXA-21,0,Risk V,76
OXA-58,0,Risk V,77
OXA-820,0,Risk V,78
OmpA,0,Risk V,79
PmrF,0,Risk V,80
RanA,0,Risk V,81
RanB,0,Risk V,82
SHV-11,0,Risk V,83
TolC,0,Risk V,84
VEB-17,0,Risk V,85
Vibrio cholerae varG,0,Risk V,86
YojI,0,Risk V,87
aadA11,0,Risk V,88
aadK,0,Risk V,89
abeS,0,Risk V,90
acrB,0,Risk V,91
acrD,0,Risk V,92
adeF,0,Risk V,93
adeL,0,Risk V,94
almE,0,Risk V,95
almF,0,Risk V,96
almG,0,Risk V,97
aphA15,0,Risk V,98
apmA,0,Risk V,99
bacA,0,Risk V,100
baeR,0,Risk V,101
baeS,0,Risk V,102
catA4,0,Risk V,103
catII from Escherichia coli K-12,0,Risk V,104
catS,0,Risk V,105
cepA,0,Risk V,106
cmeR,0,Risk V,107
cpxA,0,Risk V,108
dfrA19,0,Risk V,109
dfrE,0,Risk V,110
efmA,0,Risk V,111
efrA,0,Risk V,112
emrA,0,Risk V,113
emrK,0,Risk V,114
emrR,0,Risk V,115
emrY,0,Risk V,116
eptA,0,Risk V,117
eptB,0,Risk V,118
erm(45),0,Risk V,119
evgA,0,Risk V,120
evgS,0,Risk V,121
fosA5,0,Risk V,122
fusD,0,Risk V,123
gadX,0,Risk V,124
golS,0,Risk V,125
kdpE,0,Risk V,126
leuO,0,Risk V,127
lnuB,0,Risk V,128
lnuD,0,Risk V,129
marA,0,Risk V,130
mdtA,0,Risk V,131
mdtB,0,Risk V,132
mdtC,0,Risk V,133
mdtE,0,Risk V,134
mdtF,0,Risk V,135
mdtG,0,Risk V,136
mdtH,0,Risk V,137
mdtM,0,Risk V,138
mdtN,0,Risk V,139
mdtO,0,Risk V,140
mdtP,0,Risk V,141
mecA,0,Risk V,142
mecB,0,Risk V,143
mefF,0,Risk V,144
mefH,0,Risk V,145
mphA,0,Risk V,146
mphE,0,Risk V,147
mphK,0,Risk V,148
msbA,0,Risk V,149
msr(G),0,Risk V,150
nimB,0,Risk V,151
nimD,0,Risk V,152
nimE,0,Risk V,153
nimF,0,Risk V,154
nimG,0,Risk V,155
nimI,0,Risk V,156
norC,0,Risk V,157
oqxA,0,Risk V,158
patB,0,Risk V,159
ramA,0,Risk V,160
rsmA,0,Risk V,161
salC,0,Risk V,162
salD,0,Risk V,163
salE,0,Risk V,164
sdiA,0,Risk V,165
sdrM,0,Risk V,166
sepA,0,Risk V,167
sul3,0,Risk V,168
sul4,0,Risk V,169
tet(36),0,Risk V,170
tet(59),0,Risk V,171
tet(D),0,Risk V,172
tet(T),0,Risk V,173
tet(X1),0,Risk V,174
tet(X5),0,Risk V,175
tet(Z),0,Risk V,176
tetB(P),0,Risk V,177
tmrB,0,Risk V,178
ugd,0,Risk V,179
vanC,0,Risk V,180
vanF,0,Risk V,181
vanG,0,Risk V,182
vanHF,0,Risk V,183
vanRC,0,Risk V,184
vanRG,0,Risk V,185
vanTC,0,Risk V,186
vanTG,0,Risk V,187
vanUG,0,Risk V,188
vanWB,0,Risk V,189
vanWG,0,Risk V,190
vanWI,0,Risk V,191
vanXF,0,Risk V,192
vanXYC,0,Risk V,193
vanXYG,0,Risk V,194
vanYA,0,Risk V,195
vanYF,0,Risk V,196
vanYM,0,Risk V,197
ykkC,0,Risk V,198
ykkD,0,Risk V,199
OXA-140,0,Risk V,200
aadA15,0,Risk V,201
AAC(6')-Il,0,Risk V,202
clbC,0,Risk V,203
QnrB6,0,Risk V,204
lnuE,0,Risk V,205
lnuF,0,Risk V,206
vanXA,0,Risk V,207
vanXI,0,Risk V,208
nimC,0,Risk V,209
vanXO,0,Risk V,210
vanHO,0,Risk V,211
ErmY,0,Risk V,212
Erm(34),0,Risk V,213
emtA,0,Risk V,214
vanXYE,0,Risk V,215
Helicobacter pylori rpoB mutation conferring resistance to rifampicin,0,Risk V,216
tet(X3),0,Risk V,217
catB11,0,Risk V,218
cphA3,0,Risk V,219
APH(6)-Ic,0,Risk V,220
OXA-193,0,Risk V,221
dfrA6 from Proteus mirabilis,0,Risk V,222
aadA27,0,Risk V,223
rgt1438,0,Risk V,224
RCP-1,0,Risk V,225
Neisseria gonorrhoeae gyrA conferring resistance to fluoroquinolones,0,Risk V,226
Corynebacterium striatum tetA,0,Risk V,227
HelR,0,Risk V,228
rmtB,0,Risk V,229
ANT(9)-Ib,0,Risk V,230
tet(O/32/O),0,Risk V,231
armA,0,Risk V,232
CMY-59,0,Risk V,233
Mycobacterium tuberculosis folC with mutation conferring resistance to para-aminosalicylic acid,0,Risk V,234
Acinetobacter baumannii AmvA,0,Risk V,235
ANT(4')-Ib,0,Risk V,236
Streptomyces venezuelae rox,0,Risk V,237
FusF,0,Risk V,238
AAC(3)-VIIa,0,Risk V,239
EBR-5,0,Risk V,240
AAC(6')-Iaj,0,Risk V,241
dfrA10,0,Risk V,242
dfrA16,0,Risk V,243
aadA9,0,Risk V,244
cfrC,0,Risk V,245
QnrD1,0,Risk V,246
ICR-Mo,0,Risk V,247
dfrD,0,Risk V,248
TRU-1,0,Risk V,249
dfrL,0,Risk V,250
RbpA,0,Risk V,251
CcrA,0,Risk V,252
ACT-56,0,Risk V,253
fusC,0,Risk V,254
vanRI,0,Risk V,255
AAC(6')-Ib',0,Risk V,256
AAC(6')-Ib7,0,Risk V,257
Rhodobacter sphaeroides ampC beta-lactamase,0,Risk V,258
Mycobacterium tuberculosis intrinsic murA conferring resistance to fosfomycin,0,Risk V,259
ANT(3'')-IIb,0,Risk V,260
dfrA20,0,Risk V,261
Erm(48),0,Risk V,262
tet(33),0,Risk V,263
msr(I),0,Risk V,264
arr-8,0,Risk V,265
QnrA3,0,Risk V,266
Sed-1,0,Risk V,267
QnrVC5,0,Risk V,268
PC1 beta-lactamase (blaZ),0,Risk V,269
FosG,0,Risk V,270
BRO-2,0,Risk V,271
FosK,0,Risk V,272
OXA-912,0,Risk V,273
cfr(D),0,Risk V,274
mphF,0,Risk V,275
OXA-334,0,Risk V,276
mphG,0,Risk V,277
mphO,0,Risk V,278
