ARG_type,ARG_count,MGE_Number_per_kb_Sum,ARG_count_log2,MGE_count_log2
spd,30,13.513133,4.954196310386875,3.859287087459349
sul1,475,145.31928,8.894817763307943,7.192976070855723
sul2,836,115.228555,9.709083812550343,6.86082074299176
sul3,37,0,5.247927513443585,0
sul4,2,0,1.584962500721156,0
tet(32),5281,0.694951,12.366868586167094,0.7612435665304536
tet(33),162,0,7.348728154231077,0
tet(36),124,0.042391,6.965784284662087,0.059896532848864745
tet(40),480,4.267653,8.909893083770042,2.397160313007578
tet(44),1878,0.897553,10.875749351420055,0.9241401816983578
tet(45),1050,293.356565,10.037546953962178,8.20142099404276
tet(59),11,0,3.584962500721156,0
tet(A),756,14.332555,9.564149489985732,3.9385262210223293
tet(B),135,0.144823,7.087462841250339,0.19512456184931629
tet(C),43,2.434385,5.459431618637297,1.7800517768056445
tet(D),7,0,3,0
tet(K),48,16.804637,5.614709844115208,4.154181117297781
tet(M),2166,553.87253,11.081483438093674,9.116012571221589
tet(O),1486,46.185233,10.53818893205242,5.560263522038165
tet(O/32/O),13,0.116645,3.807354922057604,0.15917060198733501
tet(O/W/32/O),44,3.272127,5.491853096329675,2.0949545354961567
tet(Q),4568,607.732738,12.157662727208448,9.249665146653657
tet(S),149,82.70183,7.22881869049588,6.387187260112965
tet(T),17,0,4.169925001442312,0
tet(W),2035,1.176655,10.991521846075695,1.1221127583611545
tet(W/N/W),1968,0.090229,10.943247395901553,0.12463120148336337
tet(X),606,134.07231,9.245552706255681,7.077588140381167
tet(X1),3,0,2,0
tet(X3),1,0,1,0
tet(X5),1,0,1,0
tet(Z),169,0,7.409390936137702,0
tetB(P),754,0,9.560332834212442,0
tmrB,5,0,2.584962500721156,0
ugd,60,0,5.930737337562887,0
vanB,2,0.425532,1.584962500721156,0.5115004249111798
vanC,43,0,5.459431618637297,0
vanF,232,0,7.864186144654281,0
vanG,1339,0,10.388017285345136,0
vanHB,4,2.625615,2.321928094887362,1.8582257350433653
vanHF,13,0,3.807354922057604,0
vanHO,3,0,2,0
vanRB,2,1.057419,1.584962500721156,1.0408356332721158
vanRC,36,0,5.20945336562895,0
vanRG,19,0,4.321928094887363,0
vanRI,2,0,1.584962500721156,0
vanSB,1,0.439754,1,0.5258223302105451
vanTC,70,0,6.149747119504682,0
vanTG,131,0,7.044394119358453,0
vanUG,199,0,7.643856189774724,0
vanWB,77,4.035607,6.285402218862249,2.3321656934470774
vanWG,186,0,7.546894459887636,0
vanWI,46,0,5.554588851677638,0
vanXA,1,0,1,0
vanXB,5,2.802106,2.584962500721156,1.9267987538545832
vanXF,307,0,8.266786540694902,0
vanXI,10,0,3.4594316186372973,0
vanXO,3,0,2,0
vanXYC,46,0,5.554588851677638,0
vanXYE,1,0,1,0
vanXYG,191,0,7.584962500721156,0
vanYA,81,0,6.357552004618084,0
vanYB,3379,6.848998,11.722807531169547,2.9725084918771105
vanYF,162,0,7.348728154231077,0
vanYG,3376,0.348068,11.721526464007477,0.4308932715853865
vanYM,317,0,8.312882955284355,0
vatE,51,11.61023,5.700439718141092,3.6565226843388503
ykkC,7,0,3,0
ykkD,8,0,3.169925001442312,0
