ARG,CVD,LAD,MAL,MSD,PKD,SRD,SXD
ANT(2'')-Ia,0.16874026666666667,0.23973697435897437,0.0010335833333333334,0.2568917727272727,0.09951845454545455,0.081350936666666665,0.011810214285714285
APH(2'')-If,6.751496666666666,4.0958948974358975,0.34595183333333335,3.6712272272727273,2.326579090909091,0.5637203933333333,0.8594317142857143
APH(3'')-Ib,0.22221169999999998,0.6139363846153846,1.3330370833333334,1.0339357272727272,2.071043318181818,0.98146928,1.6327922857142858
APH(3')-IIIa,88.7942956,39.14147805128205,18.480328,86.77840295454546,35.85515972727273,20.3823307,9.625780785714285
APH(3')-Ia,0.3393521333333333,0.11658764102564102,0.10088008333333333,0.0896604090909091,1.5385383636363636,0.06622652,0.013014928571428571
APH(6)-Id,0.004693933333333333,0.034524846153846156,0.38970675,0.07535981818181818,0,0.31643528666666665,0.029761857142857142
ErmA,0.17982733333333334,0.5450292564102563,0.2784606666666667,1.9057825454545454,1.3547814090909092,1.5110039533333333,0.04597807142857143
ErmB,6.0491702,2.067865512820513,1.8060248333333333,12.801123,4.2026153636363635,0.8997117033333334,2.0959850714285713
ErmF,12.962351133333334,12.138417538461539,16.51675975,6.579742318181818,4.3911315,5.3909942,5.100943785714286
ErmT,0.0023782,0.00746148717948718,0.04825558333333333,0.11108618181818182,0.37035704545454545,6.0785e-4,0.015991642857142857
ErmX,0.2880431,0.12525074358974359,0.5228003333333333,0.4371223181818182,1.6380836363636364,8.519733333333334e-4,0.002771
OXA-10,0.035197933333333334,0.020715615384615384,0,0.004713681818181818,0.016287045454545453,0.01706265,0.02262371428571429
SAT-4,22.6237124,9.49218258974359,3.6492524166666667,31.166618954545456,12.211789636363637,4.16645464,2.6263449285714286
TEM-1,0.3977423333333333,0.09267164102564103,0.024195833333333333,0.020382,0.11786072727272727,0.046790943333333335,0.0767137857142857
aad(6),0.32285963333333334,1.9333934615384616,0.3569503333333333,2.3650285,3.6799633636363636,0.25354023666666664,0.32273785714285713
aadA2,0,0.006318948717948717,0.024777916666666667,4.7899999999999993e-4,0.03351922727272728,2.0899e-4,0
aadA5,0.0112704,0.03244151282051282,0.06559875,0.008263000000000001,0.11059027272727273,0.003421766666666667,0.01142807142857143
dfrA14,0.0355571,0.02752069230769231,0.00923625,0.008497818181818183,0.018165818181818182,0.019245403333333334,0.01995807142857143
dfrA17,0,0.023155846153846152,0.04281683333333333,0,0.3690829090909091,0.00349278,0.014038
poxtA,0.9764564333333333,0.9011136923076923,0.5491425833333333,2.1550631363636366,0.6426458636363637,9.453994203333334,8.195834142857143
sul1,0.017238466666666667,0.08061538461538462,0.080451,0.12023159090909091,0.5618852727272727,0.028758546666666666,0.008038857142857143
sul2,0.43406256666666665,0.19579617948717948,0.5565669166666667,1.2582382272727273,0.8567288181818182,3.89435585,0.12686714285714285
tet(32),11.787089033333334,5.580756,7.783864583333333,21.273019772727274,15.869957863636364,5.212632903333334,4.462285285714286
tet(40),4.5345124666666665,2.309086717948718,4.824181583333333,8.828254636363637,13.920227681818181,2.2672618566666665,1.3771182142857143
tet(A),0.44616673333333334,0.4935735128205128,1.20779875,1.0407553636363636,0.36043013636363636,0.9381487733333334,1.5092672857142857
tet(K),0,0.0013982051282051282,0.08922291666666667,0,0.013295136363636363,0,2.1978571428571427e-4
tet(M),2.6516429666666665,2.0087883846153844,9.523008583333334,2.088355181818182,7.758378181818182,0.7371971566666666,0.7943586428571429
tet(O),14.454090666666668,7.338676410256411,20.361336333333334,46.84321590909091,112.91595322727272,11.1737707,5.735587142857143
tet(Q),106.2741703,142.41586017948717,268.5346158333333,156.67411968181818,98.75318795454545,116.61758511,82.80677914285714
tet(S),0.0353893,0.03055794871794872,0.11285324999999999,0.04196531818181818,0.4366343181818182,0.007068463333333334,0.0095465
tet(W),99.51294063333333,64.56716302564102,87.00423808333333,216.19654163636363,76.4177155909091,58.55254636,60.699798214285714
tet(X),0.6888161,2.142122666666667,3.1270263333333332,1.1751668636363637,0.9739477272727273,2.475689146666667,4.7621207142857145
