Breed,Best_Hit_ARO,Total_Abundance
CHP,OXA-58,0
CHP,OXA-820,0
CHP,OXA-912,0
CHP,OmpA,0
CHP,PC1 beta-lactamase (blaZ),0
CHP,PmrF,0.0585025
CHP,QnrA3,0.00334375
CHP,QnrB6,0
CHP,QnrD1,0.23857591666666667
CHP,QnrS1,0.28280466666666665
CHP,QnrVC5,0
CHP,RCP-1,0
CHP,RanA,1.7725342499999999
CHP,RanB,1.4601498333333334
CHP,RbpA,0
CHP,Rhodobacter sphaeroides ampC beta-lactamase,0
CHP,SAT-2,0.005945916666666666
CHP,SAT-4,1.438196
CHP,SHV-11,0
CHP,Sed-1,0.018112083333333334
CHP,Staphylococcus intermedius chloramphenicol acetyltransferase,0
CHP,Streptococcus suis chloramphenicol acetyltransferase,0.22162191666666667
CHP,Streptomyces rimosus otr(A),0
CHP,Streptomyces venezuelae rox,0
CHP,TEM-1,0.10318108333333333
CHP,TRU-1,0
CHP,TolC,0.05550925
CHP,VEB-17,0
CHP,Vibrio anguillarum chloramphenicol acetyltransferase,0.5207000833333334
CHP,Vibrio cholerae varG,0
CHP,YojI,0.029740916666666666
CHP,aad(6),0.7132125833333334
CHP,aadA11,0
CHP,aadA15,0.0016980833333333333
CHP,aadA16,0.005727166666666667
CHP,aadA17,0
CHP,aadA2,0.0024940833333333334
CHP,aadA27,0
CHP,aadA5,0.044220916666666665
CHP,aadA7,0
CHP,aadA9,0.0015839166666666666
CHP,aadK,0
CHP,aadS,1.25869275
CHP,abeS,0
CHP,acrB,0.07062075
CHP,acrD,0.04195458333333334
CHP,adeF,2.9543183333333336
CHP,adeL,0
CHP,almE,0
CHP,almF,0
CHP,almG,0
CHP,aphA15,0
CHP,apmA,0
CHP,armA,0
CHP,arr-2,0.17588808333333333
CHP,arr-3,0.017851833333333334
CHP,arr-8,0
CHP,bacA,0.002219
CHP,baeR,0.0646235
CHP,baeS,0.005109583333333333
CHP,catA4,0.00845375
CHP,catA8,4.63731075
CHP,catB11,0
CHP,catB2,0
CHP,catB3,0
CHP,catB8,0.0011665
CHP,catII from Escherichia coli K-12,0
CHP,catIII,0.00145275
CHP,catP,0.12877416666666666
CHP,catQ,0.010420249999999999
CHP,catS,0.027393916666666667
CHP,cepA,0
CHP,cfr(D),0
CHP,cfrA,0
CHP,cfrC,0.005025916666666666
CHP,cfrE,1.2312000833333334
CHP,clbC,0
CHP,clcD,0
CHP,cmeR,0.0040095
CHP,cmlA5,0.061633249999999994
CHP,cphA3,0
CHP,cpxA,0.025124166666666666
CHP,dfrA1,0.006507833333333333
CHP,dfrA10,0
CHP,dfrA12,0.022624
CHP,dfrA14,0.13936075
CHP,dfrA15,0
CHP,dfrA16,0.0032389166666666664
CHP,dfrA17,0.019524083333333334
CHP,dfrA19,0
CHP,dfrA20,0
CHP,dfrA27,0.008086583333333335
CHP,dfrA6 from Proteus mirabilis,0.004839
CHP,dfrD,0
CHP,dfrE,0
CHP,dfrF,0
CHP,dfrG,0.20624775
CHP,dfrL,0
CHP,efmA,0.44228825
CHP,efrA,0
CHP,emrA,0.06735275
CHP,emrK,0
CHP,emrR,0.20545816666666666
CHP,emrY,0.024913916666666668
CHP,emtA,0
CHP,eptA,0.07587858333333333
CHP,eptB,4.2724999999999995e-4
CHP,erm(45),0
CHP,evgA,0.07358816666666666
CHP,evgS,0.05206391666666667
CHP,fexA,19.090308166666667
CHP,fexB,3.3199821666666667
CHP,fosA5,0
CHP,fusC,0
CHP,fusD,0
CHP,gadX,0.15823283333333332
CHP,golS,0
CHP,kdpE,0
CHP,leuO,0.007731333333333334
CHP,linG,0
CHP,lnuA,7.290842583333333
CHP,lnuB,6.870905416666666
CHP,lnuC,34.616932416666664
CHP,lnuD,0
CHP,lnuE,0
CHP,lnuF,0
CHP,lnuG,0.04844383333333334
CHP,lsaE,0
CHP,marA,0.18695958333333332
CHP,mdeA,0.01612158333333333
CHP,mdtA,0.03165383333333333
CHP,mdtB,0.019317833333333333
CHP,mdtC,0.014887
CHP,mdtE,0.029252
CHP,mdtF,0.09494541666666667
CHP,mdtG,0.020406083333333335
CHP,mdtH,0.027655166666666665
CHP,mdtM,0.029304
CHP,mdtN,0.12294358333333334
CHP,mdtO,0.023783166666666668
CHP,mdtP,0.0427525
CHP,mecA,0
CHP,mecB,0
CHP,mecI,0
CHP,mecR1,0
CHP,mefF,0.121432
CHP,mefH,0.4179609166666666
CHP,mphA,0
CHP,mphC,0.0010295833333333333
CHP,mphE,9.3225e-4
CHP,mphF,0
CHP,mphG,0.0034659166666666666
CHP,mphK,0
CHP,mphO,0
CHP,msbA,0.05361408333333333
CHP,msr(G),0.11145791666666667
CHP,msr(I),0
CHP,msrA,4.5975000000000003e-4
CHP,nimA,0.8158530833333334
CHP,nimB,0.031524916666666666
CHP,nimC,0
CHP,nimD,0
CHP,nimE,0.019944333333333335
CHP,nimF,0.06336575
CHP,nimG,0.8829428333333333
CHP,nimH,0.01992975
CHP,nimI,0.13553558333333335
CHP,nimJ,1.0410558333333333
CHP,nimK,0.14771566666666666
CHP,norC,0
CHP,npmA,0
CHP,oqxA,0
CHP,patB,0
CHP,poxtA,3.5509725833333334
CHP,qacEdelta1,0.20600516666666666
CHP,qacG,27.069641333333333
CHP,qacJ,6.916012083333333
CHP,qacL,0.02881225
CHP,ramA,0
CHP,rgt1438,0
CHP,rmtB,0
CHP,rsmA,0.08402025
CHP,salC,0.00476225
CHP,salD,0
CHP,salE,4.965833333333334e-4
CHP,sdiA,0
CHP,sdrM,0.0014908333333333334
CHP,sepA,0.02150175
CHP,spd,0
CHP,sul1,0.0404705
CHP,sul2,0.5559568333333333
CHP,sul3,0
CHP,sul4,0
CHP,tet(32),2.3434630833333334
CHP,tet(33),0.015692083333333332
CHP,tet(36),0.030895916666666665
CHP,tet(40),1.8965569166666667
CHP,tet(44),6.95094775
CHP,tet(45),27.269300833333332
CHP,tet(59),0.0031249166666666665
CHP,tet(A),2.8867908333333334
CHP,tet(B),0.00165375
CHP,tet(C),0.03430241666666667
CHP,tet(D),0
CHP,tet(K),0
CHP,tet(M),24.98382266666667
CHP,tet(O),7.7128455
CHP,tet(O/32/O),0.6603229166666666
CHP,tet(O/W/32/O),19.277890416666665
CHP,tet(Q),44.76033425
CHP,tet(R),0
CHP,tet(S),0.6432829166666667
CHP,tet(T),0.002017916666666667
CHP,tet(W),130.85806733333334
CHP,tet(W/N/W),14.28608975
CHP,tet(X),0.7703663333333334
CHP,tet(X1),0
CHP,tet(X3),0
CHP,tet(X5),2.4638371666666665
CHP,tet(Z),0
CHP,tetB(P),7.932697416666667
CHP,tmrB,0.005214583333333333
CHP,ugd,0.008778583333333333
CHP,vanB,0
CHP,vanC,0.005497833333333334
CHP,vanE,0
CHP,vanF,0.046572333333333334
CHP,vanG,2.859617
CHP,vanHA,0.00648125
CHP,vanHB,0.02381275
CHP,vanHD,0.11929166666666667
CHP,vanHF,0.11598891666666666
CHP,vanHM,0
CHP,vanHO,1.0750623333333333
CHP,vanHP,0.0061231666666666665
CHP,vanI,0
CHP,vanRB,0
CHP,vanRC,0.0016835833333333332
CHP,vanRG,0
CHP,vanRI,0
CHP,vanSB,0
CHP,vanTC,0.01268925
CHP,vanTE,0.03564766666666667
CHP,vanTG,2.1670765833333334
CHP,vanTN,0.008573333333333334
CHP,vanTmL,0.034458416666666665
CHP,vanTrL,0.0327435
CHP,vanUG,0.028192833333333334
CHP,vanWB,0.9616813333333333
CHP,vanWG,1.041671
CHP,vanWI,4.8702249166666665
CHP,vanXA,0
CHP,vanXB,0
CHP,vanXF,0.1079895
CHP,vanXI,0.007535583333333333
CHP,vanXO,0
CHP,vanXP,0.0017455833333333334
CHP,vanXYC,0.012699416666666668
CHP,vanXYE,0
CHP,vanXYG,2.4319763333333335
CHP,vanXYN,0.010324166666666667
CHP,vanYA,10.00992675
CHP,vanYB,14.349651
CHP,vanYF,1.8762348333333334
CHP,vanYG,5.7193485
CHP,vanYM,3.2232730833333334
CHP,vatE,0.5103715833333333
CHP,ykkC,0.009030333333333333
CHP,ykkD,0.015334833333333332
JRD,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A),0
JRD,AAC(3)-IIc,0.092715875
JRD,AAC(3)-IVa,0
JRD,AAC(3)-VIIa,0.003062875
JRD,AAC(6')-IIa,0.036639687500000004
JRD,AAC(6')-Ia,0
JRD,AAC(6')-Iaj,0
JRD,AAC(6')-Ib',0.07941725000000001
