MGE_Type,Renamed_MGE_subtype,count
Tn916,Tn916,1465
insertion_element,IS10,71
insertion_element,IS91,295
insertion_element,insertion_element_other,75
integrase,intI1,277
integrase,integrase_other,56
istB,istB,1
plasmid,plasmid_other,181
plasmid,rep7,540
plasmid,repUS12,191
qacEdelta,qacEdelta,717
tniA,tniA,16
tniB,tniB,119
transposase,tnpA,5543
transposase,transposase_other,179
