IID	class	class1	class2	color1	color
LIPID-N-0092	Quantitative lipidomics	Fatty Acids	FA	#025939	#3ABF99
LIPID-N-0087	Quantitative lipidomics	Fatty Acids	FA	#025939	#3ABF99
LIPID-N-0086	Quantitative lipidomics	Fatty Acids	FA	#025939	#3ABF99
LIPID-N-0084	Quantitative lipidomics	Fatty Acids	FA	#025939	#3ABF99
LIPID-N-0099	Quantitative lipidomics	Fatty Acids	FA	#025939	#3ABF99
LIPID-N-0103	Quantitative lipidomics	Fatty Acids	FA	#025939	#3ABF99
LIPID-N-0102	Quantitative lipidomics	Fatty Acids	FA	#025939	#3ABF99
LIPID-N-0091	Quantitative lipidomics	Fatty Acids	FA	#025939	#3ABF99
MEDP3279*094	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MEDN1063*105	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MEDN1071*105	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MEDP0577*140	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MEDN3071*179	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MEDN4135*180	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MEDN1751*194	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MEDN0381*194	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MEDN0783*197	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MEDN4170*197	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MEDN1156*204	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MEDN0398*204	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MEDN0376*205	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MEDN2319*205	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MEDN1081*205	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MEDN1079*206	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MEDN0391*206	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MEDN1460*208	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MEDN0795*208	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MEDP1382*266	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MEDP2697*276	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MADN1014	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MADN1112	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MADN1461	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MADN3933	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MADN3969	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MADN4126	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MADN4129	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MEDN0311	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MEDN0349	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MEDN0350	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MEDN0375	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MEDN0383	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
MEDN0385	TM Widely-targeted metabolomics	Fatty Acids	FA	#025939	#F0A73A
