IID	class	class1	class2	color1	color
LIPID-N-0284	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0285	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0287	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0290	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0291	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0295	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0277	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-0547	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-0546	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-0544	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-0542	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-0538	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-0540	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-0536	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-0534	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-0531	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-0541	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-0549	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-0554	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-0551	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-0552	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-0555	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-0556	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-0557	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-0560	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-0561	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-0562	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-0564	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-0565	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-0566	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-0568	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-0569	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-0550	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-0558	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-0535	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0383	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0387	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0384	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-1079	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-1080	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-1081	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-1083	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-1086	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-1089	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-1092	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-1098	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-1101	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-1102	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-1103	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-1104	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-1105	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0388	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-1106	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0393	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0397	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-1068	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-1064	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-1063	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-1059	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-1057	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0426	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0416	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0415	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0414	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0413	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-0161	Quantitative lipidomics	Prenol lipids	PR	#214EA7	#3ABF99
LIPID-P-0160	Quantitative lipidomics	Prenol lipids	PR	#214EA7	#3ABF99
LIPID-N-0412	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0404	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0402	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0401	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0400	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0399	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0396	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0382	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-1070	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0343	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0347	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0349	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0350	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0352	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0353	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0354	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0363	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0366	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0368	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0369	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0370	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0372	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0380	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0365	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0345	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0355	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0323	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0331	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0334	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0336	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0762	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0760	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0837	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0872	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0871	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0862	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0861	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0857	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0842	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0831	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0748	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0763	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0781	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0783	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0786	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0789	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0840	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0807	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0806	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0813	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0814	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0815	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0758	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0751	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0809	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-1359	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-1357	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-0664	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-1356	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-1353	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-0661	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-0650	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-0658	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-0656	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-0655	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-0652	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-1363	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-0659	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-1364	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-1405	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-1367	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-1368	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-1374	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-1375	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-1382	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-1383	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-1387	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-1388	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-1390	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-1394	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-1398	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-1407	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-0649	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-1366	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-0647	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-0640	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-0637	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-1322	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-1321	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-1318	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-1315	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-1314	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-1310	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-1323	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-1324	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-1329	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-1330	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-1332	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-1320	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-1340	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-1336	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-0636	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-0631	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-0632	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-1345	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-1342	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-1341	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-P-1348	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0432	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0454	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0438	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0444	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0446	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0447	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0453	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-1211	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-1207	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-1208	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-1212	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-1213	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-1219	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-1205	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0457	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-1202	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-1189	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-1198	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-1115	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-1119	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-1120	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-1121	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-1122	Quantitative lipidomics	Glycerophospholipids	GP	#088C00	#3ABF99
LIPID-N-0008	Quantitative lipidomics	Sterol	ST	#6E86A5	#3ABF99
LIPID-N-0010	Quantitative lipidomics	Sterol	ST	#6E86A5	#3ABF99
LIPID-N-0014	Quantitative lipidomics	Sterol	ST	#6E86A5	#3ABF99
LIPID-N-0015	Quantitative lipidomics	Sterol	ST	#6E86A5	#3ABF99
LIPID-N-0016	Quantitative lipidomics	Sterol	ST	#6E86A5	#3ABF99
LIPID-N-0017	Quantitative lipidomics	Sterol	ST	#6E86A5	#3ABF99
LIPID-P-0057	Quantitative lipidomics	Sterol	ST	#6E86A5	#3ABF99
LIPID-P-0064	Quantitative lipidomics	Sterol	ST	#6E86A5	#3ABF99
LIPID-P-0083	Quantitative lipidomics	Sterol	ST	#6E86A5	#3ABF99
LIPID-P-0073	Quantitative lipidomics	Sterol	ST	#6E86A5	#3ABF99
LIPID-P-0068	Quantitative lipidomics	Sterol	ST	#6E86A5	#3ABF99
LIPID-P-0052	Quantitative lipidomics	Sterol	ST	#6E86A5	#3ABF99
MEDP0541*014	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP4120*025	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP1907*094	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP0084*101	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP0831*101	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP2334*101	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP2027*126	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MADN0290*330	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MADN0552	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MADN0577	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MADN0841	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MADN0933	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MADN1782	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MADN3614HN	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDN0682	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDN0721	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDN1125	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDN1171	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDN1224	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDN1241	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDN4239	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP0047	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP0086	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP0089	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP0127	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP0245P	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP0513	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP0601	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP0658	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP0677	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP1040	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP1052	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP1064	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP1131	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP1138	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP1139	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP1163	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP1183	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP1196	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP1197	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP1446	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP1465	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP1491	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP1644	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP1646	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP1649	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP1740	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP1741	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP1763	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP1794	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP1795	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP2058	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP2066	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP2068	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP2189	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP2332	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP2436	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP2445P	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP2458	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP2522	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP2525	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP2725	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP2806	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP3053	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP3493	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP3563	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP3594P	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP3827	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MEDP4048	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MW0007258HN	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MW0010991P	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MW0013349HN	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MW0052640P	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MW0107609HN	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MW0116980P	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MW0123158N	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MW0140542P	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MW0162422N	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MW0162565N	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
MW0163023N	TM Widely-targeted metabolomics	Alcohol and amines	Alcohol and amines	#FAE93B	#F0A73A
