Sample,Total_high_risk_ARG_abundance,Total_ARG_abundance,source
CCH108A,253.1416,446.172531,Duck
CCH111-1A,254.075167,442.225288,Duck
CCH112-2A,286.784947,493.570895,Duck
CCH119-1A,229.399842,382.23478,Duck
CCH127-1A,297.396232,475.569378,Duck
CCH150-1B,345.671235,597.362773,Duck
CCH151-2A,353.799672,534.576847,Duck
CCH156-3B,283.266214,465.443291,Duck
CCH157-2B,350.680519,600.306221,Duck
CCH162-1A,356.321061,798.02376,Duck
CCH180-3A,249.104905,467.066901,Duck
CCH186-1A,337.603342,566.485341,Duck
CCH209A,373.660336,591.972988,Duck
CCH210A,280.199978,473.431866,Duck
CCH212A,240.113418,467.557523,Duck
CCH221-1A,272.383504,445.653216,Duck
CCH227-3A,276.524721,510.65443,Duck
CCH247A,292.285672,492.026969,Duck
CCH250-2A,238.469053,442.101593,Duck
CCH251-1A,246.548549,467.909946,Duck
CCH258A,340.550207,594.633207,Duck
CCH259-3A,259.803028,553.969268,Duck
CCH263-2A,291.004674,517.506209,Duck
CCH277-1A,258.758154,470.977343,Duck
CCH287A,151.472196,288.094339,Duck
CCH294-1A,242.750349,470.69527,Duck
CCH295-1A,279.90621,602.891634,Duck
CCH306-2A,277.634798,524.084154,Duck
CCH323-3A,251.38882,461.365306,Duck
CCH324-4A,263.170698,477.552504,Duck
CCH325-1A,279.993334,471.240708,Duck
CCH326A,320.226732,539.256357,Duck
CCH328A,331.756134,571.743813,Duck
CCH340-2A,263.461515,450.89524,Duck
CCH346-1A,242.915125,462.481982,Duck
CCH57A,302.863751,533.174095,Duck
CCH74-3A,212.296673,367.3532,Duck
CCH93-1A,267.774846,436.486015,Duck
CCH95-1A,277.819791,457.116216,Duck
CCS15B,180.479322,435.174611,Duck
CCS16B,105.971327,286.605816,Duck
CCS17A,172.221228,351.927073,Duck
CCS18A,172.014029,334.687365,Duck
CCS19A,255.867151,484.361588,Duck
CCS20A,230.576734,489.629091,Duck
CCS24A,208.248638,380.032847,Duck
CCS25B,214.060148,534.275232,Duck
CCS26A,126.759455,235.270709,Duck
CCS27A,118.258087,241.60623,Duck
CCS28B,187.869576,374.8057,Duck
CCS29B,193.493266,428.767173,Duck
CCS30A,196.705458,366.432783,Duck
CCS34A,232.391953,419.864499,Duck
CCY10A,366.604208,777.941788,Duck
CCY11A,367.047603,661.732611,Duck
CCY13A,289.295929,612.581558,Duck
CCY17A,340.568671,629.38186,Duck
CCY20A,385.155649,807.786284,Duck
CCY23A,415.812101,898.938202,Duck
CCY24A,303.144705,644.010635,Duck
CCY25B,378.317867,762.207068,Duck
CCY26A,394.598374,893.081749,Duck
CCY27A,320.817196,617.991577,Duck
CCY28A,285.175512,578.950104,Duck
CCY30A,300.858888,613.906822,Duck
CCY33B,242.943816,627.338515,Duck
CCY34B,324.159745,735.56477,Duck
CCY35B,359.802721,753.156056,Duck
CCY36B,362.569165,727.840826,Duck
CCY37A,299.358339,599.57799,Duck
CCY39A,379.393334,821.447492,Duck
CCY41B,260.209571,612.391528,Duck
CCY42A,381.07877,938.873481,Duck
CCY43A,297.305126,667.15655,Duck
CCY44A,275.049351,565.572556,Duck
CCY46B,265.49666,562.865835,Duck
CCY47A,458.199333,865.882461,Duck
CCY48A,389.607742,735.482009,Duck
CCY49A,439.022522,940.198906,Duck
CCY50A,340.003677,839.505698,Duck
CCY6A,350.643199,697.649209,Duck
CCY8A,352.172449,822.703061,Duck
CCY9B,329.56888,695.337169,Duck
FDM11A,296.899232,482.831204,Duck
FDM12B,50.513818,160.998702,Duck
FDM14A,103.322525,241.764829,Duck
FDM15A,198.402842,363.306201,Duck
FDM16A,179.620814,367.564978,Duck
FDM17B,124.035728,274.479681,Duck
FDM18A,143.12525,321.577006,Duck
FDM19A,119.631056,399.188386,Duck
FDM1B,118.479864,483.23621,Duck
FDM20B,60.378776,388.972617,Duck
FDM21B,35.358463,173.254211,Duck
FDM23A,88.83109,286.537295,Duck
FDM24B,33.287277,249.259907,Duck
FDM25B,45.78226,396.053429,Duck
FDM26A,248.455168,398.087947,Duck
FDM27B,26.409968,255.68522,Duck
FDM28B,95.880591,418.374065,Duck
FDM29B,65.746225,353.545152,Duck
FDM30A,54.889383,203.248415,Duck
FDM32B,318.934777,543.828349,Duck
FDM33A,79.041429,390.236136,Duck
FDM34B,121.297675,284.550165,Duck
FDM3B,291.778406,541.411208,Duck
FDM5B,255.850838,510.572623,Duck
FDM6A,246.424344,427.590919,Duck
FDM7A,280.781238,433.820449,Duck
FDM8B,88.136643,418.886543,Duck
FH108B,106.633909,465.325601,Duck
FH111B,89.75126,455.997658,Duck
FH127B,57.410605,291.831835,Duck
FH151A,209.141521,347.295265,Duck
FH157B,260.359974,521.885906,Duck
FH180A,99.513162,433.310939,Duck
FH206B,160.855838,514.2894,Duck
FH221B,253.709552,565.962146,Duck
FH227B,54.504902,373.716582,Duck
FH247A,243.354993,445.670503,Duck
FH251B,95.754826,459.537607,Duck
FH287B,314.310181,555.527812,Duck
FH295A,145.513366,434.534669,Duck
FH306B,122.762992,478.082776,Duck
FH323B,132.348942,577.482156,Duck
FH324B,123.169649,605.560524,Duck
FH326B,302.803217,604.218357,Duck
FH328A,294.91253,534.540013,Duck
FH340B,137.082905,562.204354,Duck
FH74B,84.396514,474.033151,Duck
FH93B,159.451067,367.96916,Duck
FH95B,88.093494,258.232695,Duck
FJY10A,259.645342,807.936737,Duck
FJY12A,329.369216,719.532323,Duck
FJY13B,164.752237,394.776792,Duck
FJY14A,271.448577,634.038719,Duck
FJY15A,304.353147,560.33469,Duck
FJY16B,261.337514,770.440676,Duck
FJY17A,176.956815,407.75454,Duck
FJY18A,258.947092,516.408619,Duck
FJY19A,150.152484,313.808566,Duck
FJY1A,356.01206,966.776375,Duck
FJY20A,172.49914,457.833994,Duck
FJY21A,285.950602,543.965591,Duck
FJY22A,272.032464,573.845046,Duck
FJY23A,276.544098,608.013416,Duck
FJY24B,304.525183,567.272647,Duck
FJY25B,296.60057,808.144286,Duck
FJY26A,359.342578,765.367463,Duck
FJY27B,113.007328,360.781899,Duck
FJY28A,240.912308,588.587176,Duck
