ARG,Stomach,small_intestine,large_intestine,Feces
ANT(2'')-Ia,0.3088021818181818,0.0039059999999999997,0.1467113667763158,0.600846306722689
APH(2'')-If,0.022063558441558443,0.0057645983263598325,1.8029380394736843,0.7659897058823529
APH(3'')-Ib,0.10776420779220779,0.023184364016736403,1.0488787351973685,0.9214849201680673
APH(3')-IIIa,1.5669102467532467,0.871753460251046,28.10628857236842,11.094315386554621
APH(3')-Ia,0.4902974025974026,0.09283686610878661,0.37283364309210526,0.8909688403361344
APH(6)-Id,0.032785584415584414,4.059121338912134e-4,0.3040619638157895,0.03819816386554622
ErmA,0.5134717142857143,0.18049371548117155,1.0251769473684211,6.934916357142857
ErmB,0.7237945324675324,0.9558841380753138,4.928594506578947,10.168744394957983
ErmF,0.2565358051948052,0.034413246861924686,5.606631123355263,1.7149183025210084
ErmT,0.1272578051948052,1.0021225732217574,0.46530725657894734,0.6107848949579832
ErmX,0.5103324025974025,0.13268967364016737,0.1629554144736842,1.2195549243697479
OXA-10,0.14063444155844154,0.019547493723849372,0.02141226480263158,0.3738778907563025
SAT-4,0.5024001038961039,0.8871231589958158,7.895883761513158,5.4962624957983195
TEM-1,0.15360466233766235,0.023740958158995816,1.3846367779605264,0.9101582394957983
aad(6),0.209722987012987,0.1763522719665272,0.8569954194078947,2.4428298655462184
aadA2,0.021441597402597403,0.0225701589958159,0.047322906,0.22497612605042017
aadA5,0.23485746753246753,0.08036968619246862,0.027926375,1.142657962184874
dfrA14,0.10763790909090909,0.016183309623430963,0.15484122532894737,0.5780312689075631
dfrA17,0.2667969090909091,0.0971758870292887,0.6235649753289474,1.075661781512605
poxtA,0.07674463636363636,0.07641208368200837,5.349004659539474,2.350606663865546
sul1,0.37426703896103897,0.10094550209205021,0.32585359539473685,1.5759603487394958
sul2,1.3503385324675325,0.034556807531380754,3.1938288996710527,0.7884384705882352
tet(32),0.1597012987012987,0.10848973640167364,8.096378393092106,4.539317634453782
tet(40),0.06513946753246753,0.08709161087866109,4.110025263157895,3.5724411722689076
tet(A),0.6106296883116883,0.06743793305439331,2.506118719,1.883168168067227
tet(K),0.01361931168831169,1.3023943179916317,0.1642447845394737,0.0808156050420168
tet(M),1.750665857142857,7.256845066945607,4.094218116776315,24.255623491596637
tet(O),3.8167205064935064,3.883309518828452,23.49968520723684,59.24777445378151
tet(Q),4.257353688311689,2.1228071464435145,118.79068009539473,38.921885819327734
tet(S),0.1670307012987013,0.8375668661087866,0.17204785197368422,0.8203290336134453
tet(W),0.9645802207792208,2.2192231548117154,78.52428653782894,45.77729013865546
tet(X),0.3911895194805195,0,1.8054691628289474,0.6219318613445378
