Sample,total_abundance,gut_locations
BKDN170793995-1A,338.836921,Feces
BKDN170793835-1A,337.779019,Feces
SRR29536176,337.689851,large_intestine
BKDN170796253-1A,336.75993,Feces
BKDN170795836-1A,335.994754,Feces
BKDN170796249-1A,335.172052,Feces
SRR29429271,334.8627,large_intestine
BKDN170793891-1A,334.039084,Feces
SRR21163445,333.145042,large_intestine
SRR21163442,330.252058,large_intestine
SHCC69B,328.151984,large_intestine
SRR28497703,327.928243,large_intestine
SRR29536186,325.380073,large_intestine
BKDN170794805-1A,324.616152,Feces
BKDN170793909-1A,323.933198,Feces
BKDN170795147-1A,323.520345,Feces
CCY10A,323.030209,large_intestine
CCY42A,322.849887,large_intestine
SRR29409644,322.246159,large_intestine
SRR21163514,322.207677,large_intestine
BKDN170794068-1A,321.903284,Feces
FJY14A,320.673548,Feces
BKDN170796080-1A,320.268517,Feces
CCY11A,320.25413,large_intestine
SRR29409646,319.980481,large_intestine
CCY47A,319.755164,large_intestine
SRR29409640,319.052492,large_intestine
BKDN170795149-1A,318.650404,Feces
FJY2A,317.956344,Feces
SRR29449915,313.99665,large_intestine
BKDN170796424-1A,313.306621,Feces
BKDN170796006-1A,312.775988,Feces
BKDN170796173-1A,312.301749,Feces
BKDN170794330-1A,311.851755,Feces
SRR29449920,311.415161,large_intestine
CCH209A,311.411767,large_intestine
CCY20A,311.094333,large_intestine
CCY49A,310.775845,large_intestine
FDM11A,310.157935,Feces
SRR29449358,309.890767,large_intestine
BKDN170794322-1A,309.590239,Feces
BKDN170793908-1A,309.044516,Feces
FDM3B,308.345488,Feces
BKDN170794054-1A,307.71748,Feces
BKDN170794228-1A,306.667806,Feces
BKDN170794554-1A,306.658752,Feces
SHCC81A,306.526071,large_intestine
SRR29429273,306.326416,large_intestine
CCY35B,305.941772,large_intestine
CCH162-1A,304.421826,large_intestine
FJY25B,304.2197,Feces
BKDN170796247-1A,304.078326,Feces
FJY10A,304.035724,Feces
SRR29449365,303.680162,large_intestine
CCH151-2A,302.904734,large_intestine
SHCC235A,302.257023,large_intestine
BKDN170795140-1A,302.047512,Feces
SHCC254B,301.930384,large_intestine
SRR29449362,301.291314,large_intestine
BKDN170796250-1A,300.645021,Feces
SRR29409641,299.189334,large_intestine
SHCC210A,297.954897,large_intestine
BKDN170794387-1A,297.870039,Feces
SRR29409643,297.629513,large_intestine
BKDN170793895-1A,296.974859,Feces
CCY23A,295.836445,large_intestine
CCY39A,294.997883,large_intestine
CCY8A,294.591129,large_intestine
SRR29449377,294.447199,large_intestine
SHCC4A,294.337086,large_intestine
BKDN170794811-1A,293.996137,Feces
CCY48A,293.787801,large_intestine
CCH150-1B,293.707285,large_intestine
BKDN170796413-1A,293.51155,Feces
FH287B,293.209399,Feces
