Sample,Breed,Application,Total_Abundance
SHCC161A,SRD,dual_type,445.412299
SHCC162A,SRD,dual_type,504.586292
SHCC163A,SRD,dual_type,445.50034600000004
SHCC164B,SRD,dual_type,472.120632
SHCC165A,SRD,dual_type,452.319089
SHCC166A,SRD,dual_type,623.909947
SHCC167A,SRD,dual_type,679.818432
SHCC168A,SRD,dual_type,507.833958
SHCC169A,SRD,dual_type,359.978828
SHCC16A,SRD,dual_type,409.210441
SHCC170A,SRD,dual_type,351.907127
SHCC171A,SRD,dual_type,488.465988
SHCC172A,SRD,dual_type,280.149282
SHCC173A,SRD,dual_type,259.267668
SHCC174A,SRD,dual_type,364.376865
SHCC175A,SRD,dual_type,516.63844
SHCC176A,SRD,dual_type,452.33374100000003
SHCC177A,SRD,dual_type,468.184754
SHCC178A,SRD,dual_type,423.472034
SHCC179A,SRD,dual_type,541.039854
SHCC17A,SRD,dual_type,403.576298
SHCC180A,SRD,dual_type,507.55138900000003
SHCC181A,SRD,dual_type,576.910978
SHCC182A,SRD,dual_type,407.472968
SHCC183A,SRD,dual_type,293.134343
SHCC184A,SRD,dual_type,508.587839
SHCC185B,SRD,dual_type,625.919536
SHCC186A,SRD,dual_type,464.426354
SHCC187A,SRD,dual_type,420.413805
SHCC188A,SRD,dual_type,451.714499
SHCC189A,SRD,dual_type,460.385269
SHCC18A,SRD,dual_type,452.16924
SHCC190A,SRD,dual_type,497.4927
SHCC191A,SRD,dual_type,502.7078
SHCC192A,SRD,dual_type,490.24694500000004
SHCC193A,SRD,dual_type,441.96612799999997
SHCC194A,SRD,dual_type,392.55543
SHCC195A,SRD,dual_type,422.515248
SHCC196A,SRD,dual_type,704.475022
SHCC197A,SRD,dual_type,495.15301999999997
SHCC198A,SRD,dual_type,341.101087
SHCC199A,SRD,dual_type,527.1454259999999
SHCC19A,SRD,dual_type,206.330203
SHCC1A,SRD,dual_type,527.180651
SHCC200A,SRD,dual_type,431.022271
SHCC201A,SRD,dual_type,532.687202
SHCC202A,SRD,dual_type,501.488789
SHCC203A,SRD,dual_type,477.592301
SHCC204B,SRD,dual_type,561.217504
SHCC205A,SRD,dual_type,503.17837199999997
SHCC206A,SRD,dual_type,528.271523
SHCC207A,SRD,dual_type,463.580479
SHCC208A,SRD,dual_type,466.48488199999997
SHCC209A,SRD,dual_type,460.146515
SHCC20A,SRD,dual_type,357.942584
SHCC210A,SRD,dual_type,566.304337
SHCC211A,SRD,dual_type,354.184498
SHCC212A,SRD,dual_type,518.150956
SHCC213A,SRD,dual_type,451.317607
SHCC214A,SRD,dual_type,431.001792
SHCC215A,SRD,dual_type,392.647553
SHCC216A,SRD,dual_type,399.419268
SHCC217A,SRD,dual_type,536.195437
SHCC218A,SRD,dual_type,465.116375
SHCC219A,SRD,dual_type,496.962379
SHCC21A,SRD,dual_type,244.837168
SHCC220A,SRD,dual_type,274.709826
SHCC221A,SRD,dual_type,457.874062
SHCC222A,SRD,dual_type,397.332022
SHCC223A,SRD,dual_type,408.127822
SHCC224A,SRD,dual_type,526.828139
SHCC225B,SRD,dual_type,421.51426399999997
SHCC226A,SRD,dual_type,460.228078
SHCC227A,SRD,dual_type,498.343096
SHCC228A,SRD,dual_type,512.368393
SHCC229A,SRD,dual_type,471.570069
SHCC22A,SRD,dual_type,110.334202
SHCC230A,SRD,dual_type,452.49694800000003
SHCC231A,SRD,dual_type,428.882743
SHCC232A,SRD,dual_type,472.702449
SHCC233A,SRD,dual_type,228.604119
SHCC234B,SRD,dual_type,395.68649800000003
SHCC235A,SRD,dual_type,527.839096
SHCC236A,SRD,dual_type,466.605069
SHCC237A,SRD,dual_type,243.845668
SHCC238A,SRD,dual_type,436.973333
SHCC239A,SRD,dual_type,233.967474
SHCC23A,SRD,dual_type,298.368798
SHCC240A,SRD,dual_type,467.503528
SHCC241A,SRD,dual_type,437.705436
SHCC242A,SRD,dual_type,481.996998
SHCC243A,SRD,dual_type,539.357485
SHCC244A,SRD,dual_type,521.629867
SHCC245A,SRD,dual_type,272.731709
SHCC246A,SRD,dual_type,477.35268
SHCC247A,SRD,dual_type,462.13091000000003
SHCC248A,SRD,dual_type,485.767514
SHCC249A,SRD,dual_type,473.669105
SHCC24A,SRD,dual_type,410.765094
SHCC250A,SRD,dual_type,434.54017699999997
SHCC251B,SRD,dual_type,545.460025
SHCC252A,SRD,dual_type,510.34177800000003
SHCC253A,SRD,dual_type,461.762716
SHCC254B,SRD,dual_type,683.136728
SHCC255B,SRD,dual_type,420.205446
SHCC256A,SRD,dual_type,471.365427
SHCC257A,SRD,dual_type,363.640957
SHCC258A,SRD,dual_type,391.852713
SHCC259A,SRD,dual_type,460.778009
SHCC25A,SRD,dual_type,463.314479
SHCC260A,SRD,dual_type,370.958723
SHCC261A,SRD,dual_type,468.023639
SHCC262A,SRD,dual_type,491.52292
SHCC263A,SRD,dual_type,482.025338
SHCC264A,SRD,dual_type,529.6213
SHCC265A,SRD,dual_type,436.30938
SHCC266B,SRD,dual_type,518.166278
SHCC267A,SRD,dual_type,537.557966
SHCC268A,SRD,dual_type,410.70114
SHCC269A,SRD,dual_type,388.537513
SHCC26B,SRD,dual_type,659.323644
SHCC270A,SRD,dual_type,487.894572
SHCC271B,SRD,dual_type,549.058312
SHCC272B,SRD,dual_type,573.4431119999999
SHCC273B,SRD,dual_type,440.980794
SHCC274A,SRD,dual_type,549.990097
SHCC275A,SRD,dual_type,262.92579
SHCC276A,SRD,dual_type,643.308386
SHCC277A,SRD,dual_type,345.535776
SHCC278A,SRD,dual_type,463.940354
SHCC279A,SRD,dual_type,411.219895
SHCC27A,SRD,dual_type,486.501719
SHCC280A,SRD,dual_type,338.114749
SHCC281A,SRD,dual_type,487.074978
SHCC282A,SRD,dual_type,442.95935
SHCC283A,SRD,dual_type,445.96618
SHCC284A,SRD,dual_type,239.856867
SHCC285A,SRD,dual_type,556.921682
SHCC286A,SRD,dual_type,201.93227199999998
SHCC287A,SRD,dual_type,576.476725
SHCC288A,SRD,dual_type,594.8866390000001
SHCC289A,SRD,dual_type,544.97765
SHCC28B,SRD,dual_type,419.299672
SHCC290A,SRD,dual_type,422.48357699999997
SHCC291A,SRD,dual_type,141.876709
SHCC292A,SRD,dual_type,441.504167
SHCC293A,SRD,dual_type,400.40623
SHCC294A,SRD,dual_type,60.930400999999996
SHCC295A,SRD,dual_type,157.349757
SHCC296A,SRD,dual_type,443.050068
SHCC297B,SRD,dual_type,502.801106
SHCC298A,SRD,dual_type,440.45462599999996
SHCC299B,SRD,dual_type,565.83191
SHCC29A,SRD,dual_type,581.9950699999999
SHCC2A,SRD,dual_type,261.199948
SHCC300A,SRD,dual_type,473.042821
SHCC30A,SRD,dual_type,368.686359
SHCC31A,SRD,dual_type,531.718984
SHCC32A,SRD,dual_type,427.068133
