mag,Family,Genus
GCH227B_bin.6,f__Cardiobacteriaceae,g__Suttonella_A
GCH227B_bin.9,f__Pasteurellaceae,g__Gallibacterium
GCH251A_bin.1,f__Pasteurellaceae,g__Gallibacterium
GCH277A_bin.2,f__Moraxellaceae,g__Acinetobacter
GCH325A_bin.1,f__Moraxellaceae,g__Acinetobacter
Lace_duck_Glandular_stomach_25_bin.16,f__Weeksellaceae,g__Planobacterium
Lace_duck_Glandular_stomach_25_bin.17,f__Micrococcaceae,g__Rothia
Lace_duck_Glandular_stomach_25_bin.20,f__Brachyspiraceae,g__Brachyspira
Lace_duck_Glandular_stomach_25_bin.27,f__Ruminococcaceae,g__Faecalibacterium
Lace_duck_Glandular_stomach_25_bin.3,f__Lactobacillaceae,g__Limosilactobacillus
Lace_duck_Glandular_stomach_25_bin.31,f__Chitinophagaceae,g__JAFAGI01
Lace_duck_Glandular_stomach_25_bin.32,f__Enterococcaceae,g__Enterococcus_E
Lace_duck_Glandular_stomach_25_bin.34,f__Peptoniphilaceae,unknown
Lace_duck_Glandular_stomach_25_bin.37,f__Neisseriaceae,g__Neisseria
Lace_duck_Glandular_stomach_25_bin.39,f__Pasteurellaceae,g__Gallibacterium
Lace_duck_Glandular_stomach_25_bin.4,f__Weeksellaceae,g__Riemerella
Lace_duck_Glandular_stomach_25_bin.41,f__Pasteurellaceae,g__Spirabiliibacterium
Lace_duck_Glandular_stomach_25_bin.42,f__Rikenellaceae,g__Alistipes
Lace_duck_ileum_33_bin.10,f__Treponemataceae,g__Treponema_F
Lace_duck_muscular_stomach_24_bin.1,f__Pasteurellaceae,g__Gallibacterium
Lace_duck_muscular_stomach_24_bin.10,f__Moraxellaceae,g__Acinetobacter
Lace_duck_muscular_stomach_24_bin.12,f__Campylobacteraceae,g__Campylobacter_A
Lace_duck_muscular_stomach_24_bin.14,f__Clostridiaceae,g__Sarcina
Lace_duck_muscular_stomach_24_bin.15,f__Micrococcaceae,g__Rothia
Lace_duck_muscular_stomach_24_bin.16,f__Moraxellaceae,g__Moraxella
Lace_duck_muscular_stomach_24_bin.19,f__Pasteurellaceae,g__Spirabiliibacterium
Lace_duck_muscular_stomach_24_bin.2,f__Flavobacteriaceae,g__Capnocytophaga
Lace_duck_muscular_stomach_24_bin.20,f__Spirulinaceae,g__FACHB-1406
Lace_duck_muscular_stomach_24_bin.22,f__Peptostreptococcaceae,g__Peptostreptococcus
Lace_duck_muscular_stomach_24_bin.29,f__Micrococcaceae,g__Rothia
Lace_duck_muscular_stomach_24_bin.33,f__Spirulinaceae,g__FACHB-1406
Lace_duck_muscular_stomach_24_bin.34,f__Weeksellaceae,g__Planobacterium
Lace_duck_muscular_stomach_24_bin.35,f__Peptostreptococcaceae,g__GCA-900066495
Lace_duck_muscular_stomach_24_bin.43,f__Peptoniphilaceae,g__Helcococcus
Lace_duck_muscular_stomach_24_bin.44,f__Moraxellaceae,g__Moraxella
Lace_duck_muscular_stomach_24_bin.45,f__Moraxellaceae,unknown
Lace_duck_muscular_stomach_24_bin.46,f__Micrococcaceae,g__Kocuria
Lace_duck_muscular_stomach_24_bin.47,f__Lactobacillaceae,g__F6-6636
Lace_duck_muscular_stomach_24_bin.51,f__Rhodobacteraceae,g__Paracoccus
Lace_duck_muscular_stomach_24_bin.52,f__Mycobacteriaceae,g__Corynebacterium
Lace_duck_muscular_stomach_24_bin.55,f__Pasteurellaceae,g__Glaesserella
Lace_duck_muscular_stomach_24_bin.62,f__Palsa-965,g__GCA-2737665
Lace_duck_muscular_stomach_24_bin.63,f__Burkholderiaceae_B,g__Ottowia
Lace_duck_muscular_stomach_24_bin.64,f__Pasteurellaceae,g__Actinobacillus
Lace_duck_muscular_stomach_24_bin.7,f__Flavobacteriaceae,unknown
Lace_duck_muscular_stomach_24_bin.9,f__Brevibacteriaceae,g__Brevibacterium
MCH108B_bin.13,f__Lactobacillaceae,g__Ligilactobacillus
MCH108B_bin.16,f__Streptococcaceae,g__Streptococcus
MCH108B_bin.17,f__Micrococcaceae,g__Kocuria
MCH108B_bin.18,f__Micrococcaceae,g__Rothia
MCH108B_bin.22,f__Leptotrichiaceae,unknown
MCH108B_bin.7,f__Mycobacteriaceae,g__Corynebacterium
MCH111A_bin.3,f__Helicobacteraceae,g__Helicobacter_G
MCH111A_bin.5,f__Pasteurellaceae,g__Avibacterium
MCH112B_bin.12,f__Lactobacillaceae,g__Ligilactobacillus
MCH112B_bin.14,f__Burkholderiaceae_A,g__Sutterella
MCH112B_bin.2,f__Streptococcaceae,g__Streptococcus
MCH112B_bin.5,f__Pasteurellaceae,g__Avibacterium
MCH112B_bin.6,f__Micrococcaceae,g__Rothia
MCH112B_bin.7,f__Neisseriaceae,g__Neisseria
MCH112B_bin.9,f__Neisseriaceae,g__Neisseria
MCH119B_bin.2,f__Weeksellaceae,g__Riemerella
MCH127B_bin.11,f__Pasteurellaceae,g__Mannheimia
MCH127B_bin.2,f__Weeksellaceae,g__Riemerella
MCH127B_bin.3,f__Leptotrichiaceae,unknown
MCH127B_bin.4,f__Pasteurellaceae,g__Gallibacterium
MCH127B_bin.5,f__Fusobacteriaceae,g__Fusobacterium_A
MCH127B_bin.6,f__Micrococcaceae,g__Rothia
MCH127B_bin.8,f__Helicobacteraceae,g__Helicobacter_G
MCH151A_bin.2,f__Pasteurellaceae,g__Gallibacterium
MCH251B_bin.2,f__Weeksellaceae,g__Riemerella
MCH259B_bin.1,f__Weeksellaceae,g__Riemerella
MCH259B_bin.8,f__Pasteurellaceae,g__Gallibacterium
MCH277B_bin.1,f__Neisseriaceae,g__Simonsiella
MCH277B_bin.5,f__Pasteurellaceae,g__Gallibacterium
MCH277B_bin.6,f__Lactobacillaceae,g__Ligilactobacillus
MCH287B_bin.5,f__Pasteurellaceae,g__Avibacterium
MCH287B_bin.6,f__Neisseriaceae,g__Alysiella
MCH294B_bin.2,f__Streptococcaceae,g__Streptococcus
MCH294B_bin.4,f__Weeksellaceae,g__Riemerella
MCH295B_bin.10,f__Cardiobacteriaceae,g__Suttonella_A
MCH295B_bin.11,f__Fusobacteriaceae,g__Fusobacterium_A
MCH295B_bin.13,f__Pasteurellaceae,g__Avibacterium
MCH295B_bin.14,f__Pasteurellaceae,g__Gallibacterium
MCH295B_bin.17,f__Moraxellaceae,g__Moraxella
MCH295B_bin.3,f__Neisseriaceae,g__Neisseria
MCH295B_bin.5,f__Streptococcaceae,g__Streptococcus
MCH295B_bin.6,f__Neisseriaceae,g__Neisseria
MCH295B_bin.7,f__Weeksellaceae,g__Riemerella
MCH323B_bin.3,f__Pasteurellaceae,g__Gallibacterium
MCH323B_bin.5,f__Weeksellaceae,g__Planobacterium
MCH323B_bin.9,f__Streptococcaceae,g__Streptococcus
MCH324B_bin.13,f__Chitinophagaceae,g__JAFAGI01
MCH324B_bin.16,f__Neisseriaceae,g__Alysiella
MCH324B_bin.18,f__Enterococcaceae,g__Enterococcus_E
MCH324B_bin.2,f__Fusobacteriaceae,g__Fusobacterium_A
MCH324B_bin.22,f__Pasteurellaceae,g__Avibacterium
MCH324B_bin.23,f__Moraxellaceae,g__Moraxella
MCH324B_bin.7,f__Micrococcaceae,g__Rothia
MCH324B_bin.9,f__Pasteurellaceae,unknown
MCH325B_bin.2,f__Lactobacillaceae,g__Ligilactobacillus
MCH325B_bin.4,f__Neisseriaceae,g__Simonsiella
MCH325B_bin.7,f__Pasteurellaceae,g__Gallibacterium
MCH325B_bin.8,f__Pasteurellaceae,g__Spirabiliibacterium
MCH325B_bin.9,f__Weeksellaceae,g__Riemerella
MCH326B_bin.1,f__Lactobacillaceae,g__Ligilactobacillus
MCH326B_bin.12,f__Actinomycetaceae,unknown
MCH326B_bin.13,f__Micrococcaceae,g__Enteractinococcus
MCH326B_bin.17,f__Weeksellaceae,g__Planobacterium
MCH326B_bin.18,f__Streptococcaceae,g__Streptococcus
MCH326B_bin.19,f__Neisseriaceae,g__Neisseria
MCH326B_bin.20,f__Actinomycetaceae,unknown
MCH326B_bin.25,f__Moraxellaceae,g__Moraxella
MCH326B_bin.3,f__Pasteurellaceae,g__Spirabiliibacterium
MCH328B_bin.1,f__Moraxellaceae,g__Moraxella
MCH328B_bin.12,f__Peptoniphilaceae,unknown
MCH328B_bin.13,f__Pasteurellaceae,g__Gallibacterium
MCH328B_bin.18,f__Streptococcaceae,g__Streptococcus
MCH328B_bin.20,f__Weeksellaceae,g__Riemerella
MCH328B_bin.6,f__Propionibacteriaceae,g__Arachnia
MCH328B_bin.8,f__Weeksellaceae,g__Planobacterium
MCH340B_bin.1,f__Streptococcaceae,g__Streptococcus
MCH340B_bin.12,f__Pasteurellaceae,g__Gallibacterium
MCH340B_bin.18,f__Weeksellaceae,g__Bergeyella
MCH340B_bin.5,f__Neisseriaceae,g__Neisseria
MCH340B_bin.6,f__Chitinophagaceae,g__JAFAGI01
MCH340B_bin.8,f__Moraxellaceae,g__Moraxella
MCH346B_bin.10,f__Lactobacillaceae,g__Ligilactobacillus
MCH346B_bin.11,f__Moraxellaceae,g__Moraxella
MCH346B_bin.14,f__Moraxellaceae,g__Moraxella
MCH346B_bin.2,f__Weeksellaceae,g__Planobacterium
MCH346B_bin.3,f__Pasteurellaceae,g__Gallibacterium
MCH346B_bin.4,f__Pasteurellaceae,g__Spirabiliibacterium
MCH346B_bin.7,f__Streptococcaceae,g__Streptococcus
MCH74B_bin.8,f__Pasteurellaceae,g__Gallibacterium
Russet_duck_Glandular_stomach_39_bin.1,f__Porphyromonadaceae,g__Porphyromonas
Russet_duck_ileum_40_bin.12,f__Peptostreptococcaceae,g__Romboutsia
Russet_duck_ileum_40_bin.3,f__Clostridiaceae,g__Dwaynesavagella
Russet_duck_muscular_stomach_30_bin.1,f__Chitinophagaceae,g__JAFAGI01
Russet_duck_muscular_stomach_30_bin.13,f__Pasteurellaceae,g__Spirabiliibacterium
Russet_duck_muscular_stomach_30_bin.14,f__Rhodocyclaceae,g__Propionivibrio
Russet_duck_muscular_stomach_30_bin.15,f__Pasteurellaceae,g__Glaesserella
Russet_duck_muscular_stomach_30_bin.17,f__Peptoniphilaceae,g__Helcococcus
Russet_duck_muscular_stomach_30_bin.18,f__Xanthomonadaceae,g__Xanthomonas_A
Russet_duck_muscular_stomach_30_bin.19,f__Beijerinckiaceae,g__Methylobacterium
Russet_duck_muscular_stomach_30_bin.26,f__Bacteroidaceae,g__Phocaeicola
Russet_duck_muscular_stomach_30_bin.27,f__Flavobacteriaceae,g__Flavobacterium
Russet_duck_muscular_stomach_30_bin.28,f__Pasteurellaceae,g__Glaesserella
Russet_duck_muscular_stomach_30_bin.29,f__Aeromonadaceae,g__Tolumonas
Russet_duck_muscular_stomach_30_bin.32,f__Fusobacteriaceae,g__Fusobacterium_A
Russet_duck_muscular_stomach_30_bin.33,f__Rikenellaceae,g__Alistipes
Russet_duck_muscular_stomach_30_bin.36,f__Micromonosporaceae,g__JABDRL01
Russet_duck_muscular_stomach_30_bin.40,f__Neisseriaceae,g__Paralysiella
Russet_duck_muscular_stomach_30_bin.41,f__Enterobacteriaceae,g__Salmonella
Russet_duck_muscular_stomach_30_bin.45,f__Moraxellaceae,g__Moraxella
Russet_duck_muscular_stomach_30_bin.5,f__Selenomonadaceae,unknown
Russet_duck_muscular_stomach_30_bin.52,f__Flavobacteriaceae,g__Capnocytophaga
Russet_duck_muscular_stomach_30_bin.53,f__JAAUTT01,unknown
Russet_duck_muscular_stomach_30_bin.58,unknown,unknown
Russet_duck_muscular_stomach_30_bin.59,f__Psittacicellaceae,unknown
Russet_duck_muscular_stomach_30_bin.6,f__Weeksellaceae,g__Riemerella
Russet_duck_muscular_stomach_30_bin.62,f__Neisseriaceae,g__Neisseria
Russet_duck_muscular_stomach_30_bin.64,f__Porphyromonadaceae,g__Porphyromonas
Russet_duck_muscular_stomach_30_bin.65,f__Bacteroidaceae,g__Paraprevotella
Russet_duck_muscular_stomach_30_bin.7,f__Rhodocyclaceae,g__Dactylopiibacterium
Russet_duck_muscular_stomach_30_bin.9,f__Weeksellaceae,g__JAGLAZ01
SHCC100A_bin.14,f__UBA3700,g__RACS-045
SHCC100A_bin.2,f__Tannerellaceae,g__Parabacteroides
SHCC100A_bin.3,f__Selenomonadaceae,g__Megamonas
SHCC100A_bin.7,f__Acutalibacteraceae,g__Limousia
SHCC100A_bin.8,f__Bacteroidaceae,g__Phocaeicola
SHCC101A_bin.10,f__UBA932,g__Coprenecus
SHCC101A_bin.16,f__Acutalibacteraceae,g__Fimenecus
SHCC101A_bin.17,f__Desulfovibrionaceae,g__Desulfovibrio
SHCC101A_bin.19,f__RUG14156,g__Galligastranaerophilus
SHCC101A_bin.20,f__UBA3700,g__Ornithoclostridium
SHCC101A_bin.22,f__Bacteroidaceae,g__Avibacteroides
SHCC101A_bin.26,f__Tannerellaceae,g__Parabacteroides
SHCC101A_bin.27,f__Butyricicoccaceae,g__Agathobaculum
SHCC101A_bin.6,f__Ruminococcaceae,g__Anaerofilum
SHCC101A_bin.9,f__Paludibacteraceae,g__Enterocola
SHCC102A_bin.1,f__Bacteroidaceae,g__Paraprevotella
SHCC102A_bin.10,f__CAG-917,g__Limadaptatus
SHCC102A_bin.13,f__Ruminococcaceae,g__Faecalibacterium
SHCC102A_bin.15,f__UBA660,g__CAG-877
SHCC102A_bin.16,f__Ruminococcaceae,g__Faecalibacterium
SHCC102A_bin.17,f__UBA660,g__Aphodocola
SHCC102A_bin.20,f__Rikenellaceae,g__Alistipes
SHCC102A_bin.23,f__Ruminococcaceae,g__Anaerofilum
SHCC102A_bin.27,f__Bacteroidaceae,g__Mediterranea
SHCC102A_bin.3,f__Nanosyncoccaceae,g__UBA2834
SHCC102A_bin.30,f__Acutalibacteraceae,g__Limousia
SHCC102A_bin.35,f__Selenomonadaceae,g__Megamonas
SHCC102A_bin.36,f__UBA660,g__Fimihabitans
SHCC102A_bin.6,f__Lachnospiraceae,g__Merdisoma
SHCC103A_bin.1,f__Acutalibacteraceae,g__CAG-217
SHCC103A_bin.12,f__Ruminococcaceae,g__Negativibacillus
SHCC103A_bin.13,f__Rikenellaceae,g__Alistipes
SHCC103A_bin.2,f__Oscillospiraceae,g__Faecousia
SHCC103A_bin.20,f__Mucispirillaceae,unknown
SHCC103A_bin.22,f__Rikenellaceae,g__Rikenella
SHCC103A_bin.23,f__Lachnospiraceae,g__Merdisoma
SHCC103A_bin.24,f__Desulfovibrionaceae,g__Desulfovibrio
SHCC103A_bin.26,f__CAG-508,g__CAG-793
SHCC103A_bin.29,f__Anaerotignaceae,g__Anaerotignum
SHCC103A_bin.32,f__Mucispirillaceae,g__Mucispirillum
SHCC103A_bin.38,f__Tannerellaceae,g__Parabacteroides
SHCC103A_bin.45,f__Gastranaerophilaceae,g__CALURL01
SHCC103A_bin.46,f__Tannerellaceae,g__Parabacteroides
SHCC103A_bin.47,f__Marinifilaceae,g__CALUMT01
SHCC103A_bin.48,f__Erysipelotrichaceae,g__JALEVB01
SHCC103A_bin.50,f__Anaerotignaceae,g__Anaerotignum
SHCC103A_bin.51,f__Acutalibacteraceae,g__Eubacterium_R
SHCC103A_bin.54,f__Bacteroidaceae,g__Phocaeicola
SHCC103A_bin.56,f__Ruminococcaceae,g__Faecalibacterium
SHCC103A_bin.57,f__Anaerotignaceae,g__Metalachnospira
SHCC103A_bin.62,f__Bacteroidaceae,g__Prevotella
SHCC103A_bin.64,f__Ruminococcaceae,g__Anaerofilum
SHCC103A_bin.68,f__P3,g__Pullibacteroides
SHCC103A_bin.7,f__Oscillospiraceae,g__Faecousia
SHCC103A_bin.8,f__Paludibacteraceae,g__Gallipaludibacter
SHCC103A_bin.9,f__CAG-314,g__Limihabitans
SHCC104A_bin.10,f__Oscillospiraceae,g__Pseudoflavonifractor_A
SHCC104A_bin.11,f__Tannerellaceae,g__Parabacteroides
SHCC104A_bin.12,f__Bacteroidaceae,g__Prevotella
SHCC104A_bin.15,f__Bacteroidaceae,g__Mediterranea
SHCC104A_bin.2,f__Bacteroidaceae,g__43-108
SHCC104A_bin.23,f__Ruminococcaceae,g__Faecalibacterium
SHCC104A_bin.24,f__UBA3700,g__Ornithoclostridium
SHCC104A_bin.35,f__Peptococcaceae,g__UMGS1590
SHCC104A_bin.37,f__UBA3700,g__MGBC101980
SHCC104A_bin.38,f__CAG-314,g__Limihabitans
SHCC104A_bin.5,f__Oscillospiraceae,g__Vescimonas
SHCC104A_bin.8,f__Butyricicoccaceae,g__Butyricicoccus
SHCC104A_bin.9,f__CAG-508,g__UMGS1864
SHCC105A_bin.10,f__Rikenellaceae,g__Rikenella
SHCC105A_bin.19,f__Gastranaerophilaceae,g__Stercorousia
SHCC105A_bin.2,f__Bacteroidaceae,g__Mediterranea
SHCC105A_bin.26,f__Barnesiellaceae,g__Barnesiella
SHCC105A_bin.28,f__Ruminococcaceae,g__Negativibacillus
SHCC105A_bin.3,f__Mucispirillaceae,g__Mucispirillum
SHCC105A_bin.32,f__Tannerellaceae,g__Parabacteroides
SHCC105A_bin.35,f__UBA660,g__Onthousia
SHCC105A_bin.36,f__CAG-314,g__Limihabitans
SHCC105A_bin.37,f__Ruminococcaceae,g__Faecivivens
SHCC105A_bin.38,f__Mucispirillaceae,unknown
SHCC105A_bin.42,f__Ruminococcaceae,g__Faecalibacterium
SHCC105A_bin.47,f__UBA3700,g__Ornithoclostridium
SHCC105A_bin.48,f__Acutalibacteraceae,g__Eubacterium_R
SHCC105A_bin.49,f__Acutalibacteraceae,g__Limousia
SHCC105A_bin.53,f__Acidaminococcaceae,g__CAG-266
SHCC105A_bin.57,f__Lachnospiraceae,g__Egerieimonas_A
SHCC105A_bin.59,f__Ruminococcaceae,g__Faecalibacterium
SHCC105A_bin.66,f__Tannerellaceae,g__Parabacteroides
SHCC105A_bin.67,f__Bacteroidaceae,g__Prevotella
SHCC105A_bin.73,f__Erysipelotrichaceae,g__Bulleidia
SHCC105A_bin.75,f__Coprobacteraceae,g__Coprobacter
SHCC106A_bin.1,f__UBA1381,g__Ornithomonoglobus
SHCC106A_bin.101,f__Ruminococcaceae,g__RGIG3102
SHCC106A_bin.12,f__Bacteroidaceae,g__UBA1794
SHCC106A_bin.15,f__UBA1242,g__UBA6345
SHCC106A_bin.17,f__Anaerotignaceae,g__Metalachnospira
SHCC106A_bin.20,f__Acutalibacteraceae,g__Eubacterium_R
SHCC106A_bin.22,f__UBA1750,g__Spyradocola
SHCC106A_bin.26,f__Ruminococcaceae,g__Negativibacillus
SHCC106A_bin.27,f__Ruminococcaceae,g__JAFBIO01
SHCC106A_bin.29,f__Rikenellaceae,g__Alistipes_A
SHCC106A_bin.31,f__Erysipelotrichaceae,g__CALUZH01
SHCC106A_bin.33,f__CAG-508,g__CAG-269
SHCC106A_bin.34,f__Acutalibacteraceae,g__Fimenecus
SHCC106A_bin.39,f__Ruminococcaceae,g__Faecalibacterium
SHCC106A_bin.44,f__Elusimicrobiaceae,g__UBA1436
SHCC106A_bin.48,f__UBA3700,g__Ornithoclostridium
SHCC106A_bin.49,f__RUG14156,g__Galligastranaerophilus
SHCC106A_bin.50,f__Bacteroidaceae,g__Avibacteroides
SHCC106A_bin.51,f__Lachnospiraceae,g__Mediterraneibacter
SHCC106A_bin.54,f__UBA660,g__RUG11867
SHCC106A_bin.55,f__Ruminococcaceae,g__Negativibacillus
SHCC106A_bin.59,f__UBA3700,g__Ornithoclostridium
SHCC106A_bin.64,f__Acutalibacteraceae,g__UMGS263
SHCC106A_bin.65,f__CAG-272,g__QALR01
SHCC106A_bin.68,f__UBA932,g__Cryptobacteroides
SHCC106A_bin.69,f__DTU072,g__Stercoripulliclostridium_A
SHCC106A_bin.7,f__RUG14156,g__Galligastranaerophilus_A
SHCC106A_bin.70,f__Oscillospiraceae,g__Scatomorpha
SHCC106A_bin.72,f__Acutalibacteraceae,g__UBA1081
SHCC106A_bin.8,f__Ruminococcaceae,g__Gemmiger_A
SHCC106A_bin.80,f__Gastranaerophilaceae,g__Zag111
SHCC106A_bin.81,f__Acutalibacteraceae,g__Limousia
SHCC106A_bin.84,f__UBA660,g__Aphodocola
SHCC106A_bin.87,f__Selenomonadaceae,g__Megamonas
SHCC106A_bin.9,f__Ruminococcaceae,g__Faecalibacterium
SHCC106A_bin.97,f__UBA660,g__Aphodocola
SHCC106A_bin.98,f__Oscillospiraceae,g__Faecousia
SHCC107A_bin.10,f__UBA3700,g__Ornithoclostridium
SHCC107A_bin.6,f__Desulfovibrionaceae,g__Desulfovibrio
SHCC107A_bin.8,f__Bacteroidaceae,g__Phocaeicola
SHCC108A_bin.1,f__Barnesiellaceae,g__Barnesiella
SHCC108A_bin.10,f__Bacteroidaceae,g__Phocaeicola
SHCC108A_bin.14,f__Tannerellaceae,g__Parabacteroides
SHCC108A_bin.2,f__Rikenellaceae,g__Alistipes
SHCC108A_bin.24,f__Anaerotignaceae,g__Anaerotignum
SHCC108A_bin.25,f__Succinivibrionaceae,g__CALXNP01
SHCC108A_bin.26,f__Tannerellaceae,g__Parabacteroides
SHCC108A_bin.30,f__CAG-314,unknown
SHCC108A_bin.33,f__Bacteroidaceae,g__Paraprevotella
SHCC108A_bin.38,f__Acutalibacteraceae,g__UBA1081
SHCC108A_bin.40,f__Acutalibacteraceae,g__UMGS263
SHCC108A_bin.42,f__Tannerellaceae,g__Parabacteroides
SHCC108A_bin.43,f__Anaerotignaceae,g__Metalachnospira
SHCC108A_bin.5,f__Oscillospiraceae,g__Vescimonas
SHCC108A_bin.50,f__Desulfovibrionaceae,g__Desulfovibrio
SHCC108A_bin.51,f__Elusimicrobiaceae,g__UBA1436
SHCC108A_bin.53,f__Bacteroidaceae,g__43-108
SHCC108A_bin.6,f__Mucispirillaceae,g__Mucispirillum
SHCC108A_bin.61,f__Paludibacteraceae,g__Gallipaludibacter
SHCC108A_bin.65,f__UBA932,g__Cryptobacteroides
SHCC108A_bin.69,f__Oscillospiraceae,g__Faecousia
SHCC108A_bin.73,f__Oscillospiraceae,g__Pseudoflavonifractor_A
SHCC108A_bin.75,f__Oscillospiraceae,g__Lawsonibacter
SHCC108A_bin.79,f__Selenomonadaceae,g__Megamonas
SHCC108A_bin.80,f__DTU072,g__CAG-1782
SHCC108A_bin.82,f__Bacteroidaceae,g__Mediterranea
SHCC109A_bin.10,f__Bacteroidaceae,g__Phocaeicola
SHCC109A_bin.4,f__Ruminococcaceae,g__Ruthenibacterium
SHCC109A_bin.7,f__Bacteroidaceae,g__Phocaeicola
SHCC10A_bin.10,f__CAG-382,g__UMGS882
SHCC10A_bin.101,f__UBA1242,g__UBA6345
SHCC10A_bin.105,f__Ruminococcaceae,g__Negativibacillus
SHCC10A_bin.108,f__UBA660,g__RUG11867
SHCC10A_bin.109,f__Ruminococcaceae,g__Negativibacillus
SHCC10A_bin.113,f__Lachnospiraceae,g__Copromonas
SHCC10A_bin.114,f__Bacteroidaceae,g__Prevotella
SHCC10A_bin.116,f__Victivallaceae,g__CALXXL01
SHCC10A_bin.13,f__Oscillospiraceae,g__Vescimonas
SHCC10A_bin.17,f__UBA660,g__Onthocola_B
SHCC10A_bin.18,f__Muribaculaceae,g__Limisoma
SHCC10A_bin.19,f__Tannerellaceae,g__Parabacteroides
SHCC10A_bin.2,f__Acidaminococcaceae,g__CAG-266
SHCC10A_bin.20,f__Rs-D84,g__Enterousia
SHCC10A_bin.23,f__Tannerellaceae,g__Parabacteroides
SHCC10A_bin.24,f__Ruminococcaceae,g__Avimicrobium
SHCC10A_bin.27,f__Ruminococcaceae,g__Faecivivens
SHCC10A_bin.28,f__Oscillospiraceae,g__Faecousia
SHCC10A_bin.34,f__UBA1242,g__CALVLZ01
SHCC10A_bin.36,f__UBA660,g__Fimihabitans
SHCC10A_bin.37,f__DTU072,g__Stercoripulliclostridium
SHCC10A_bin.39,f__Tannerellaceae,g__Parabacteroides
SHCC10A_bin.40,f__Brachyspiraceae,g__Brachyspira
SHCC10A_bin.48,f__Ruminococcaceae,g__Faecalibacterium
SHCC10A_bin.55,f__Acutalibacteraceae,g__UBA1081
SHCC10A_bin.62,f__Gastranaerophilaceae,g__Limenecus
SHCC10A_bin.64,f__Bacteroidaceae,g__Mediterranea
SHCC10A_bin.67,f__Butyricicoccaceae,g__Agathobaculum
SHCC10A_bin.68,f__Oscillospiraceae,g__Faecousia
SHCC10A_bin.69,f__UBA660,g__CALVVX01
SHCC10A_bin.71,f__Ruminococcaceae,g__Faecalibacterium
SHCC10A_bin.72,f__Ruminococcaceae,g__Faecivivens
SHCC10A_bin.74,f__Lachnospiraceae,g__Anaerobutyricum
SHCC10A_bin.76,f__Ruminococcaceae,g__Faecalibacterium
SHCC10A_bin.77,f__CAG-239,g__CAJLXD01
SHCC10A_bin.79,f__Oscillospiraceae,g__Pseudoflavonifractor_A
SHCC10A_bin.86,f__Acutalibacteraceae,g__Heritagella
SHCC10A_bin.96,f__UBA1750,g__Spyradocola
SHCC10A_bin.98,f__RUG14156,g__Galligastranaerophilus_A
SHCC110A_bin.1,f__DTU072,g__Stercoripulliclostridium
SHCC110A_bin.13,f__Mucispirillaceae,g__Mucispirillum
SHCC110A_bin.14,f__Bacteroidaceae,g__Prevotella
SHCC110A_bin.18,f__Ruminococcaceae,g__Negativibacillus
SHCC110A_bin.2,f__Oscillospiraceae,g__Enterenecus
SHCC110A_bin.24,f__Desulfovibrionaceae,g__Desulfovibrio
SHCC110A_bin.27,f__DTU072,g__CAG-1782
SHCC110A_bin.32,f__UBA3700,g__RACS-045
SHCC110A_bin.33,f__Acutalibacteraceae,g__Limousia
SHCC110A_bin.38,f__UBA932,g__Coprenecus
SHCC110A_bin.39,f__Coprobacteraceae,g__Coprobacter
SHCC110A_bin.44,f__UBA3700,g__Ornithoclostridium
SHCC110A_bin.45,f__Fusobacteriaceae,g__Fusobacterium_A
SHCC110A_bin.47,f__Anaerotignaceae,g__Metalachnospira
SHCC110A_bin.48,f__CAG-508,g__CAG-269
SHCC110A_bin.49,f__Ruminococcaceae,g__Faecalibacterium
SHCC110A_bin.5,f__CAG-239,g__CAAFZY01
SHCC110A_bin.51,f__UBA660,g__CALVVX01
SHCC110A_bin.54,f__UBA932,g__Egerieousia
SHCC110A_bin.57,f__Sphaerochaetaceae,g__Ornithospirochaeta
SHCC110A_bin.6,f__Tannerellaceae,g__Parabacteroides
SHCC110A_bin.60,f__Borkfalkiaceae,g__Coproplasma
SHCC110A_bin.62,f__Bacteroidaceae,g__Phocaeicola
SHCC110A_bin.64,f__Bacteroidaceae,g__Phocaeicola
SHCC110A_bin.65,f__Ruminococcaceae,g__Negativibacillus
SHCC111A_bin.11,f__Acutalibacteraceae,g__Limousia
SHCC111A_bin.13,f__Bacteroidaceae,g__Phocaeicola
SHCC111A_bin.17,f__Ruminococcaceae,g__Faecalibacterium
SHCC111A_bin.19,f__Tannerellaceae,g__Parabacteroides
SHCC111A_bin.26,f__UBA660,g__RUG11867
SHCC111A_bin.3,f__Anaerotignaceae,g__Metalachnospira
SHCC111A_bin.39,f__Acutalibacteraceae,g__Fimenecus
SHCC111A_bin.41,f__CAG-917,g__Limadaptatus
SHCC111A_bin.44,f__Acidaminococcaceae,g__URXU01
SHCC111A_bin.50,f__UBA932,g__Cryptobacteroides
SHCC111A_bin.51,f__UBA1242,g__Caccovivens
SHCC111A_bin.53,f__Ruminococcaceae,g__RGIG3102
SHCC111A_bin.54,f__Rs-D84,g__Enterousia
SHCC111A_bin.59,f__Ruminococcaceae,g__Faecivivens
SHCC111A_bin.62,f__Gastranaerophilaceae,g__Limenecus
SHCC111A_bin.63,f__Ruminococcaceae,g__Faecalibacterium
SHCC111A_bin.66,f__Acutalibacteraceae,g__Limousia
SHCC111A_bin.67,f__Tannerellaceae,g__Parabacteroides
SHCC111A_bin.69,f__Bacteroidaceae,g__43-108
