ARG_type,Renamed_Drug_Class,Kingdom,Phylum,phylum_without_unknown,Class,Order,Family,Genus,genus_without_unknown,Species,orf_count
tet(W/N/W),tetracycline,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Deltaproteobacteria,o_Desulfovibrionales,f_Desulfovibrionaceae,g_Desulfovibrio,g_Desulfovibrio,s_Desulfovibrio piger,16
vanWI,glycopeptide,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Clostridia,o_Eubacteriales,f_Oscillospiraceae,g_Agathobaculum,g_Agathobaculum,s_Agathobaculum sp. Marseille-P7918,16
vanYB,glycopeptide,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Clostridia,o_Eubacteriales,f_Oscillospiraceae,g_Pseudoflavonifractor,g_Pseudoflavonifractor,s_Pseudoflavonifractor capillosus,16
ANT(9)-Ib,aminoglycoside,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Bacilli,o_Lactobacillales,NA,NA,Other,NA,15
APH(3')-IIIa,aminoglycoside,k_Bacteria,p_Deferribacteres,p_Deferribacteres,c_Deferribacteres,o_Deferribacterales,f_Deferribacteraceae,g_Mucispirillum,g_Mucispirillum,s_Mucispirillum schaedleri,15
ArnT,peptide,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,g_Salmonella,g_Salmonella,s_Salmonella enterica,15
ErmA,multidrug,k_Bacteria,p_Firmicutes,p_Firmicutes,c_Bacilli,o_Lactobacillales,f_Enterococcaceae,g_Enterococcus,g_Enterococcus,s_Enterococcus faecalis,15
Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics,multidrug,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Pasteurellales,f_Pasteurellaceae,g_Avibacterium,g_Avibacterium,s_Avibacterium gallinarum,15
arr-3,rifamycin,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,g_Klebsiella,g_Klebsiella,s_Klebsiella pneumoniae,15
evgA,multidrug,k_Bacteria,p_Proteobacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacterales,f_Enterobacteriaceae,NA,Other,NA,15
