ARG_type,Stomach,small_intestine,large_intestine,Feces
APH(3')-Ia,1,1,1,1
APH(3')-Ib,1,0,1,1
linG,1,0,1,1
FosA7.5,1,0,1,1
fosA5,0,0,1,0
tet(59),1,0,1,1
FosXCC,1,1,1,1
CMH-4,0,0,1,1
AAC(6')-Iid,0,1,1,1
cepA,0,0,1,1
EstT,1,1,1,1
AAC(6')-IIa,1,1,1,1
AAC(6')-Iaj,1,0,0,0
ANT(6)-Ia,1,1,1,1
ANT(6)-Ib,0,0,1,1
cmlA5,1,0,1,1
dfrA10,0,0,1,0
baeR,1,1,1,1
dfrA12,1,1,1,1
baeS,1,1,1,1
dfrA14,1,0,1,1
dfrA15,1,0,1,1
dfrA16,1,1,1,1
dfrA17,1,1,1,1
dfrA19,1,0,0,1
VEB-17,1,0,1,1
sdrM,1,1,1,1
RanA,1,0,0,1
RanB,1,0,0,1
aadA2,1,1,1,1
CfxA6,0,0,1,1
aadA5,1,1,1,1
aadA7,0,0,1,1
aadA9,1,1,1,1
tet(Z),1,1,1,1
tet(B),1,1,1,1
dfrA1,1,1,1,1
APH(2'')-IIIa,0,0,1,1
AcrE,1,1,1,1
tet(36),1,1,1,1
tet(32),1,1,1,1
fexA,1,1,1,1
fexB,1,1,1,1
Campylobacter jejuni gyrA conferring resistance to fluoroquinolones,1,0,1,1
PmrF,1,1,1,1
cfrA,1,1,1,1
cfrC,0,1,1,1
oqxA,0,0,1,1
cfrE,1,1,1,1
AcrS,1,1,1,1
QnrD1,0,0,1,1
Escherichia coli parE conferring resistance to fluoroquinolones,0,0,1,1
CrcB,0,0,1,0
sepA,0,1,1,1
ramA,0,0,1,1
ICR-Mo,1,0,0,0
AAC(3)-IVa,1,1,1,1
dfrD,0,1,1,1
dfrE,0,0,1,1
TRU-1,0,1,0,0
dfrF,0,0,1,1
APH(3')-IIIa,1,1,1,1
dfrG,1,1,1,1
Klebsiella pneumoniae OmpK37,0,0,1,1
OXA-820,1,0,0,0
FosA2,0,0,1,0
dfrL,0,0,0,0
FosA3,0,1,1,1
Erm(51),1,1,1,1
RbpA,0,1,1,1
FosA8,0,1,1,1
CcrA,0,0,1,1
AAC(6')-Ie-APH(2'')-Ia bifunctional protein,1,1,1,1
efrA,0,0,1,1
ACT-56,0,0,1,0
fusC,0,0,1,1
fusD,1,0,1,1
Escherichia coli mdfA,1,1,1,1
vanRB,0,0,1,0
vanRC,0,1,1,1
vanRG,0,0,1,1
tet(44),1,1,1,1
tet(40),1,1,1,1
vanRI,0,0,0,0
Vibrio anguillarum chloramphenicol acetyltransferase,1,1,1,1
AAC(6')-Ib',1,0,1,1
APH(3')-IIa,0,0,1,1
mecR1,0,0,1,1
Erm(36),0,1,1,1
AAC(6')-Ib7,1,1,1,1
emrA,1,1,1,1
AAC(6')-Ib8,1,0,1,1
AAC(6')-Ib9,1,0,0,1
Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin,1,1,1,1
CTX-M-55,1,0,1,1
Rhodobacter sphaeroides ampC beta-lactamase,0,0,1,1
Mycobacterium tuberculosis intrinsic murA conferring resistance to fosfomycin,0,1,1,0
LptD,0,0,1,0
emrK,1,1,1,1
Campylobacter coli chloramphenicol acetyltransferase,1,1,1,1
ACI-1,1,0,1,1
emrR,1,1,1,1
emrY,1,1,1,1
ANT(3'')-IIa,1,1,1,1
ANT(3'')-IIb,1,0,1,1
aad(6),1,1,1,1
APH(2'')-IIa,0,0,1,1
tet(X5),1,1,1,1
APH(3')-VIIa,0,0,1,0
tet(X1),0,0,1,1
Vibrio cholerae varG,0,0,1,1
dfrA20,0,0,0,1
MCR-1.1,1,0,1,1
Acinetobacter baumannii AbaQ,1,0,0,1
YojI,1,1,1,1
