MAG	p	p.adj	p.format	p.signif	method	MAG_id	Kingdom	Phylum	Class	Order	Family	Genus	Species	Abundance_mean	live_rate	Group
MAG3157	0.00946796376441505	0.0095	0.0095	**	Kruskal-Wallis	CCH258A_bin.53	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Acutalibacter	s__	0.008771088	0.228956229	other_families
MAG19754	0.00959009012244923	0.0096	0.0096	**	Kruskal-Wallis	SRR29429232_bin.25	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium gallinarum	0.344023468	0.878787879	other_families
MAG20076	0.00959065246684898	0.0096	0.0096	**	Kruskal-Wallis	SRR29429277_bin.61	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Egerieimonas_A	s__	0.000724582	0.400673401	other_families
MAG4006	0.00959399891648099	0.0096	0.0096	**	Kruskal-Wallis	CCS15B_bin.1	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola coprophilus	0.040650089	0.531986532	g__Phocaeicola
MAG11863	0.00967013314498838	0.0097	0.0097	**	Kruskal-Wallis	SHCC20A_bin.24	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola sp905198575	0.719004101	0.919191919	g__Phocaeicola
MAG16523	0.00968282483951273	0.0097	0.0097	**	Kruskal-Wallis	SHCC5A_bin.37	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Coprobacillaceae	g__Fimiplasma	s__	0.026351305	0.410774411	other_families
MAG8465	0.00968208898334824	0.0097	0.0097	**	Kruskal-Wallis	SHCC111A_bin.34	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Selenomonadales	f__Selenomonadaceae	g__Megamonas	s__Megamonas funiformis	0.020175138	0.228956229	other_families
MAG13447	0.00975635279490217	0.0098	0.0098	**	Kruskal-Wallis	SHCC259A_bin.62	d__Bacteria	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium_A	s__Fusobacterium_A sp900549465	0.174416273	0.400673401	other_families
MAG5280	0.00979935474225302	0.0098	0.0098	**	Kruskal-Wallis	CCY35B_bin.78	d__Bacteria	p__Deferribacterota	c__Deferribacteres	o__Deferribacterales	f__Mucispirillaceae	g__	s__	0.014742362	0.643097643	other_families
MAG10269	0.00988814302839591	0.0099	0.0099	**	Kruskal-Wallis	SHCC167A_bin.73	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella rara	0.061551279	0.606060606	other_genus_from_Bacteroidaceae
MAG10581	0.00989633089974853	0.0099	0.0099	**	Kruskal-Wallis	SHCC178B_bin_with_2dai_data_bin.18	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Fournierella	s__Fournierella sp002160145	0.557657192	0.925925926	other_families
MAG16015	0.00992395271849883	0.0099	0.0099	**	Kruskal-Wallis	SHCC46B_bin.75	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Selenomonadales	f__Selenomonadaceae	g__Megamonas	s__Megamonas funiformis	0.026542579	0.30976431	other_families
MAG20146	0.00986031294516279	0.0099	0.0099	**	Kruskal-Wallis	SRR29429279_bin.28	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola sp900544075	0.459255497	0.986531987	g__Phocaeicola
MAG7805	0.00990927744781745	0.0099	0.0099	**	Kruskal-Wallis	FM5B_bin.32	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Anaerotignaceae	g__Anaerotignum	s__	0.022985135	0.474747475	other_families
MAG11116	0.00999195087326704	0.01	0.01	**	Kruskal-Wallis	SHCC191A_bin.7	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Enterenecus	s__Enterenecus faecium	0.270450576	0.966329966	other_families
MAG11912	0.0102212106653746	0.01	0.01	*	Kruskal-Wallis	SHCC211A_bin.23	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Avibacteroides	s__	0.623317933	0.898989899	other_genus_from_Bacteroidaceae
MAG12010	0.0104584601944409	0.01	0.01	*	Kruskal-Wallis	SHCC213A_bin.8	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__	0.169521616	0.888888889	other_families
MAG12184	0.0104387507713624	0.01	0.01	*	Kruskal-Wallis	SHCC221A_bin.65	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Selenomonadales	f__Selenomonadaceae	g__Megamonas	s__Megamonas funiformis	0.028807199	0.292929293	other_families
MAG12870	0.0100522901444537	0.01	0.01	*	Kruskal-Wallis	SHCC244A_bin.57	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Enterenecus	s__Enterenecus sp944385445	0.133611067	0.249158249	other_families
MAG13075	0.0104815114672455	0.01	0.01	*	Kruskal-Wallis	SHCC24A_bin.61	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Selenomonadales	f__Selenomonadaceae	g__Megamonas	s__Megamonas funiformis	0.095327045	0.511784512	other_families
MAG15355	0.0100246280313861	0.01	0.01	*	Kruskal-Wallis	SHCC31A_bin.70	d__Bacteria	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium_A	s__Fusobacterium_A sp900549465	0.225720192	0.525252525	other_families
MAG17478	0.0103913490290908	0.01	0.01	*	Kruskal-Wallis	SHCC8A_bin.4	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola sp900542985	0.110184929	0.468013468	g__Phocaeicola
MAG17710	0.00999705944310105	0.01	0.01	**	Kruskal-Wallis	SHCC95A_bin.8	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Selenomonadales	f__Selenomonadaceae	g__Megamonas	s__Megamonas funiformis	0.036499852	0.316498316	other_families
MAG17866	0.0100219759833994	0.01	0.01	*	Kruskal-Wallis	SHCC9A_bin.77	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__	s__	0.027148232	0.326599327	other_families
MAG19552	0.0103799673112807	0.01	0.01	*	Kruskal-Wallis	SRR29354216_bin.13	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium gallinarum	0.184951958	0.986531987	other_families
MAG19963	0.0100956327182855	0.01	0.01	*	Kruskal-Wallis	SRR29429269_bin.28	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella rara	0.024603367	0.841750842	other_genus_from_Bacteroidaceae
MAG21637	0.0101985865318864	0.01	0.01	*	Kruskal-Wallis	SRR29472732_bin.39	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Enterenecus	s__Enterenecus faecium	0.184136071	0.936026936	other_families
MAG4363	0.0104892574037435	0.01	0.01	*	Kruskal-Wallis	CCS24A_bin.31	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola sp900542985	0.022171889	0.565656566	g__Phocaeicola
MAG4953	0.0102237331827139	0.01	0.01	*	Kruskal-Wallis	CCY24A_bin.7	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Massiliimalia	s__	0.033377747	0.225589226	other_families
MAG5276	0.0100110675447483	0.01	0.01	*	Kruskal-Wallis	CCY35B_bin.72	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola sp900544075	0.417311535	0.996632997	g__Phocaeicola
MAG5277	0.00995778782494526	0.01	0.01	**	Kruskal-Wallis	CCY35B_bin.73	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Enterenecus	s__	0.011426091	0.599326599	other_families
MAG6463	0.0101788499467114	0.01	0.01	*	Kruskal-Wallis	FDM5B_bin.55	d__Bacteria	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium_A	s__Fusobacterium_A sp900549465	0.053386148	0.252525253	other_families
MAG7292	0.0102872932750078	0.01	0.01	*	Kruskal-Wallis	FJY3A_bin.61	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Marinifilaceae	g__Odoribacter	s__	0.010367273	0.367003367	other_families
MAG7494	0.0104091056377003	0.01	0.01	*	Kruskal-Wallis	FJY69A_bin.69	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Avibacteroides	s__	0.00211338	0.494949495	other_genus_from_Bacteroidaceae
MAG8153	0.0103040454976424	0.01	0.01	*	Kruskal-Wallis	SHCC100A_bin.11	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__URXU01	s__URXU01 sp900541915	0.032054082	0.225589226	other_families
MAG8508	0.0101546727974517	0.01	0.01	*	Kruskal-Wallis	SHCC112A_bin.18	d__Bacteria	p__Deferribacterota	c__Deferribacteres	o__Deferribacterales	f__Mucispirillaceae	g__	s__	0.204635195	0.35016835	other_families
MAG10111	0.0112468910227147	0.011	0.011	*	Kruskal-Wallis	SHCC164B_bin.23	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__	0.034393337	0.245791246	other_families
MAG10968	0.0108829971117198	0.011	0.011	*	Kruskal-Wallis	SHCC187A_bin.9	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Selenomonadales	f__Selenomonadaceae	g__Megamonas	s__Megamonas funiformis	0.029449589	0.31986532	other_families
MAG11853	0.0105080707289902	0.011	0.011	*	Kruskal-Wallis	SHCC209A_bin.55	d__Bacteria	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium_A	s__Fusobacterium_A sp900549465	1.877031269	0.898989899	other_families
MAG13227	0.0109515456458083	0.011	0.011	*	Kruskal-Wallis	SHCC253A_bin.34	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Butyricicoccaceae	g__Butyricicoccus	s__Butyricicoccus pullicaecorum	0.090252195	0.484848485	other_families
MAG13295	0.011063828835865	0.011	0.011	*	Kruskal-Wallis	SHCC255B_bin.50	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Marinifilaceae	g__CALUMT01	s__CALUMT01 sp944321845	0.183149983	0.855218855	other_families
MAG13551	0.0113448128577219	0.011	0.011	*	Kruskal-Wallis	SHCC260B_bin_with_2dai_data_bin.69	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__	0.240480906	0.949494949	other_families
MAG13822	0.0110669662661802	0.011	0.011	*	Kruskal-Wallis	SHCC265A_bin.28	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Selenomonadales	f__Selenomonadaceae	g__Megamonas	s__Megamonas funiformis	0.03782038	0.356902357	other_families
MAG13891	0.0108690624035756	0.011	0.011	*	Kruskal-Wallis	SHCC267A_bin.39	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola sp900556845	0.673356941	0.814814815	g__Phocaeicola
MAG14181	0.0108824101504494	0.011	0.011	*	Kruskal-Wallis	SHCC273B_bin.40	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-288	g__CAJMBK01	s__	0.189814556	0.377104377	other_families
MAG14451	0.0105729510532693	0.011	0.011	*	Kruskal-Wallis	SHCC280A_bin.9	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola coprophilus	1.92590996	0.962962963	g__Phocaeicola
MAG14711	0.0105967892652066	0.011	0.011	*	Kruskal-Wallis	SHCC286A_bin.7	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__	0.061248434	0.282828283	other_families
MAG15103	0.0111702681248236	0.011	0.011	*	Kruskal-Wallis	SHCC297B_bin.79	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Mediterranea	s__Mediterranea ndongoniae	0.04188646	0.555555556	other_genus_from_Bacteroidaceae
MAG16221	0.0113822423376802	0.011	0.011	*	Kruskal-Wallis	SHCC51A_bin.85	d__Bacteria	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium_A	s__Fusobacterium_A sp900549465	0.43464448	0.606060606	other_families
MAG16497	0.0113504383195303	0.011	0.011	*	Kruskal-Wallis	SHCC59A_bin.38	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola_A	s__Phocaeicola_A sp944320885	0.222416308	0.976430976	other_genus_from_Bacteroidaceae
MAG16915	0.011102026804195	0.011	0.011	*	Kruskal-Wallis	SHCC72A_bin.6	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Enterenecus	s__Enterenecus faecium	0.290659519	0.952861953	other_families
MAG17376	0.0105308484478651	0.011	0.011	*	Kruskal-Wallis	SHCC86A_bin.44	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Massiliimalia	s__	0.152653582	0.451178451	other_families
MAG17999	0.0107609246020422	0.011	0.011	*	Kruskal-Wallis	SHMC294B_bin.2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Paraprevotella	s__Paraprevotella sp003477995	0.320579613	0.417508418	other_genus_from_Bacteroidaceae
MAG19002	0.011063374554299	0.011	0.011	*	Kruskal-Wallis	SRR21163514_bin.4	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Coprobacillaceae	g__Thomasclavelia	s__	0.013758074	0.30976431	other_families
MAG19519	0.010645293032181	0.011	0.011	*	Kruskal-Wallis	SRR29354204_bin.14	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Butyricicoccaceae	g__Butyricicoccus	s__Butyricicoccus sp900604335	0.055411613	0.760942761	other_families
MAG19928	0.0109828469241478	0.011	0.011	*	Kruskal-Wallis	SRR29429244_bin.29	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium gallinarum	0.390220458	0.909090909	other_families
MAG21425	0.0105368405379995	0.011	0.011	*	Kruskal-Wallis	SRR29472728_bin.23	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Fournierella	s__Fournierella massiliensis	0.116907943	0.764309764	other_families
MAG21447	0.0112917982464499	0.011	0.011	*	Kruskal-Wallis	SRR29472728_bin.48	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Gemmiger	s__	0.033703305	0.878787879	other_families
MAG2848	0.0112014263961977	0.011	0.011	*	Kruskal-Wallis	CCH210_bin_with_3dai_data_bin.40	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__URXU01	s__URXU01 sp900541915	0.010430808	0.336700337	other_families
MAG4048	0.0114617369850331	0.011	0.011	*	Kruskal-Wallis	CCS16B_bin.19	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Eubacteriales	f__Eubacteriaceae	g__Eubacterium	s__	0.016095478	0.343434343	other_families
MAG4094	0.0107026287941323	0.011	0.011	*	Kruskal-Wallis	CCS16B_bin.66	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__CAG-508	g__CAG-273	s__	0.165346532	0.919191919	other_families
MAG4163	0.0113389533005465	0.011	0.011	*	Kruskal-Wallis	CCS18A_bin.17	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Paraprevotella	s__Paraprevotella sp003477995	0.147685458	0.713804714	other_genus_from_Bacteroidaceae
MAG417	0.0108849876386569	0.011	0.011	*	Kruskal-Wallis	BKDN170794054_1A_bin.14	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__URXU01	s__URXU01 sp900541915	0.042049269	0.929292929	other_families
MAG4590	0.0114077706534576	0.011	0.011	*	Kruskal-Wallis	CCS30A_bin.56	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola sp900556845	0.056243754	0.727272727	g__Phocaeicola
MAG5056	0.0108417426272908	0.011	0.011	*	Kruskal-Wallis	CCY28A_bin.19	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium gallinarum	0.206938098	0.962962963	other_families
MAG5199	0.0113330545824094	0.011	0.011	*	Kruskal-Wallis	CCY34B_bin.48	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Selenomonadales	f__Selenomonadaceae	g__Megamonas	s__Megamonas funiformis	0.063945285	0.501683502	other_families
MAG5392	0.0111662888595443	0.011	0.011	*	Kruskal-Wallis	CCY39A_bin.31	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Enterenecus	s__Enterenecus faecium	0.174333842	0.956228956	other_families
MAG7446	0.0106407429812399	0.011	0.011	*	Kruskal-Wallis	FJY69A_bin.16	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Anaerofilum	s__Anaerofilum excrementigallinarum	0.066336751	0.713804714	other_families
MAG8451	0.0109410117826941	0.011	0.011	*	Kruskal-Wallis	SHCC110A_bin.64	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__	0.220055503	0.794612795	g__Phocaeicola
MAG8514	0.0111629620813375	0.011	0.011	*	Kruskal-Wallis	SHCC112A_bin.23	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Fournierella	s__Fournierella excrementavium	0.252101744	0.683501684	other_families
MAG8985	0.0110354764834737	0.011	0.011	*	Kruskal-Wallis	SHCC126A_bin.14	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Coprenecus	s__	1.377823721	0.34006734	other_families
MAG953	0.0112141247498774	0.011	0.011	*	Kruskal-Wallis	BKDN170794331_1A_bin.31	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Paraprevotella	s__	0.350239559	0.868686869	other_genus_from_Bacteroidaceae
MAG9879	0.0108266813124511	0.011	0.011	*	Kruskal-Wallis	SHCC156A_bin.34	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola_A	s__Phocaeicola_A sp944320885	0.141399636	0.925925926	other_genus_from_Bacteroidaceae
MAG1009	0.0122690683387372	0.012	0.012	*	Kruskal-Wallis	BKDN170794387_1A_bin.33	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Paraprevotella	s__Paraprevotella sp905215575	0.328085912	0.915824916	other_genus_from_Bacteroidaceae
MAG10490	0.0119834936207898	0.012	0.012	*	Kruskal-Wallis	SHCC175A_bin.63	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Marinifilaceae	g__Odoribacter	s__	0.101733328	0.555555556	other_families
MAG10508	0.0119466654525949	0.012	0.012	*	Kruskal-Wallis	SHCC176A_bin.20	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola coprophilus	1.22239568	0.962962963	g__Phocaeicola
MAG10830	0.0123102012447336	0.012	0.012	*	Kruskal-Wallis	SHCC184A_bin.17	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__CAG-508	g__CAG-269	s__CAG-269 sp944388725	0.117212328	0.616161616	other_families
MAG11194	0.0119064115089782	0.012	0.012	*	Kruskal-Wallis	SHCC193A_bin.59	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__	0.076151039	0.269360269	other_families
MAG11247	0.0121455367108758	0.012	0.012	*	Kruskal-Wallis	SHCC196A_bin.14	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Gemmiger_A	s__Gemmiger_A avium	0.13117529	0.808080808	other_families
MAG13122	0.0124581460246163	0.012	0.012	*	Kruskal-Wallis	SHCC251B_bin.16	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Selenomonadales	f__Selenomonadaceae	g__Megamonas	s__Megamonas funiformis	0.151466561	0.646464646	other_families
MAG13710	0.0123910457071184	0.012	0.012	*	Kruskal-Wallis	SHCC263A_bin.1	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__Faecisoma	s__Faecisoma sp944332725	0.24882796	0.808080808	other_families
MAG13918	0.0115482109994436	0.012	0.012	*	Kruskal-Wallis	SHCC267A_bin.78	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__	0.111775232	0.713804714	g__Phocaeicola
MAG14911	0.0122045602113178	0.012	0.012	*	Kruskal-Wallis	SHCC28B_bin.13	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Enterenecus	s__Enterenecus faecium	0.322347963	0.95959596	other_families
MAG14934	0.0119126817926704	0.012	0.012	*	Kruskal-Wallis	SHCC290A_bin.42	d__Bacteria	p__Bacillota	c__Bacilli	o__RFN20	f__CAG-826	g__Onthovivens	s__	0.134483613	0.797979798	other_families
MAG15014	0.0116305818107957	0.012	0.012	*	Kruskal-Wallis	SHCC293A_bin.23	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__UBA3700	g__RACS-045	s__RACS-045 sp944376205	0.129727005	0.303030303	other_families
MAG15946	0.0116258690506457	0.012	0.012	*	Kruskal-Wallis	SHCC45A_bin.57	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__Onthousia	s__	0.107443189	0.62962963	other_families
MAG16211	0.0123408916146822	0.012	0.012	*	Kruskal-Wallis	SHCC51A_bin.71	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__CAG-508	g__CAG-269	s__CAG-269 sp944388725	0.195497938	0.771043771	other_families
MAG16875	0.0122464323671497	0.012	0.012	*	Kruskal-Wallis	SHCC71A_bin.20	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__CAG-508	g__CAG-245	s__CAG-245 sp944386665	0.179841594	0.558922559	other_families
MAG18787	0.0116625678290515	0.012	0.012	*	Kruskal-Wallis	SRR21163441_bin.80	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Enterenecus	s__Enterenecus faecium	0.229393586	0.97979798	other_families
MAG20061	0.0115885659861888	0.012	0.012	*	Kruskal-Wallis	SRR29429277_bin.40	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola barnesiae	0.376214444	0.767676768	g__Phocaeicola
MAG20264	0.0121676156798156	0.012	0.012	*	Kruskal-Wallis	SRR29449360_bin.45	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Mediterraneibacter	s__Mediterraneibacter sp944377775	0.01051366	0.552188552	other_families
MAG21303	0.0116571580550025	0.012	0.012	*	Kruskal-Wallis	SRR29472726_bin.25	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Acutalibacter	s__	0.007990054	0.235690236	other_families
MAG2510	0.0122682058674553	0.012	0.012	*	Kruskal-Wallis	CCH162_1A_bin.83	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Enterenecus	s__Enterenecus faecium	0.266981606	0.98989899	other_families
MAG2862	0.0115556004703152	0.012	0.012	*	Kruskal-Wallis	CCH212_3_bin_with_2dai_data_bin.3	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Gemmiger	s__Gemmiger sp900545545	0.0275077	0.542087542	other_families
MAG3007	0.0119153033487974	0.012	0.012	*	Kruskal-Wallis	CCH247_bin_with_2dai_data_bin.23	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Fournierella	s__	0.032344318	0.68013468	other_families
MAG35	0.0122292191400914	0.012	0.012	*	Kruskal-Wallis	BKDN170793835_1A_bin.3	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__	0.033688293	0.434343434	g__Phocaeicola
MAG3832	0.0119700585075496	0.012	0.012	*	Kruskal-Wallis	CCH346_1A_bin.12	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Avibacteroides	s__	0.016497933	0.868686869	other_genus_from_Bacteroidaceae
MAG4365	0.0115040727758437	0.012	0.012	*	Kruskal-Wallis	CCS24A_bin.34	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__URXU01	s__URXU01 sp900541915	0.083842734	0.96969697	other_families
MAG4634	0.012413173186258	0.012	0.012	*	Kruskal-Wallis	CCS34A_bin.43	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium sp002160895	0.104868769	0.612794613	other_families
MAG5015	0.0118267569897748	0.012	0.012	*	Kruskal-Wallis	CCY26A_bin.43	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__CAG-508	g__CAG-269	s__CAG-269 sp944387505	0.061200017	0.771043771	other_families
MAG5418	0.012354349728143	0.012	0.012	*	Kruskal-Wallis	CCY39A_bin.61	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Anaerofilum	s__Anaerofilum excrementigallinarum	0.064287062	0.720538721	other_families
MAG5927	0.0119431880465341	0.012	0.012	*	Kruskal-Wallis	CCY9B_bin.28	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Marinifilaceae	g__CALUMT01	s__CALUMT01 sp944321845	0.011930825	0.939393939	other_families
MAG6199	0.012256718081796	0.012	0.012	*	Kruskal-Wallis	FDM21B_bin.11	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Selenomonadales	f__Selenomonadaceae	g__Megamonas	s__Megamonas funiformis	0.057956818	0.373737374	other_families
