MAG	p	p.adj	p.format	p.signif	method	MAG_id	Kingdom	Phylum	Class	Order	Family	Genus	Species	Abundance_mean	live_rate	Group
MAG18202	1.80979360651755e-05	1.8e-05	1.8e-05	****	Kruskal-Wallis	SRR21163426_bin.48	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola coprophilus	0.209654418	0.838383838	g__Phocaeicola
MAG20200	1.78516012262726e-05	1.8e-05	1.8e-05	****	Kruskal-Wallis	SRR29449358_bin.15	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola coprophilus	0.195054768	0.801346801	g__Phocaeicola
MAG2311	1.76922497108362e-05	1.8e-05	1.8e-05	****	Kruskal-Wallis	CCH151_2A_bin.46	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola coprocola	0.24572221	0.919191919	g__Phocaeicola
MAG7600	1.90543609781877e-05	1.9e-05	1.9e-05	****	Kruskal-Wallis	FM15B_bin.27	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola coprocola	0.091339646	0.774410774	g__Phocaeicola
MAG21658	1.95583764112941e-05	2e-05	2e-05	****	Kruskal-Wallis	SRR29472732_bin.64	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola plebeius_A	0.154226025	0.720538721	g__Phocaeicola
MAG22298	1.99988497288516e-05	2e-05	2e-05	****	Kruskal-Wallis	SRR29472744_bin.46	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola coprocola	0.118364621	0.922558923	g__Phocaeicola
MAG584	2.0468658210935e-05	2e-05	2e-05	****	Kruskal-Wallis	BKDN170794068_1A_bin.38	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola coprocola	0.06628286	0.774410774	g__Phocaeicola
MAG20345	2.12432199296151e-05	2.1e-05	2.1e-05	****	Kruskal-Wallis	SRR29449362_bin.5	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola plebeius_A	0.467567135	0.952861953	g__Phocaeicola
MAG4375	2.19077406811933e-05	2.2e-05	2.2e-05	****	Kruskal-Wallis	CCS24A_bin.45	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola sp900066445	0.551447135	0.966329966	g__Phocaeicola
MAG17064	2.33006568492021e-05	2.3e-05	2.3e-05	****	Kruskal-Wallis	SHCC76A_bin.17	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola coprocola	0.079136593	0.774410774	g__Phocaeicola
MAG4562	2.30510539293798e-05	2.3e-05	2.3e-05	****	Kruskal-Wallis	CCS30A_bin.16	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola plebeius_A	0.405223744	0.939393939	g__Phocaeicola
MAG16763	2.41384909018974e-05	2.4e-05	2.4e-05	****	Kruskal-Wallis	SHCC68A_bin.29	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola coprocola	0.241294498	0.750841751	g__Phocaeicola
MAG20245	2.42832255697506e-05	2.4e-05	2.4e-05	****	Kruskal-Wallis	SRR29449360_bin.22	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola coprophilus	0.16764482	0.932659933	g__Phocaeicola
MAG2234	2.54998906696248e-05	2.5e-05	2.5e-05	****	Kruskal-Wallis	CCH127_1A_bin.25	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola coprocola	0.023830987	0.414141414	g__Phocaeicola
MAG22073	2.74300049779306e-05	2.7e-05	2.7e-05	****	Kruskal-Wallis	SRR29472740_bin.59	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola coprocola	0.028459099	0.491582492	g__Phocaeicola
MAG2272	2.68557389955033e-05	2.7e-05	2.7e-05	****	Kruskal-Wallis	CCH150_1B_bin.49	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola coprophilus	0.147301471	0.892255892	g__Phocaeicola
MAG1421	2.83767530723788e-05	2.8e-05	2.8e-05	****	Kruskal-Wallis	BKDN170795573_1A_bin.50	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola coprocola	0.053260438	0.717171717	g__Phocaeicola
MAG12430	2.98953611832736e-05	3e-05	3e-05	****	Kruskal-Wallis	SHCC22A_bin.3	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__	0.542289367	0.888888889	g__Phocaeicola
MAG4484	2.9619575417604e-05	3e-05	3e-05	****	Kruskal-Wallis	CCS28B_bin.12	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola coprocola	0.111926704	0.905723906	g__Phocaeicola
MAG5982	3.04472745992979e-05	3e-05	3e-05	****	Kruskal-Wallis	FDM11A_bin.27	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola plebeius_A	0.431217071	0.929292929	g__Phocaeicola
MAG226	3.08518282017517e-05	3.1e-05	3.1e-05	****	Kruskal-Wallis	BKDN170793906_1A_bin.42	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola coprophilus	0.216650867	0.878787879	g__Phocaeicola
MAG516	3.20937071445151e-05	3.2e-05	3.2e-05	****	Kruskal-Wallis	BKDN170794061_1A_bin.39	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola plebeius_A	0.160555497	0.861952862	g__Phocaeicola
MAG10395	3.43017446508944e-05	3.4e-05	3.4e-05	****	Kruskal-Wallis	SHCC171A_bin.35	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola coprophilus	0.470038322	0.96969697	g__Phocaeicola
MAG3590	3.7369737433912e-05	3.7e-05	3.7e-05	****	Kruskal-Wallis	CCH325_1A_bin.16	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola sp900066445	0.540941256	0.952861953	g__Phocaeicola
MAG11237	3.94029288341621e-05	3.9e-05	3.9e-05	****	Kruskal-Wallis	SHCC195A_bin.16	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola plebeius_A	1.155139909	0.962962963	g__Phocaeicola
MAG22946	3.89938835587251e-05	3.9e-05	3.9e-05	****	Kruskal-Wallis	SRR29536183_bin.9	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola sp900066445	0.791567348	0.986531987	g__Phocaeicola
MAG5836	4.17129483707485e-05	4.2e-05	4.2e-05	****	Kruskal-Wallis	CCY6A_bin.9	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola coprocola	0.102725838	0.939393939	g__Phocaeicola
MAG12193	4.38658688184527e-05	4.4e-05	4.4e-05	****	Kruskal-Wallis	SHCC221A_bin.87	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Enterenecus	s__Enterenecus faecium	0.138178461	0.750841751	other_families
MAG1768	4.46299313712675e-05	4.5e-05	4.5e-05	****	Kruskal-Wallis	BKDN170796080_1A_bin.31	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola plebeius_A	0.094192764	0.838383838	g__Phocaeicola
MAG18298	4.52575421408221e-05	4.5e-05	4.5e-05	****	Kruskal-Wallis	SRR21163429_bin.81	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola coprocola	0.050949729	0.612794613	g__Phocaeicola
MAG3388	4.46635567093399e-05	4.5e-05	4.5e-05	****	Kruskal-Wallis	CCH295_1A_bin.15	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola coprophilus	0.118979318	0.757575758	g__Phocaeicola
MAG18076	4.63142629135458e-05	4.6e-05	4.6e-05	****	Kruskal-Wallis	SRR21163422_bin.57	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola coprocola	0.059726707	0.717171717	g__Phocaeicola
MAG978	4.65211311286552e-05	4.7e-05	4.7e-05	****	Kruskal-Wallis	BKDN170794385_1A_bin.16	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola coprophilus	0.146218099	0.791245791	g__Phocaeicola
