Sample,total_abundance,gut_locations
BKDN170793899-1A,356.980602,Feces
CCY27A,355.785651,large_intestine
CCH186-1A,355.539277,large_intestine
SHCC285A,354.972057,large_intestine
SRR29449365,354.891036,large_intestine
SHCC4A,353.584492,large_intestine
SRR29449358,353.391932,large_intestine
CCH328A,352.388817,large_intestine
SRR21163430,352.19203,large_intestine
FJY24B,351.687406,Feces
BKDN170794068-1A,351.260074,Feces
SHCC254B,350.574155,large_intestine
SHCC196A,348.949138,large_intestine
SHCC288A,348.729362,large_intestine
SRR21163433,348.383774,large_intestine
FJY4A,347.370456,Feces
BKDN170796418-1A,346.707136,Feces
SHCC26B,343.65218,large_intestine
CCY24A,343.411118,large_intestine
BKDN170793906-1A,341.587707,Feces
FJY16B,340.778486,Feces
SRR29354217,340.551674,large_intestine
CCH326A,340.014336,large_intestine
SRR29409644,339.486334,large_intestine
SRR29409640,339.392252,large_intestine
SHCC65A,338.985458,large_intestine
SHCC5A,338.963977,large_intestine
BKDN170796086-1A,338.786583,Feces
SHCC57B,336.71825,large_intestine
SHCC1A,336.012884,large_intestine
SRR29409646,334.479133,large_intestine
BKDN170795912-1A,333.665449,Feces
SRR29536186,332.891369,large_intestine
CCY43A,332.771073,large_intestine
CCY13A,332.211177,large_intestine
SHCC81A,331.918744,large_intestine
FJY8A,331.462772,Feces
SHCC210A,331.268954,large_intestine
SRR29449915,330.168022,large_intestine
SHCC272B,330.045774,large_intestine
CCY30A,329.42058,large_intestine
SHCC51A,329.17274,large_intestine
SRR29449381,329.044763,large_intestine
SHCC185B,328.771833,large_intestine
BKDN170795572-1A,328.037167,Feces
FH287B,327.314553,Feces
SRR29536180,326.907895,large_intestine
SHCC54A,326.671095,large_intestine
FDM32B,326.083546,Feces
SHCC271B,325.108369,large_intestine
FH326B,325.015409,Feces
SHCC76A,324.377638,large_intestine
SRR29449920,323.564584,large_intestine
SHCC204B,323.547755,large_intestine
FJY7A,322.456963,Feces
SHCC44A,322.363758,large_intestine
FJY30A,321.818076,Feces
CCY37A,321.320142,large_intestine
CCH57A,320.93867,large_intestine
SHCC33A,320.851874,large_intestine
SHCC281A,320.646549,large_intestine
SHCC227A,319.014139,large_intestine
SHCC8A,318.734945,large_intestine
SHCC7A,317.310257,large_intestine
SRR29536185,317.054233,large_intestine
SHCC201A,316.829181,large_intestine
SRR29409643,316.549125,large_intestine
SRR29409641,315.623054,large_intestine
CCY46B,315.152908,large_intestine
SHCC274A,314.400766,large_intestine
CCY28A,313.868152,large_intestine
SHCC262A,313.361089,large_intestine
FH328A,313.349401,Feces
SHCC39A,312.040571,large_intestine
FJY15A,311.520729,Feces
BKDN170795737-1A,311.387401,Feces
CCH127-1A,311.190954,large_intestine
SHCC217A,311.112027,large_intestine
SHCC289A,310.792703,large_intestine
SHCC73A,309.348254,large_intestine
SHCC175A,309.347092,large_intestine
SHCC243A,308.58846,large_intestine
SHCC47A,307.905881,large_intestine
SHCC139A,307.455595,large_intestine
FDM11A,307.443218,Feces
SRR29449380,306.518753,large_intestine
SHCC179A,306.490723,large_intestine
SRR21163521,306.381687,large_intestine
FJY5A,306.380884,Feces
CCH247A,306.330383,large_intestine
