traits	g__Phocaeicola	s__Phocaeicola_coprocola	MAG8727	MAG19359	MAG21658
LIPID-P-1693	0.00460768935345207	-0.058215927	0.0504506961698684	0.0165160734729806	-0.034919723
LIPID-P-1691	-0.009335684	0.0184730977286723	-0.03255018	0.0118380636021974	-0.056254017
LIPID-N-0056	0.00374627683510321	-0.000658767	-0.090852872	-0.038147624	-0.050262248
LIPID-N-0095	0.0576969882054628	-0.016423976	-0.029558044	0.0849037364663613	0.067067616515968
LIPID-N-0075	0.11356071017088	0.0313145230725168	-0.063324054	0.0512399018295052	0.0782181025642737
LIPID-N-0073	0.158979626776237	0.0815361680867508	-0.000826598	0.10958217853636	0.120998986302626
LIPID-N-0067	-0.067273283	0.000576770982473731	-0.027076399	-0.05284796	-0.027705666
LIPID-N-0098	0.0147355367694351	-0.036780082	-0.015398045	0.0568236318584841	0.0317759140830235
LIPID-N-0096	0.0216873267720725	-0.030128823	-0.02337152	0.0157224680351344	-0.009336444
LIPID-N-0092	0.0818911439976815	0.0309721726060578	0.0724764073967455	0.0862174375100417	0.0267336709879916
LIPID-N-0087	0.0402077276169286	-0.087283471	-0.061765431	-0.024114589	-0.055861702
LIPID-N-0086	0.057157928344369	-0.027195689	-0.007751784	0.0596408616702427	0.0218915610231243
LIPID-N-0084	0.078637034569238	-0.015334057	-0.007115405	0.0852908102219483	0.0796213297750021
LIPID-N-0099	0.0369286081150488	-0.013110493	-0.021481823	0.0617244813180612	0.0455166855059848
LIPID-N-0103	-0.004123692	-0.05742492	0.00277553574477511	-0.016040744	-0.013070273
LIPID-N-0102	0.00216595640324454	-0.02214472	-0.033722042	0.0186423152458906	0.00363837772278229
LIPID-N-0091	0.0882304492473984	0.0455656016839957	0.0214026805038153	0.106571296025816	0.0772327085976868
LIPID-P-0321	0.0415316703452297	-0.015107097	0.0899390212123825	0.0913199877865309	0.104127974786376
LIPID-P-0320	0.0677378457039474	0.0229382722018945	0.0399909483239592	0.0916477611941644	0.0602292818428118
LIPID-P-0317	-0.028045364	-0.000367722	0.0168712602738075	0.0154132428085079	-0.010496676
LIPID-P-0329	-0.03845232	-0.038875475	-0.034874003	-0.01295064	-0.018069767
LIPID-P-2152	-0.066526002	-0.154912403	-0.08100473	-0.060289228	-0.07123893
LIPID-P-2162	-0.041860659	-0.074813651	0.0511088272068986	-0.003123924	-0.000768289
LIPID-P-2166	0.0864462305140271	-0.026875723	-0.068851522	0.0127150601543531	0.00357989042656986
LIPID-P-2160	0.107650948328914	-0.030318072	-0.060229172	0.0301493624526758	0.0181539888459658
LIPID-P-2151	-0.01067432	-0.097008668	-0.058577245	0.000950075036684072	-0.018546507
LIPID-P-2133	-0.044470356	-0.059004389	-0.010708283	0.0118755896036367	0.00519835088735998
LIPID-P-2150	-0.067796147	-0.153351906	-0.12335699	-0.061695294	-0.082732854
LIPID-P-2149	0.0204194949957662	-0.06168118	-0.069797527	0.0297050731269931	0.0291514721273797
LIPID-P-2129	0.115070540494269	-0.040516947	-0.062779777	0.0347537101724855	0.0214091578039643
LIPID-P-2125	0.0832470374843256	-0.057628513	-0.031274183	0.0256552763173421	0.0250611045794679
LIPID-P-2124	0.0892479536547333	-0.019956785	-0.062942227	0.0238331804696778	0.0118308102778485
LIPID-P-0292	-0.071328988	-0.127330243	-0.00352051	-0.043217661	-0.028123035
LIPID-P-0299	-0.038289445	-0.075673602	-0.037550958	0.0102536324303153	-0.010607724
LIPID-P-0300	-0.004659513	-0.069588934	-0.006014818	0.0262765401189484	0.00291828213181496
LIPID-P-0301	-0.046803986	-0.136899177	-0.011220799	-0.045579592	-0.04105983
LIPID-P-0305	-0.026719786	-0.073555536	0.0119653035867385	0.0110817525238063	-0.010519291
LIPID-P-0306	0.00137425561154375	-0.02097429	-0.02743092	0.0630897791728964	0.0241487027585541
LIPID-P-0288	0.00531749006325277	-0.034837152	0.00854598424666874	0.0380001725809543	0.0576333816877197
LIPID-P-0297	0.00224091580023783	-0.008042173	-0.020801014	0.0672644310120276	0.0306843071865149
LIPID-P-0298	0.00735388701490396	-0.029675596	-0.025602778	0.0626188510190314	0.0304115224369801
LIPID-P-0290	-0.003483825	-0.021452798	-0.06234923	0.0340271863256377	0.0178403297228656
LIPID-P-0291	-0.040018601	-0.011475498	-0.027675752	0.0365310991172006	-0.008955575
LIPID-P-2229	0.0371086032102981	0.0533030781131379	-0.002175257	0.0917976335579374	0.0547207143363411
LIPID-P-2230	-0.013281893	-0.020971288	0.0255406859378609	0.0704173268851183	0.0417043791286026
