SampleID,V1,V2,V3,breed,application,shape_id
CCY33B,-0.185368288,0.19797525765449211,0.15687346582424597,CVD,meat_type,CVD-XinYang
CCY34B,-0.211005708,-0.004190452,0.07371707033331977,CVD,meat_type,CVD-XinYang
CCY35B,-0.243214982,0.07651259043204758,0.08680452881396684,CVD,meat_type,CVD-XinYang
CCY36B,-0.225808596,0.13859231394527408,0.17743485790167668,CVD,meat_type,CVD-XinYang
CCY37A,-0.142976423,0.028779946456622654,0.057075476026439316,CVD,meat_type,CVD-XinYang
CCY39A,-0.281273976,0.06735223704105528,0.10795213062881098,CVD,meat_type,CVD-XinYang
CCY41B,-0.177613399,0.1517933487108006,0.172324215533647,CVD,meat_type,CVD-XinYang
CCY42A,-0.328487519,0.16720946771452222,0.17208415424741613,CVD,meat_type,CVD-XinYang
CCY43A,-0.226723062,0.16197654413513646,0.1659586258659193,CVD,meat_type,CVD-XinYang
CCY44A,-0.091244066,-0.072755987,0.0015261300520166357,CVD,meat_type,CVD-XinYang
CCY46B,-0.167035155,0.2069030179317391,0.12274739638024407,CVD,meat_type,CVD-XinYang
CCY47A,-0.272311017,-0.024213822,-0.018101719,CVD,meat_type,CVD-XinYang
CCY48A,-0.207959591,-0.053383157,-0.041551237,CVD,meat_type,CVD-XinYang
CCY49A,-0.348160936,0.23400214581974013,0.1826729661358751,CVD,meat_type,CVD-XinYang
CCY50A,-0.315899404,0.23335431553001715,0.21712146222364784,CVD,meat_type,CVD-XinYang
CCY6A,-0.19966053,-0.015083784,0.05652672368324423,CVD,meat_type,CVD-XinYang
CCY8A,-0.248964748,0.07523310625425653,0.10750252854636105,CVD,meat_type,CVD-XinYang
CCY9B,-0.194614042,-0.014172275,0.06181570737784025,CVD,meat_type,CVD-XinYang
SHCC100A,0.12624233146362213,-0.010344609,0.032713179480198515,SRD,dual_type,SRD-JiAn
SHCC101A,0.12904854677416788,-1.87E-05,0.0402856192508263,SRD,dual_type,SRD-JiAn
SHCC102A,0.06717079778134198,-0.056645443,0.01931999053360928,SRD,dual_type,SRD-JiAn
SHCC103A,0.07520381873910482,-0.116643305,-0.083025168,SRD,dual_type,SRD-JiAn
SHCC104A,0.07965178170046684,-0.048211386,-0.072853404,SRD,dual_type,SRD-JiAn
SHCC105A,-0.005525711,-0.065495931,-0.011658808,SRD,dual_type,SRD-JiAn
SHCC106A,-0.029890837,-0.067517982,0.06139180337580734,SRD,dual_type,SRD-JiAn
SHCC107A,0.2236147041050362,0.09911121194753487,0.05861881798505191,SRD,dual_type,SRD-JiAn
SHCC108A,0.07077608302905544,-0.067342757,-9.18E-04,SRD,dual_type,SRD-JiAn
SHCC109A,0.1847911591793716,0.2684624554409996,-0.065919028,SRD,dual_type,SRD-JiAn
SHCC10A,0.019697306109338595,-0.049151508,0.06112826290122077,SRD,dual_type,SRD-JiAn
SHCC110A,0.026125175230150354,-0.055296713,0.03323137470546753,SRD,dual_type,SRD-JiAn
SHCC111A,0.06691156361493428,-0.001884672,0.0597649309495977,SRD,dual_type,SRD-JiAn
SHCC112A,0.03816679735639353,-0.126505882,-0.096077692,SRD,dual_type,SRD-JiAn
SHCC113A,0.0699500900471756,-0.063272552,-0.058292483,SRD,dual_type,SRD-JiAn
SHCC114A,0.02354420016104267,-0.041360437,0.04997227066104815,SRD,dual_type,SRD-JiAn
SHCC115A,0.017465258401175743,0.012678898815539555,0.07036395917758229,SRD,dual_type,SRD-JiAn
SHCC116A,0.06218774235289073,-0.054652962,0.03817422398812366,SRD,dual_type,SRD-JiAn
SHCC117A,0.06400426140803331,-0.090084816,-0.023631092,SRD,dual_type,SRD-JiAn
SHCC118A,0.20047145521737622,0.47342534154319527,-0.18095424,SRD,dual_type,SRD-JiAn
SHCC119A,0.09254288343866474,-0.028121674,0.009767403219394554,SRD,dual_type,SRD-JiAn
SHCC11A,0.08873350306022469,-0.029216418,0.01468597231993665,SRD,dual_type,SRD-JiAn
SHCC120A,0.3365924727358159,0.3645361652160047,0.009105743151283307,SRD,dual_type,SRD-JiAn
SHCC121A,0.09809403720691309,-0.0353974,0.0016956082240680147,SRD,dual_type,SRD-JiAn
SHCC122B,-0.007764161,-0.046557378,0.06943607176005204,SRD,dual_type,SRD-JiAn
SHCC123A,0.15531109147375619,0.06029840852244197,0.10222565775889375,SRD,dual_type,SRD-JiAn
SHCC124B,0.014829039305824644,-0.099802417,-0.037950422,SRD,dual_type,SRD-JiAn
SHCC125A,0.12449791938974908,-0.037593448,0.0265126267303723,SRD,dual_type,SRD-JiAn
SHCC126A,0.04174006467043688,-0.074218066,-0.007119201,SRD,dual_type,SRD-JiAn
SHCC127A,0.28432490634707175,0.3406610285291804,0.05078827852036859,SRD,dual_type,SRD-JiAn
SHCC128A,0.04267957793014352,-0.036385895,-0.006116929,SRD,dual_type,SRD-JiAn
SHCC129A,0.3313481341099288,0.2757412132435598,4.360531866152064e-4,SRD,dual_type,SRD-JiAn
SHCC12A,0.07426242411761322,-0.104829766,-0.085582752,SRD,dual_type,SRD-JiAn
SHCC130A,0.13844382841674321,0.04176461969751199,0.051750437459869666,SRD,dual_type,SRD-JiAn
SHCC131A,0.15912127902375497,0.011315311675210674,0.007999660185053912,SRD,dual_type,SRD-JiAn
SHCC132A,0.1255608967606768,-0.081834403,-0.085656239,SRD,dual_type,SRD-JiAn
SHCC133A,0.20766367610389785,0.04654482569354178,0.040069462930089804,SRD,dual_type,SRD-JiAn
SHCC134A,0.21536879404177867,0.10322536889028205,0.0399451135882521,SRD,dual_type,SRD-JiAn
SHCC135A,0.04887005774828584,-0.106653659,-0.057976674,SRD,dual_type,SRD-JiAn
