ARG,CHP,JRD,JYP,LCW,LSD,MWD,PTB,SPD,SXD,TWD,YXP,ZSP
ANT(2'')-Ia,0.016432166666666668,0.0545135,0.126358125,0.012624199999999999,0.22915785714285714,0.005073230769230769,0.17438625,0.2861004705882353,1.0261156,0.058017,0.44032866666666665,0.21387406666666667
APH(2'')-If,0.14228158333333332,0.043253,0.048163125,0.2102742,0.10448514285714286,0.053229307692307694,0.029984,0.030508823529411765,0.2646989,0.30158999999999997,0.10341433333333333,0.028193333333333334
APH(3'')-Ib,1.1122070833333333,0.3485,0.225173875,0.4978979,0.4125851428571429,0.18561853846153847,0.1762455,0.404561,1.7540518,0.2479882,0.7349533333333333,0.6529626666666667
APH(3')-IIIa,6.16612625,7.7297781875,2.19145775,5.0894663,8.868205,6.0346111538461535,3.1421595,3.0875127058823533,10.619856200000001,6.0402374,4.867984666666667,8.480658266666667
APH(3')-Ia,0.05100158333333333,0.095747,0.096315,0.0313256,0.2553677142857143,0.06252423076923078,0.27312000000000003,0.47328017647058823,1.5252129,0.17132,0.6513968888888889,0.5898868666666667
APH(6)-Id,0.060719333333333333,0.005514437499999999,0.00343025,0.013943800000000001,0.05067214285714285,0.04260384615384615,0,0.019549294117647057,0.28387249999999997,0.0522922,0.002951888888888889,0.012087266666666667
ErmA,3.9697856666666667,10.373604625,3.91642425,4.368166,12.985871714285715,14.154746692307691,6.7072735,4.407428588235294,2.7472787,21.0097642,31.119443333333333,11.995615266666666
ErmB,4.440965666666667,11.9338415,5.9418331250000005,5.9249295,4.368916571428572,22.629120384615383,1.702228,2.7808679411764707,4.9616426,16.0748272,20.550677888888888,5.1533026
ErmF,1.2231213333333333,0.3732661875,0.1013975,0.6425149,0.4824614285714286,0.23180753846153845,0.311685,0.5144864117647059,0.978962,0.30503179999999996,0.38126055555555555,0.25294666666666665
ErmT,0.034930916666666666,0.056605,0.00690575,0.10341600000000001,0.003955,0.080441,0,0.17669335294117647,0.036940100000000003,0.1110162,0.6973036666666667,0.014490266666666668
ErmX,0.034777416666666665,0.0912779375,0.082432875,0.0403777,0.21065271428571428,0.10109307692307692,0.19064425000000002,0.40518964705882354,0.748941,0.169619,0.32598744444444444,0.23734426666666666
OXA-10,0.104891,0.5477381875,0.0378765,0.4925326,0.4386062857142857,0.8317929230769231,0.02121325,0.15832423529411765,0.0362932,0.036896,0.5199945555555556,0.8248545333333334
SAT-4,1.438196,3.538832375,0.76961325,2.2071904,2.8757198571428573,4.860057153846154,2.90239975,1.9168252941176471,2.8566708,1.7568964,3.380177777777778,5.6656488
TEM-1,0.10318108333333333,0.99092925,0.012305125,0.5464933,0.6838548571428571,0.8637528461538462,0,0.6323562352941177,0.0699715,0.035801,0.5021592222222222,1.4981970666666666
aad(6),0.7132125833333334,2.5287228125,0.6139147500000001,1.3437397,1.3036201428571428,4.029109384615385,0.70406125,0.8190310588235294,1.1377673,1.016202,2.7724046666666666,1.7709713333333335
aadA2,0.0024940833333333334,0.0321515625,0.09064425,0.0292422,0.30006114285714286,0.003976769230769231,0.31190850000000003,0.49605605882352943,1.1704444999999999,0.0737432,0.24070122222222223,0.3524296
