Sample,total_abundance,gut_locations
CCH57A,533.161092,large_intestine
CCH74-3A,367.3532,large_intestine
CCH93-1A,436.486015,large_intestine
CCH95-1A,457.116216,large_intestine
CCS15B,435.174611,large_intestine
CCS16B,286.605816,large_intestine
CCS17A,351.927073,large_intestine
CCS18A,334.687365,large_intestine
CCS19A,484.361588,large_intestine
CCS20A,489.629091,large_intestine
CCS24A,380.032847,large_intestine
CCS25B,534.20507,large_intestine
CCS26A,235.270709,large_intestine
CCS27A,241.60623,large_intestine
CCS28B,374.8057,large_intestine
CCS29B,428.767173,large_intestine
CCS30A,366.432783,large_intestine
CCS34A,419.864499,large_intestine
CCY10A,777.941788,large_intestine
CCY11A,661.732611,large_intestine
CCY13A,612.581558,large_intestine
CCY17A,629.38186,large_intestine
CCY20A,807.786284,large_intestine
CCY23A,898.938202,large_intestine
CCY24A,644.010635,large_intestine
CCY25B,762.207068,large_intestine
CCY26A,893.081749,large_intestine
CCY27A,617.991577,large_intestine
CCY28A,578.950104,large_intestine
CCY30A,613.906822,large_intestine
CCY33B,627.338515,large_intestine
CCY34B,735.56477,large_intestine
CCY35B,753.156056,large_intestine
CCY36B,727.840826,large_intestine
CCY37A,599.57799,large_intestine
CCY39A,821.447492,large_intestine
CCY41B,612.391528,large_intestine
CCY42A,938.873481,large_intestine
CCY43A,667.15655,large_intestine
CCY44A,565.572556,large_intestine
CCY46B,562.865835,large_intestine
CCY47A,865.882461,large_intestine
CCY48A,735.482009,large_intestine
CCY49A,940.198906,large_intestine
CCY50A,839.505698,large_intestine
CCY6A,697.649209,large_intestine
CCY8A,822.703061,large_intestine
CCY9B,695.337169,large_intestine
FDM11A,482.831204,Feces
FDM12B,160.966704,Feces
FDM14A,241.744644,Feces
FDM15A,363.306201,Feces
FDM16A,367.564978,Feces
FDM17B,274.28194,Feces
FDM18A,321.483423,Feces
FDM19A,399.140143,Feces
FDM1B,483.23621,Feces
FDM20B,388.972617,Feces
FDM21B,173.254211,Feces
FDM23A,286.537295,Feces
FDM24B,249.259907,Feces
FDM25B,396.053429,Feces
FDM26A,398.087947,Feces
FDM27B,255.68522,Feces
FDM28B,418.374065,Feces
FDM29B,353.445585,Feces
FDM30A,203.248415,Feces
FDM32B,543.828349,Feces
FDM33A,390.236136,Feces
FDM34B,284.550165,Feces
FDM3B,541.356441,Feces
FDM5B,510.572623,Feces
FDM6A,427.589726,Feces
FDM7A,433.820449,Feces
FDM8B,418.861124,Feces
FH108B,465.325601,Feces
FH111B,455.740908,Feces
FH127B,291.831835,Feces
FH151A,347.295265,Feces
FH157B,521.885906,Feces
FH180A,433.175687,Feces
FH206B,514.281724,Feces
FH221B,565.962146,Feces
FH227B,373.671967,Feces
FH247A,445.624695,Feces
FH251B,459.537607,Feces
FH287B,555.514867,Feces
FH295A,434.534669,Feces
FH306B,478.072872,Feces
FH323B,577.430831,Feces
FH324B,605.560524,Feces
FH326B,604.218357,Feces
FH328A,534.540013,Feces
FH340B,562.204354,Feces
FH74B,474.033151,Feces
FH93B,367.96916,Feces
FH95B,258.232695,Feces
FJY10A,807.846703,Feces
FJY12A,719.099935,Feces
FJY13B,394.615964,Feces
FJY14A,634.038719,Feces
FJY15A,560.292033,Feces
FJY16B,770.440676,Feces
FJY17A,407.410559,Feces
FJY18A,516.408619,Feces
FJY19A,313.808566,Feces
FJY1A,966.634328,Feces
FJY20A,457.702602,Feces
FJY21A,543.67769,Feces
FJY22A,573.80553,Feces
FJY23A,607.893007,Feces
FJY24B,567.159539,Feces
FJY25B,808.144286,Feces
FJY26A,765.333652,Feces
FJY27B,360.781899,Feces
FJY28A,588.46008,Feces
FJY29A,763.609286,Feces
FJY2A,1131.955932,Feces
FJY30A,547.865757,Feces
FJY32B,432.205795,Feces
FJY35A,103.382926,Feces
FJY37A,1093.810174,Feces
FJY3A,678.862091,Feces
FJY43B,412.380134,Feces
FJY44A,907.805193,Feces
FJY45A,171.911521,Feces
FJY4A,849.363969,Feces
FJY52A,1251.383323,Feces
FJY53A,1275.252926,Feces
FJY59A,114.201765,Feces
FJY5A,816.602602,Feces
FJY61B,484.97096,Feces
FJY63B,245.803093,Feces
FJY64B,1292.771092,Feces
FJY65A,355.651042,Feces
FJY69A,1040.027291,Feces
FJY6B,440.562474,Feces
FJY73A,535.985276,Feces
FJY74A,905.503767,Feces
FJY75A,783.54379,Feces
FJY78B,356.869302,Feces
FJY79A,352.53708,Feces
FJY7A,743.391276,Feces
FJY80B,646.732736,Feces
FJY8A,880.474443,Feces
FJY9B,1127.703212,Feces
FM13B,398.249909,Feces
FM14A,381.446865,Feces
FM15B,422.769861,Feces
FM17B,757.535721,Feces
FM18B,568.677203,Feces
FM1B,484.064825,Feces
FM21A,422.112443,Feces
FM2B,350.005449,Feces
FM3B,470.011327,Feces
FM4B,323.622934,Feces
FM5B,689.164129,Feces
FM6B,331.877187,Feces
FM7B,392.116571,Feces
FM8B,325.893262,Feces
GCH111B,122.181475,Stomach
GCH112A,29.138957,Stomach
GCH119A,0.263699,Stomach
GCH151B,7.231871,Stomach
GCH156B,21.536516,Stomach
GCH162B,4.515078,Stomach
GCH186B,672.602665,Stomach
GCH206A,9.976312,Stomach
GCH209B,236.235104,Stomach
GCH212B,493.720179,Stomach
GCH221A,107.42737,Stomach
GCH227B,238.641194,Stomach
GCH250A,3.582882,Stomach
GCH251A,76.986298,Stomach
GCH263A,1.358279,Stomach
GCH277A,111.943002,Stomach
GCH294A,26.337504,Stomach
GCH295A,31.375834,Stomach
GCH323A,0.120128,Stomach
GCH324A,7.507353,Stomach
GCH325A,32.879395,Stomach
GCH326A,14.602793,Stomach
GCH340A,1.71067,Stomach
GCH346A,5.248549,Stomach
GCH74A,1.027812,Stomach
ICH108-1A,0.524495,small_intestine
ICH111-1A,0,small_intestine
ICH112-1A,0,small_intestine
ICH119-1A,0,small_intestine
ICH127-1A,0.130227,small_intestine
ICH150-1A,6.310871,small_intestine
ICH151-1A,5.053151,small_intestine
ICH180-1A,90.797497,small_intestine
ICH206-1A,0.97886,small_intestine
ICH210-1A,10.288642,small_intestine
ICH221-1A,0.935002,small_intestine
ICH227-1A,64.260986,small_intestine
ICH247-1A,650.970271,small_intestine
ICH250-1A,0.923502,small_intestine
ICH258-1A,24.296427,small_intestine
ICH259-1A,12.225776,small_intestine
ICH263-1A,3.490064,small_intestine
ICH277-1A,0.047072,small_intestine
ICH287-1A,2.803934,small_intestine
ICH294-1A,0.327945,small_intestine
ICH295-1A,0.61783,small_intestine
ICH306-1A,1.76731,small_intestine
ICH323-1A,0.790465,small_intestine
ICH324-1A,1.347918,small_intestine
ICH325-1A,0.423673,small_intestine
ICH326-1A,2.228643,small_intestine
ICH328-1A,0.675324,small_intestine
ICH340-1A,0.305554,small_intestine
ICH346-1A,1.127376,small_intestine
ICH57-1A,60.510381,small_intestine
ICH93-1A,0,small_intestine
ICH95-1A,0,small_intestine
JCH108-1A,2.311125,small_intestine
JCH111-1A,1.298402,small_intestine
JCH112-1A,3.741427,small_intestine
JCH119-1A,3.56133,small_intestine
JCH127-1A,3.874163,small_intestine
JCH157-1A,494.191164,small_intestine
JCH180-1A,4.764328,small_intestine
JCH206-1A,1.97569,small_intestine
JCH209-1A,57.202588,small_intestine
JCH210-1A,1.676856,small_intestine
JCH247-1A,52.881757,small_intestine
JCH250-1A,1.363274,small_intestine
JCH258-1A,3.124721,small_intestine
JCH259-1B,8.54508,small_intestine
JCH263-1A,0.576367,small_intestine
JCH277-1A,0,small_intestine
JCH287-1A,0.458388,small_intestine
JCH294-1A,0.650348,small_intestine
JCH295-1A,0.137939,small_intestine
JCH306-1A,0.115203,small_intestine
JCH323-1A,0.744256,small_intestine
JCH324-1A,0.496787,small_intestine
JCH325-1A,0,small_intestine
JCH326-1A,1.350268,small_intestine
JCH328-1A,1.920994,small_intestine
JCH340-1A,0.700936,small_intestine
JCH346-1A,0.555934,small_intestine
JCH57-1A,6.716099,small_intestine
JCH74-1A,3.708795,small_intestine
JCH93-1A,3.647973,small_intestine
JCH95-1A,1.685199,small_intestine
MCH108B,253.507911,Stomach
MCH111A,26.788468,Stomach
MCH112B,93.633777,Stomach
MCH119B,104.493234,Stomach
MCH127B,82.759144,Stomach
MCH151A,2.072788,Stomach
MCH156B,1.058141,Stomach
MCH221A,85.396244,Stomach
MCH259B,57.75427,Stomach
MCH277B,98.886217,Stomach
MCH287B,53.543958,Stomach
MCH294B,33.105274,Stomach
MCH295B,117.253797,Stomach
MCH306A,5.520962,Stomach
MCH323B,80.282289,Stomach
MCH324B,168.913206,Stomach
