Sample,high_risk_ARG_abundance,gut_locations
CCH328A,331.75613400000003,large_intestine
CCH340-2A,263.461515,large_intestine
CCH346-1A,242.915125,large_intestine
CCH57A,302.863751,large_intestine
CCH74-3A,212.296673,large_intestine
CCH93-1A,267.774846,large_intestine
CCH95-1A,277.819791,large_intestine
CCS15B,180.479322,large_intestine
CCS16B,105.971327,large_intestine
CCS17A,172.221228,large_intestine
CCS18A,172.014029,large_intestine
CCS19A,255.86715099999998,large_intestine
CCS20A,230.57673400000002,large_intestine
CCS24A,208.248638,large_intestine
CCS25B,214.060148,large_intestine
CCS26A,126.759455,large_intestine
CCS27A,118.25808699999999,large_intestine
CCS28B,187.869576,large_intestine
CCS29B,193.493266,large_intestine
CCS30A,196.705458,large_intestine
CCS34A,232.391953,large_intestine
CCY10A,366.604208,large_intestine
CCY11A,367.047603,large_intestine
CCY13A,289.295929,large_intestine
CCY17A,340.568671,large_intestine
CCY20A,385.155649,large_intestine
CCY23A,415.812101,large_intestine
CCY24A,303.144705,large_intestine
CCY25B,378.31786700000004,large_intestine
CCY26A,394.598374,large_intestine
CCY27A,320.817196,large_intestine
CCY28A,285.175512,large_intestine
CCY30A,300.858888,large_intestine
CCY33B,242.943816,large_intestine
CCY34B,324.159745,large_intestine
CCY35B,359.802721,large_intestine
CCY36B,362.569165,large_intestine
CCY37A,299.358339,large_intestine
CCY39A,379.393334,large_intestine
CCY41B,260.209571,large_intestine
CCY42A,381.07877,large_intestine
CCY43A,297.305126,large_intestine
CCY44A,275.049351,large_intestine
CCY46B,265.49666,large_intestine
CCY47A,458.19933299999997,large_intestine
CCY48A,389.607742,large_intestine
CCY49A,439.022522,large_intestine
CCY50A,340.003677,large_intestine
CCY6A,350.643199,large_intestine
CCY8A,352.17244900000003,large_intestine
CCY9B,329.56888,large_intestine
FDM11A,296.899232,Feces
FDM12B,50.513818,Feces
FDM14A,103.322525,Feces
FDM15A,198.402842,Feces
FDM16A,179.620814,Feces
FDM17B,124.035728,Feces
FDM18A,143.12525,Feces
FDM19A,119.631056,Feces
FDM1B,118.479864,Feces
FDM20B,60.378775999999995,Feces
FDM21B,35.358463,Feces
FDM23A,88.83109,Feces
FDM24B,33.287277,Feces
FDM25B,45.78226,Feces
FDM26A,248.455168,Feces
FDM27B,26.409968,Feces
FDM28B,95.88059100000001,Feces
FDM29B,65.746225,Feces
FDM30A,54.889383,Feces
FDM32B,318.934777,Feces
FDM33A,79.041429,Feces
FDM34B,121.297675,Feces
FDM3B,291.778406,Feces
FDM5B,255.85083799999998,Feces
FDM6A,246.424344,Feces
FDM7A,280.781238,Feces
FDM8B,88.13664299999999,Feces
FH108B,106.633909,Feces
FH111B,89.75126,Feces
FH127B,57.410605,Feces
FH151A,209.14152099999998,Feces
FH157B,260.359974,Feces
FH180A,99.513162,Feces
FH206B,160.855838,Feces
FH221B,253.709552,Feces
FH227B,54.504902,Feces
FH247A,243.354993,Feces
FH251B,95.754826,Feces
FH287B,314.310181,Feces
FH295A,145.513366,Feces
FH306B,122.76299200000001,Feces
FH323B,132.348942,Feces
FH324B,123.16964899999999,Feces
FH326B,302.803217,Feces
FH328A,294.91253,Feces
FH340B,137.082905,Feces
FH74B,84.396514,Feces
FH93B,159.451067,Feces
FH95B,88.093494,Feces
FJY10A,259.645342,Feces
FJY12A,329.369216,Feces
FJY13B,164.752237,Feces
FJY14A,271.448577,Feces
FJY15A,304.353147,Feces
FJY16B,261.337514,Feces
FJY17A,176.956815,Feces
