Sample,Total_high_risk_ARG_abundance,Total_ARG_abundance,source
CCH108A,270.088178,387.886416,Duck
CCH111-1A,267.454684,382.954372,Duck
CCH112-2A,299.216073,411.156908,Duck
CCH119-1A,237.921688,326.215092,Duck
CCH127-1A,311.190954,420.06169,Duck
CCH150-1B,367.321827,501.826478,Duck
CCH151-2A,362.250109,474.390108,Duck
CCH156-3B,296.45587,400.010968,Duck
CCH157-2B,373.712697,500.149037,Duck
CCH162-1A,393.99809,610.057444,Duck
CCH180-3A,270.280687,408.730455,Duck
CCH186-1A,355.539277,491.514417,Duck
CCH209A,391.434528,538.199279,Duck
CCH210A,294.802925,417.914982,Duck
CCH212A,266.243409,404.536658,Duck
CCH221-1A,290.045499,393.260615,Duck
CCH227-3A,296.914557,430.039119,Duck
CCH247A,306.330383,429.909054,Duck
CCH250-2A,259.278586,393.974955,Duck
CCH251-1A,268.080595,399.519089,Duck
CCH258A,358.416188,487.602161,Duck
CCH259-3A,294.119228,468.240593,Duck
CCH263-2A,305.279474,437.224154,Duck
CCH277-1A,277.160855,382.016091,Duck
CCH287A,173.539133,252.857184,Duck
CCH294-1A,262.997317,373.797124,Duck
CCH295-1A,305.073442,469.93389,Duck
CCH306-2A,295.909617,432.276097,Duck
CCH323-3A,272.873192,394.93066,Duck
CCH324-4A,288.100533,405.537312,Duck
CCH325-1A,290.819742,402.212993,Duck
CCH326A,340.014336,475.151255,Duck
CCH328A,352.388817,490.48317,Duck
CCH340-2A,283.535255,381.018868,Duck
CCH346-1A,257.483656,373.285724,Duck
CCH57A,320.93867,467.161054,Duck
CCH74-3A,225.617661,315.268203,Duck
CCH93-1A,278.949705,371.539472,Duck
CCH95-1A,292.206149,392.022567,Duck
CCS15B,191.324825,300.958571,Duck
CCS16B,116.510373,171.570625,Duck
CCS17A,192.178665,268.523227,Duck
CCS18A,180.525564,263.602928,Duck
CCS19A,277.572091,396.739103,Duck
CCS20A,240.868043,337.586747,Duck
CCS24A,221.876284,307.031066,Duck
CCS25B,220.185315,374.551395,Duck
CCS26A,125.709935,188.749021,Duck
CCS27A,118.997296,169.407156,Duck
CCS28B,187.164016,276.802787,Duck
CCS29B,198.667258,308.271494,Duck
CCS30A,195.882361,278.819651,Duck
CCS34A,234.76095,327.045834,Duck
CCY10A,407.180062,662.637299,Duck
CCY11A,399.238107,580.075451,Duck
CCY13A,332.211177,541.142387,Duck
CCY17A,359.616385,527.541352,Duck
CCY20A,413.17002,657.082773,Duck
CCY23A,456.938113,743.905688,Duck
CCY24A,343.411118,519.66944,Duck
CCY25B,429.37723,652.447952,Duck
CCY26A,459.866368,717.440457,Duck
CCY27A,355.785651,517.518947,Duck
CCY28A,313.868152,472.366993,Duck
CCY30A,329.42058,484.420063,Duck
CCY33B,286.600449,507.735153,Duck
CCY34B,367.690413,586.904033,Duck
CCY35B,404.767596,624.936126,Duck
CCY36B,393.392296,578.881117,Duck
CCY37A,321.320142,494.834416,Duck
CCY39A,424.939908,709.13283,Duck
CCY41B,303.876537,511.061374,Duck
CCY42A,434.642679,790.394935,Duck
CCY43A,332.771073,561.079231,Duck
CCY44A,296.69541,451.544119,Duck
CCY46B,315.152908,466.879014,Duck
CCY47A,505.535944,750.312739,Duck
CCY48A,428.046508,640.931536,Duck
CCY49A,489.0565,760.996442,Duck
CCY50A,390.884859,655.462895,Duck
CCY6A,377.142268,573.64993,Duck
CCY8A,394.115089,658.392054,Duck
CCY9B,363.33073,553.663688,Duck
FDM11A,307.443218,388.560522,Duck
FDM12B,57.355197,125.216431,Duck
FDM14A,110.464645,202.98196,Duck
FDM15A,201.690295,293.137439,Duck
FDM16A,185.937922,303.08983,Duck
FDM17B,129.202251,216.077244,Duck
FDM18A,154.20536,261.609829,Duck
FDM19A,121.537586,339.106984,Duck
FDM1B,121.550078,360.819609,Duck
FDM20B,63.113133,295.363193,Duck
FDM21B,40.913678,118.335357,Duck
FDM23A,94.741178,231.245053,Duck
FDM24B,33.447957,183.322281,Duck
FDM25B,46.691066,314.751936,Duck
FDM26A,252.918305,353.348682,Duck
FDM27B,27.305873,200.065702,Duck
FDM28B,98.016075,314.413355,Duck
FDM29B,71.26614,277.04894,Duck
FDM30A,55.393386,159.199008,Duck
FDM32B,326.083546,429.732652,Duck
FDM33A,80.849337,325.6237,Duck
FDM34B,127.696042,224.097954,Duck
FDM3B,295.847194,423.739502,Duck
FDM5B,259.505384,390.246646,Duck
FDM6A,249.175242,359.75524,Duck
FDM7A,285.521481,364.317626,Duck
FDM8B,92.139212,302.246016,Duck
FH108B,91.77237,382.240929,Duck
FH111B,61.467086,388.104588,Duck
FH127B,49.324929,251.110305,Duck
FH151A,210.996176,320.480516,Duck
FH157B,272.317784,432.018487,Duck
FH180A,97.414613,333.725977,Duck
FH206B,154.421674,383.589075,Duck
FH221B,273.257853,457.335719,Duck
FH227B,43.943615,295.311115,Duck
FH247A,243.273153,418.156281,Duck
FH251B,90.465143,395.587841,Duck
FH287B,327.314553,471.985492,Duck
FH295A,140.127887,347.017144,Duck
FH306B,103.816569,365.215526,Duck
FH323B,113.607319,438.119033,Duck
FH324B,103.853744,413.9793,Duck
FH326B,325.015409,506.69718,Duck
FH328A,313.349401,443.481161,Duck
FH340B,132.08808,385.96163,Duck
FH74B,60.305121,394.289183,Duck
FH93B,172.637972,314.430125,Duck
FH95B,79.009636,236.128666,Duck
FJY10A,282.762246,762.774783,Duck
FJY12A,374.054718,680.682924,Duck
FJY13B,184.269096,359.239861,Duck
FJY14A,301.939871,573.796394,Duck
FJY15A,311.520729,551.150652,Duck
FJY16B,340.778486,663.448362,Duck
FJY17A,182.232712,359.968811,Duck
FJY18A,269.260178,504.030682,Duck
FJY19A,159.316343,279.410419,Duck
FJY1A,441.921056,804.984625,Duck
FJY20A,193.410803,402.355321,Duck
FJY21A,299.445244,525.945648,Duck
FJY22A,286.538503,548.291899,Duck
FJY23A,290.527947,575.082878,Duck
