Sample,total_abundance,gut_locations
SHCC86A,612.133069,CC
BKDN170794158-1A,612.086754,Feces
SRR29449362,611.526995,CC
CCH162-1A,610.057444,CC
SHCC9A,607.023194,CC
BKDN170795575-1A,603.576506,Feces
FJY3A,603.336246,Feces
SRR21163520,602.762457,CR
SRR29472726,599.814886,CC
SRR21163429,597.619319,CC
SRR29429273,597.407548,CC
BKDN170794326-1A,594.111463,Feces
ICH247-1A,591.204686,IC
BKDN170795739-1A,590.93343,Feces
SRR29429272,590.519996,CC
BKDN170794152-1A,587.675777,Feces
CCY34B,586.904033,CC
SRR28497695,586.714628,CC
SRR28497702,584.28851,CC
BKDN170796418-1A,581.060318,Feces
GCH186B,580.177739,GS
CCY11A,580.075451,CC
SRR21163446,579.923404,CC
CCY36B,578.881117,CC
SRR29429270,575.546651,CC
FJY23A,575.082878,Feces
SRR29449909,574.400278,CC
FJY14A,573.796394,Feces
CCY6A,573.64993,CC
BKDN170796086-1A,573.563166,Feces
SRR21163524,572.765135,CR
BKDN170795573-1A,572.534398,Feces
SHCC82A,570.475657,CC
SHCC57B,569.916315,CC
SHCC276A,569.488268,CC
SRR28497703,561.929095,CC
SRR29449910,561.487524,CC
CCY43A,561.079231,CC
BKDN170794149-1A,558.341294,Feces
BKDN170793909-1A,557.803883,Feces
BKDN170794392-1A,556.791482,Feces
SRR29409640,556.785764,CC
BKDN170794330-1A,556.53816,Feces
SRR21163431,555.392179,CC
BKDN170796085-1A,553.805195,Feces
CCY9B,553.663688,CC
SRR29409644,551.219274,CC
FJY15A,551.150652,Feces
SRR29449358,550.340688,CC
SHCC26B,548.680714,CC
FJY22A,548.291899,Feces
SHCC167A,547.699296,CC
SRR29449917,547.156018,CC
BKDN170795744-1A,546.616911,Feces
BKDN170796245-1A,545.78236,Feces
SHCC254B,544.76747,CC
BKDN170795572-1A,543.45393,Feces
FJY24B,541.555973,Feces
CCY13A,541.142387,CC
BKDN170793902-1A,540.697454,Feces
SRR29429276,540.160499,CC
BKDN170795146-1A,539.65294,Feces
CCH209A,538.199279,CC
BKDN170796249-1A,537.217121,Feces
BKDN170794809-1A,537.080675,Feces
SRR29449365,530.123931,CC
SRR21163430,529.862421,CC
BKDN170796080-1A,529.056587,Feces
BKDN170793895-1A,528.56959,Feces
BKDN170794322-1A,528.338913,Feces
CCY17A,527.541352,CC
SHCC196A,527.202695,CC
FJY21A,525.945648,Feces
SRR21163433,524.698632,CC
FJY30A,524.6322,Feces
SRR29536170,522.948323,CC
BKDN170795142-1A,521.553931,Feces
CCY24A,519.66944,CC
SRR29449918,519.582335,CC
BKDN170795147-1A,518.379488,Feces
CCY27A,517.518947,CC
BKDN170794972-1A,517.277471,Feces
FJY28A,516.784418,Feces
BKDN170795743-1A,515.335368,Feces
FM18B,513.246824,Feces
FJY73A,512.710933,Feces
CCY41B,511.061374,CC
SRR29449381,509.449496,CC
SHCC288A,509.425846,CC
BKDN170796006-1A,508.557089,Feces
CCY33B,507.735153,CC
SRR21163445,506.811248,CC
FH326B,506.69718,Feces
SRR29536180,504.410693,CC
FJY18A,504.030682,Feces
BKDN170796247-1A,502.990159,Feces
BKDN170795145-1A,502.129173,Feces
CCH150-1B,501.826478,CC
SRR29449919,501.617131,CC
CCH157-2B,500.149037,CC
SHCC65A,499.552942,CC
SHCC185B,497.161024,CC
BKDN170794065-1A,496.55994,Feces
BKDN170793904-1A,496.273193,Feces
SRR29536175,495.925614,CC
SRR29409643,495.372587,CC
CCY37A,494.834416,CC
SRR29449914,494.019035,CC
CCH186-1A,491.514417,CC
BKDN170795742-1A,491.377265,Feces
CCH328A,490.48317,CC
BKDN170794160-1A,490.295779,Feces
SRR21163442,490.030609,CC
SRR21163515,489.937351,CR
SHCC69B,489.842435,CC
SHCC44A,488.672024,CC
CCH258A,487.602161,CC
SRR29449359,487.213655,CC
SHCC7A,486.979678,CC
SRR29409641,485.62177,CC
BKDN170796422-1A,484.657773,Feces
JCH157-1A,484.491594,JC
SRR29409646,484.430106,CC
CCY30A,484.420063,CC
SHCC166A,481.424956,CC
SHCC285A,480.755771,CC
SHCC181A,480.502998,CC
SHCC5A,478.720903,CC
BKDN170794228-1A,477.828791,Feces
SHCC81A,475.322366,CC
CCH326A,475.151255,CC
CCH151-2A,474.390108,CC
SHCC217A,472.454129,CC
CCY28A,472.366993,CC
FH287B,471.985492,Feces
SHCC4A,470.80809,CC
SHCC210A,470.753619,CC
SHCC235A,470.718372,CC
CCH295-1A,469.93389,CC
SRR29449920,469.710368,CC
SHCC272B,469.68771,CC
BKDN170794057-1A,468.443445,Feces
CCH259-3A,468.240593,CC
BKDN170795916-1A,467.410478,Feces
CCH57A,467.161054,CC
SHCC287A,467.12366,CC
CCY46B,466.879014,CC
BKDN170796251-1A,465.402709,Feces
BKDN170796417-1A,463.937364,Feces
BKDN170794002-1A,462.78677,Feces
SHCC204B,462.724255,CC
SHCC138A,461.453436,CC
BKDN170795911-1A,461.338255,Feces
SHCC51A,460.780476,CC
SRR29536186,460.662436,CC
SHCC274A,459.257199,CC
SHCC73A,459.232241,CC
SHCC8A,459.049677,CC
SRR29409648,458.708124,CC
BKDN170794068-1A,458.337286,Feces
BKDN170795149-1A,457.486649,Feces
FH221B,457.335719,Feces
BKDN170795577-1A,457.184279,Feces
BKDN170794064-1A,457.124012,Feces
SRR29449380,456.405387,CC
SRR29409652,456.381701,CC
BKDN170793898-1A,455.285118,Feces
SHCC33A,454.617868,CC
SHCC271B,453.70767,CC
FJY61B,452.821357,Feces
SRR29449916,452.672047,CC
SHCC46B,452.627542,CC
CCY44A,451.544119,CC
SHCC251B,451.0519,CC
SHCC175A,450.886883,CC
SHCC29A,449.138713,CC
BKDN170796004-1A,449.081887,Feces
SHCC76A,448.488408,CC
SHCC179A,448.483991,CC
BKDN170796424-1A,448.091787,Feces
SRR29449377,447.721661,CC
SHCC243A,446.862851,CC
SHCC299B,446.46411,CC
SHCC201A,443.680149,CC
FH328A,443.481161,Feces
SHCC54A,443.248984,CC
BKDN170795141-1A,442.254024,Feces
BKDN170793833-1A,441.901441,Feces
SHCC15A,441.868706,CC
BKDN170796413-1A,440.779484,Feces
SHCC1A,440.448335,CC
SRR29449364,439.976868,CC
BKDN170794001-1A,439.782379,Feces
BKDN170794387-1A,438.867356,Feces
FM1B,438.663731,Feces
SRR29449375,438.580767,CC
SHCC39A,438.239384,CC
FH323B,438.119033,Feces
SHCC227A,438.075974,CC
BKDN170795836-1A,437.255661,Feces
CCH263-2A,437.224154,CC
SHCC99A,435.125566,CC
SHCC45A,435.010957,CC
SHCC106A,434.526261,CC
SHCC139A,434.495685,CC
SHCC31A,434.071068,CC
SHCC267A,433.27406,CC
SHCC199A,433.024583,CC
SHCC47A,432.942016,CC
CCH306-2A,432.276097,CC
FH157B,432.018487,Feces
SHCC289A,431.69927,CC
SHCC35A,430.604209,CC
CCH227-3A,430.039119,CC
CCH247A,429.909054,CC
FDM32B,429.732652,Feces
SHCC281A,429.248382,CC
SHCC228A,428.823047,CC
SRR29449915,428.751531,CC
SHCC124B,428.218526,CC
SHCC74A,427.850184,CC
BKDN170794548-1A,427.846406,Feces
SHCC168A,426.438385,CC
BKDN170794811-1A,426.048914,Feces
SHCC252A,425.388293,CC
SHCC41A,425.304693,CC
BKDN170795738-1A,424.708981,Feces
SHCC244A,424.628622,CC
BKDN170795907-1A,424.574195,Feces
SHCC266B,424.549376,CC
SRR29354217,424.362306,CC
SHCC224A,424.078616,CC
SHCC83A,423.817764,CC
FDM3B,423.739502,Feces
BKDN170795140-1A,423.017741,Feces
SHCC264A,422.563336,CC
SHCC122B,421.524797,CC
SHCC206A,421.411704,CC
SRR29409642,421.110632,CC
SHCC42A,421.001987,CC
CCH127-1A,420.06169,CC
SHCC297B,418.989541,CC
FH247A,418.156281,Feces
SHCC112A,418.126844,CC
BKDN170794806-1A,418.107247,Feces
SHCC78A,418.026087,CC
CCH210A,417.914982,CC
SHCC262A,417.788073,CC
BKDN170793998-1A,417.124082,Feces
SRR29449374,416.627007,CC
SHCC212A,416.548485,CC
BKDN170794165-1A,415.874797,Feces
SHCC249A,415.638829,CC
SRR21163514,414.978387,CR
BKDN170795910-1A,414.030722,Feces
FH324B,413.9793,Feces
SHCC115A,411.786346,CC
BKDN170795838-1A,411.412728,Feces
SRR29429275,411.337826,CC
SHCC88B,411.308216,CC
CCH112-2A,411.156908,CC
SHCC105A,410.862096,CC
BKDN170794331-1A,410.713132,Feces
SRR29409649,410.397653,CC
SHCC191A,410.273373,CC
SRR29536185,409.499933,CC
SRR29429274,409.397129,CC
CCH180-3A,408.730455,CC
SHCC162A,408.499752,CC
SHCC77B,407.536807,CC
BKDN170794164-1A,407.467604,Feces
BKDN170794161-1A,407.445917,Feces
SHCC240A,407.437148,CC
SHCC38A,407.160741,CC
SHCC253A,406.939607,CC
SHCC184A,406.891977,CC
SHCC180A,406.261512,CC
CCH324-4A,405.537312,CC
BKDN170795837-1A,405.500408,Feces
SHCC202A,404.78785,CC
CCH212A,404.536658,CC
SHCC190A,403.979477,CC
BKDN170794805-1A,403.908006,Feces
SHCC270A,403.887133,CC
BKDN170794385-1A,403.15091,Feces
FJY6B,403.053706,Feces
SHCC92A,402.918027,CC
SHCC246A,402.663641,CC
SHCC75A,402.430626,CC
SHCC141A,402.43027,CC
SHCC27A,402.378129,CC
SRR21163419,402.364772,CR
FJY20A,402.355321,Feces
CCH325-1A,402.212993,CC
SHCC66A,401.076403,CC
CCH156-3B,400.010968,CC
SHCC205A,399.812609,CC
CCH251-1A,399.519089,CC
SHCC242A,399.16147,CC
SRR29409655,398.617829,CC
SRR29409651,398.517888,CC
SHCC300A,398.36889,CC
SHCC164B,398.243307,CC
SHCC98A,397.412846,CC
SHCC135A,397.382603,CC
SHCC149A,397.35603,CC
SHCC189A,396.979476,CC
CCS19A,396.739103,CC
SHCC18A,396.459792,CC
SHCC148A,396.252473,CC
SHCC56A,395.881042,CC
FH251B,395.587841,Feces
SHCC248A,395.493461,CC
BKDN170796250-1A,395.325091,Feces
SHCC110A,395.127075,CC
SHCC50A,394.937177,CC
CCH323-3A,394.93066,CC
SHCC171A,394.684668,CC
FH74B,394.289183,Feces
BKDN170796421-1A,393.975953,Feces
CCH250-2A,393.974955,CC
BKDN170795574-1A,393.967836,Feces
SHCC192A,393.940598,CC
CCH221-1A,393.260615,CC
SHCC203A,393.033596,CC
BKDN170794393-1A,392.878408,Feces
CCH95-1A,392.022567,CC
SHCC265A,390.620838,CC
SHCC177A,390.611445,CC
SHCC90A,390.450559,CC
FDM5B,390.246646,Feces
SHCC261A,390.134199,CC
BKDN170795578-1A,389.944576,Feces
SHCC232A,389.938315,CC
SHCC256A,388.878654,CC
FDM11A,388.560522,Feces
SHCC226A,388.509519,CC
FH111B,388.104588,Feces
SRR29354204,388.041082,CC
SHCC219A,387.977142,CC
CCH108A,387.886416,CC
SHCC263A,387.326823,CC
SHCC197A,386.698879,CC
FH340B,385.96163,Feces
SHCC247A,384.132768,CC
BKDN170793892-1A,383.87041,Feces
FH206B,383.589075,Feces
SHCC142B,383.103134,CC
CCH111-1A,382.954372,CC
SHCC209A,382.826366,CC
FH108B,382.240929,Feces
SHCC296A,382.054484,CC
SHCC236A,382.03192,CC
CCH277-1A,382.016091,CC
SHCC208A,381.905207,CC
SHCC230A,381.3966,CC
SHCC126A,381.185339,CC
SHCC71A,381.162761,CC
SHCC67A,381.068777,CC
CCH340-2A,381.018868,CC
BKDN170794329-1A,380.351791,Feces
GCH212B,379.413846,GS
SHCC241A,378.949138,CC
SRR21163519,378.728804,CR
SHCC207A,378.633537,CC
SHCC95A,378.404499,CC
SHCC259A,378.397769,CC
FM13B,378.347075,Feces
SHCC80A,378.323578,CC
BKDN170796173-1A,378.213017,Feces
FM15B,378.180302,Feces
SRR21163529,378.048381,CR
FJY32B,378.005593,Feces
SRR21163532,377.791706,CR
SHCC229A,377.747382,CC
BKDN170795999-1A,377.405191,Feces
SHCC43A,376.92948,CC
SHCC161A,376.905607,CC
BKDN170794159-1A,376.594836,Feces
SHCC218A,376.499144,CC
SHCC10A,376.165782,CC
CCS25B,374.551395,CC
SHCC85B,374.472138,CC
SHCC163A,374.002619,CC
CCH294-1A,373.797124,CC
SHCC102A,373.528645,CC
CCH346-1A,373.285724,CC
SHCC178A,373.246978,CC
SHCC278A,373.062538,CC
SHCC188A,373.052491,CC
SHCC3A,372.789074,CC
SRR29409654,372.718499,CC
SHCC146A,372.550755,CC
SHCC25A,372.075136,CC
SHCC186A,372.028834,CC
CCH93-1A,371.539472,CC
SHCC103A,371.233385,CC
FM3B,370.583512,Feces
SHCC32A,369.963869,CC
SRR29409647,369.792452,CC
FM21A,369.364324,Feces
SHCC59A,369.009931,CC
SHCC221A,368.721871,CC
SHCC292A,368.205613,CC
SHCC16A,368.169743,CC
SHCC231A,367.525396,CC
SHCC114A,366.978932,CC
SHCC53A,365.430689,CC
FH306B,365.215526,Feces
SHCC89A,365.187325,CC
SHCC58A,365.03335,CC
SRR29409653,364.791879,CC
SHCC128A,364.773909,CC
FDM7A,364.317626,Feces
BKDN170794553-1A,363.9879,Feces
SHCC113A,363.237696,CC
SHCC91A,363.187125,CC
SHCC250A,362.899425,CC
SRR21163528,362.802711,CR
FM7B,362.69407,Feces
SHCC298A,362.412289,CC
SHCC214A,362.211841,CC
SHCC213A,361.699778,CC
SHCC136A,361.59076,CC
SHCC176A,361.455961,CC
FJY43B,361.158691,Feces
SHCC282A,360.922856,CC
FDM1B,360.819609,Feces
SHCC6A,360.267274,CC
FM14A,360.16741,Feces
SHCC49A,359.977827,CC
FJY17A,359.968811,Feces
FDM6A,359.75524,Feces
